user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
DaveHansenTiger,0,0,37884.596626913575,0,0,152495
bot-mode,0,0,40459.55654916272,0,0,123339
Monkey D Luffy,47818,0,233.58234914366795,0,0,49318
RollTideRoll_asdfjkll,30594,0,1173.6506389137805,0,0,43185
42429,70,0,1179.7358357573212,0,0,30729
wcwalker,21104,1,348.62795220776366,2,1,28074
micahcochran,1764,0,5572.954087360473,1,5,25244
Woolsies,14713,0,196.32516458213735,0,0,17203
iandees,2,0,3.333011403238897,0,0,15128
Caboosey,853,0,2532.3083967399166,7,1,14295
ELadner,1534,0,3277.502888423701,0,0,13889
maxerickson,322,0,1496.5875753179173,0,0,12625
bestrya,4600,1,221.8551393165106,0,0,11695
Liber,0,0,0.144340181883787,0,0,10980
Geogast,1,0,62.055044088668886,0,0,10660
zephyr,1,0,0.5236781884280011,0,0,9239
Richard,3,0,10449.88157318815,0,0,8013
jfoote,1555,7,412.5801974457688,0,2,6426
RoadGeek_MD99,128,0,1238.3296448731958,0,0,6009
Kpburns,331,0,427.39406836994357,0,1,5993
Chris Hathcock,1059,0,288.35655129445246,2,1,5650
Always_Dreamin,501,0,171.78084337940186,0,0,5642
OB DISPATCH,1553,1,215.55462845127892,2,0,5547
davidearl,0,0,0.0,0,0,5338
JDruhanC,385,0,415.63267397271915,0,0,4410
Brendan J Davis,3108,0,15.06173540481304,0,0,4117
Chris Lawrence,13,0,1369.253028456408,0,0,4026
navosm,1645,0,202.782319501463,0,0,3965
Kirbert,153,0,926.7188076037696,0,0,3633
andy22rh,692,0,255.9078422146432,0,0,3576
NE2,0,0,1758.5973765653832,0,0,3450
AndrewSnow,116,0,1138.8997519612458,0,0,3402
MikeN,2,0,827.0391102477668,0,0,3382
dcat,0,0,0.437767974927931,0,0,3273
sfuller1,1279,0,64.603261306392,0,0,3264
JoshuaKGarner,456,1,494.25417818900416,0,0,3045
torapa,463,0,1050.5592453673066,0,0,2986
Timothy Smith,514,0,446.561856105556,0,0,2935
HokiePilot,0,0,1323.9862864706172,0,0,2866
