user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
EarthAngel,0,0,3.663467510944183,0,0,10
OMapper,0,0,0.0,0,0,2
geoJenn,0,0,1.630966031118082,0,0,8
Fivea,8,0,0.0,0,0,8
Tom_Holland,115,0,3.270663652013438,0,0,173
Werewombat,0,0,0.0,0,0,9
Jakub Martinů,200,0,1.560242556012723,0,0,221
OPerivar,0,0,0.052886398484407,0,0,2
Michael Verrier,175,0,0.0,0,0,175
Tom317,0,0,0.0,0,0,2
AmericanRedCrossGuy,367,0,0.0,0,0,370
TIGERcnl,0,0,0.0,0,0,156
Hagman,0,0,0.035232448434261,0,0,7
Edward,0,0,0.0,0,0,40
DanHomerick,0,0,0.0,0,0,7
HolgerJeromin,0,0,0.0,0,0,22
palimpadum,2,0,0.172630688406667,0,0,5
Lo'au,337,0,6.183794581038633,0,0,430
fx99,6,0,0.0,0,0,8
nyuriks,0,0,0.0,0,0,73
christian mock,429,0,1.42071725946246,0,0,463
Hendrikklaas,4,0,3.975878334942702,0,0,32
dkunce,61,0,1.1000641673320781,0,0,77
iandees,0,0,0.0,0,0,59
Rasterfarian89,0,0,0.065459103841708,0,0,1
mybadongt,0,0,0.0,0,0,4
AE35,1,0,0.0,0,0,1
ycartwhelen,171,0,2.568989104405098,0,0,188
wolfgang8741,0,0,0.0,0,0,1
edtha,259,0,3.823579398661922,0,0,315
t-roy,0,0,0.0,0,0,1
giovand,368,0,2.811699210954941,0,0,406
hofoen,0,0,0.0,0,0,2
BigKev97,0,0,14.465549339564145,0,0,28
piaco_dk,107,0,0.0,0,0,107
Bharath Miryalu,431,0,0.5559277327845961,0,0,440
mjgk,154,0,0.6096369231071771,0,0,162
bdiscoe,143,0,1.237032715371353,0,0,189
kevinlin900,470,0,0.29371467204641,0,0,474
West Lake,0,0,3.174250538358347,0,0,30
ika-chan!,0,0,0.0,0,0,3
ArizonaMapper,3,0,0.0,0,0,3
Rub21,0,0,0.027806371212127003,0,0,3
amillar,0,0,0.0,0,0,5
PeggyLee,359,0,0.0,0,0,359
pyram,4,0,3.774986701393097,0,0,33
mmahmud,9,0,0.0,0,0,9
AndrewBuck,13,0,0.0,0,0,14
FvGordon,22,0,0.0,0,0,22
