user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Dr Kludge,103234,2,11836.913601290371,0,2,324593
tomthepom,1248,0,2336.43484361212,0,0,257274
TheDutchMan13,7629,1,22968.141149834017,7,5,228407
AJ Riley,14989,0,1635.2612501057483,5,6,45611
Adam Martin,14444,0,415.69150141022607,0,0,34301
techlady,162,0,16601.512848882347,0,0,29234
malenki,9,0,0.0454521179388,0,0,25199
MatthewAndersonUS80,5503,0,1904.64661802627,0,2,23460
DaveHansenTiger,0,0,14495.120990128682,0,0,22782
zephyr,5,0,9.568245020841065,0,0,20033
SimMoonXP,0,0,13234.913625442241,0,0,17439
Alan Bragg,5691,0,3448.7669044674403,1,2,17388
jonathanpatt,1795,1,6261.948524988265,0,0,17095
Kate Varf,15809,0,0.9557557917656541,0,0,15949
Your Village Maps,1542,0,405.548302466364,0,2,15946
adenium,5937,0,2330.974008308159,0,0,14966
ianmcorvidae,4020,1,899.2010050714499,0,0,14699
TempestD,10266,1,158.95477249966027,3,0,13927
iandees,93,0,14.787821657848726,0,0,13601
ocotillo,5,0,7650.932731730039,0,0,13562
AZtrekker,3370,0,433.3501177869709,0,0,13552
ialex,99,0,398.9972718160817,0,0,13513
nmixter,36,0,13.106326575051236,0,0,13349
n76,1381,0,2910.8208943818568,0,0,12988
Chris Bell in California,0,0,180.10459216655164,0,0,12599
woodpeck_repair,20,0,8995.312450420855,0,0,12441
Юкатан,1606,2,510.6779027409097,0,0,11503
mirror176,882,2,279.9526840683684,1,3,9977
they,2483,1,1698.8790553188257,0,1,9971
chachafish,9754,0,1.061369672967774,0,0,9923
micha_k,156,0,1312.9250395891754,0,0,9831
balrog-kun,1,0,3809.487802612011,0,0,8358
CartoCrazy,306,0,602.6395265632952,0,0,8126
ParagonPrime,1403,1,342.5059839769534,3,0,7378
pflier,0,0,0.0,0,0,6873
nick_aj,1910,0,243.9351268892016,0,0,6723
Sunfishtommy,105,0,1915.1004075435092,0,3,6082
MisterPhilip,281,0,262.0081108922075,0,0,5944
bogdanp_telenav,5,0,649.1388282486314,0,0,5880
corinag_telenav,0,0,721.4997391897273,0,0,5659
mcdonn123,234,0,249.85768872960065,0,1,4958
kbzimmer,1132,0,360.84078822485935,0,0,4818
nasirifard,4699,0,0.0,0,0,4720
Rub21,1,0,1996.691598352378,0,0,4608
lasagna,1030,0,249.57704952345804,0,0,4576
jbanales,304,1,703.9592243861913,1,5,4445
aboges26,0,0,183.62631211478262,0,0,4378
andreis_telenav,1,0,727.6911498351934,0,0,4335
MapperMudkip,2009,0,177.66660214802536,3,0,4142
shortride,339,0,1007.406606056417,0,0,4008
oanac2_telenav,0,0,519.9526920810442,0,0,3979
Dr Kludge{import},3770,0,8.625046695390209,0,0,3805
lorandr_telenav,0,0,641.6166688090252,0,0,3661
US Woods,3560,0,0.0,0,0,3626
wdbspephd,981,0,147.46799886368348,1,0,3615
IotosCa,794,0,748.2035921154337,0,1,3602
mihaii_telenav,1,0,403.5323853363409,0,0,3469
BiIbo,0,0,31.80475455155658,0,0,3401
fscio,1832,0,0.0,0,0,3317
Brian Reavis,13,0,3205.113507415652,0,0,3296
stevea,6,0,68.02681957455891,0,0,3262
lukas64,1293,0,68.63031842456847,0,0,3257
AZ_Hiker,185,0,240.1110527328357,0,0,3201
Sundance,236,0,375.194266126916,0,0,3193
Jon Hanson,191,1,175.1546535111982,0,0,3184
freebeer,1674,0,32.34595492622075,0,0,3180
Lambertus,10,0,559.7000927019409,0,0,3170
Shadowclaimer,677,0,68.45815525134006,0,0,3151
2bre99,308,0,179.45664233627596,0,0,3114
marianp_telenav,0,0,470.4614724654107,0,0,3092
Andre68,3045,0,1.058365657130734,0,0,3060
hofoen,52,0,445.19367186383494,0,0,2877
Moisey,2677,0,10.993566838041522,0,0,2838
