user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
wierdo-araddr,0,0,0.0,0,0,190505
DaveHansenTiger,0,0,30829.273835799777,0,0,88880
bot-mode,0,0,25128.337051155315,0,0,62298
GeoStudent,5249,1,1892.4255791013802,0,0,37904
Fayetteville Building Footprints,35407,2,175.42010972655663,1,1,37824
ToffeHoff,213,0,4854.95754296978,0,1,21312
balrog-kun,0,0,7000.940456145618,0,0,19127
iandees,1,0,8.716978483214968,0,0,14708
Michael the Narwhal,3313,4,1077.436559944094,5,4,13187
maxerickson,271,0,1706.6025926643179,0,0,10941
Guylamar2006,754,0,3142.5018615770678,1,0,8438
ELadner,212,0,2672.828293424888,0,0,8375
gregcrago,2,0,3141.156727091215,0,0,6984
Worfrb,35,0,316.92574933539817,0,0,5807
GeneticAmp,4313,0,94.18116206747172,0,0,5641
zephyr,1,0,0.0,0,0,5636
Geogast,1,0,58.319410921872425,0,0,5617
NE2,0,0,2365.029622623998,0,0,5028
IsaacXXI,4451,0,46.31099056348431,0,0,4895
DougPeterson,435,0,561.7950377521272,0,0,4760
Chris_Pirtle,3295,0,64.53822030860903,0,0,4671
b_george,1,0,224.09044591489712,0,0,3415
MightySpeck,194,0,163.9378628574126,0,0,3362
dufekin,1,0,642.8153343262751,0,0,3340
davidearl,0,0,0.0,0,0,3271
Paul Johnson,57,0,857.9552929405312,0,0,2973
micha_k,23,0,77.22936744238903,0,0,2905
WernerP,2130,0,64.42158039220908,0,0,2714
25or6to4,9,0,1376.607524163534,0,0,2625
RichRico,591,0,533.2925247162726,0,0,2624
MikeN,1,0,731.2495392775786,0,0,2512
amillar,170,0,51.41062016409581,0,0,2413
ARBuckeye,2176,0,16.91384403166059,0,0,2391
Richard,0,0,2725.4672845563573,0,0,2387
RoadGeek_MD99,75,0,651.0001852501111,0,0,2332
hofoen,9,0,621.9803294488996,0,0,2313
elkueb,14,0,1243.7465672722983,0,0,2200
Ronny2756,229,0,89.17765710052437,0,0,2167
Epicarchangle,647,3,133.99750655841677,0,1,2121
Glen,160,0,163.94241072903668,0,0,2097
torapa,268,0,484.91807117586234,0,0,1943
calfarome,317,0,600.7325794227492,0,0,1939
SimonvdP,253,0,455.8743819254221,0,0,1921
AndrewSnow,30,0,661.3034882410637,0,0,1913
stephiesp,1291,1,61.97183828947327,0,0,1855
JTiptonGIS,265,0,178.91470533668524,0,0,1809
wierdo,0,0,57.59956368064222,0,0,1804
Kingfisher13,434,0,155.44113101130236,1,0,1796
TC Squires,43,0,109.34762303567926,0,0,1706
samely,9,0,241.00942699649906,0,0,1643
yonderkid,445,0,71.5111401677823,0,0,1479
lemonadeandstrawberries,298,0,39.577563947520495,1,0,1466
mihaii_telenav,0,0,346.44762995207407,0,0,1426
ediyes,0,0,446.9195468555732,0,0,1343
JessAk71,376,0,45.99727515112248,0,0,1268
bahnpirat,0,0,2.639849007065655,0,0,1258
