user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
confusedbuffalo,0,0,0.348007725307298,0,0,11
gvil,21,0,0.0,0,0,21
ruthie62992,0,0,0.0,0,0,1
7161,0,0,0.0,0,0,1
OminousL,1,0,0.0,0,0,1
45723,3,0,0.0,0,0,3
crashsystems,0,0,0.0,0,0,3
69696969,1,0,0.127121790429846,0,0,8
TheMapHaps,0,0,0.0,0,0,1
100019541,0,0,0.0,0,0,1
Logan Rapp (Logan Chance),0,0,0.0,0,0,11
1234543210,0,0,0.0,0,0,2
jthuannguyen,1,0,0.01124009733331,0,0,4
DaveHansenTiger,0,0,38230.87073921695,0,0,86126
c tito young,9,0,1.7606113490251971,0,0,20
Chris Bell in California,12,0,1296.228832796137,0,1,72101
jiminyt,0,0,0.0,0,0,1
Natfoot,40,0,184.29115520041407,0,0,1861
ankestablet,1,0,0.0,0,0,2
jumbanho,2,0,305.5132322744067,0,0,415064
Sylphynford,1,0,0.0,0,0,1
stevea,6744,8,4889.453156571067,4,11,48586
impiaaa,657,0,22.10010287557709,0,0,1135
Richard,15,0,10485.72153428597,0,0,11058
logan logan,0,0,0.0,0,0,1
Timothy Smith,6180,13,1434.0236149495556,140,8,24450
joser41,0,0,0.0,0,0,4
hofoen,122,0,598.593140484957,0,0,5369
sessh29,0,0,0.0,0,0,1
Adam Schneider,238,0,3003.587880012665,0,0,16067
vezirgeorge,0,0,0.0,0,0,7
balrog-kun,6750,0,16799.895843660506,0,1,67517
EricWilhelm,0,0,0.0,0,0,10
Dr Kludge,1382,0,380.93942658299966,0,0,10676
bremay,0,0,0.05624977291649601,0,0,4
hwescott,55,0,298.6502461574856,0,0,4978
Pashley,1,0,0.0,0,0,2
emem,3,0,9.305073196007998,0,0,1242
digital_map,2,0,0.0,0,0,3
dkunce,808,0,58.674545686446784,0,0,1839
danders_,0,0,0.084517714885306,0,0,1
amillar,598,0,63.181813769836495,0,0,6656
Mojave,0,0,0.0,0,0,2
davidearl,0,0,0.0,0,0,2297
m8kid1,26,0,0.357043534539052,0,0,33
nikhilprabhakar,13583,3,108.78892128189452,0,3,14936
Joshvmap,0,0,0.062613343285693,0,0,1
jstratm,57,0,605.8257260644435,0,0,1613
Cuando Pronto,2,0,0.0,0,0,2
Speight,56,0,2241.7464422604426,0,0,5110
Saikrishna Arcot,364,0,34.18703413974797,0,0,937
uboot,10,0,305.5532671828992,0,0,4176
Tomada,28,0,40.36424499904371,0,0,474
Mar Mar,9,0,6.210344506113717,0,0,27
Mark Vargas,2,0,0.7105215318965721,0,0,21
California Bear,553,4,240.39378348912783,0,1,6306
ericasiu,0,0,0.0,0,0,4
Ohr,0,0,176.15681683470825,0,0,300
rroyter,0,0,0.0,0,0,1
Calvin Reavis,0,0,349.95535916443527,0,0,452
calltheninja,0,0,0.0,0,0,1
blackstew,0,0,1.243712403135582,0,0,5
CCIKate,1,0,0.0,0,0,1
ThorstenNeumann,22,0,86.00050538579407,0,0,237
Asa Dotzler,0,0,0.07257769283391301,0,0,2
Geogast,4,0,2.529864815058283,0,0,5708
AntMan24,0,0,1.608314281640555,0,0,13
vonvonvon,1,0,40.639918627269175,0,0,567
MarioMaldonado,1,0,0.0,0,0,2
JessAk71,4293,5,503.850204015529,2,9,15733
MarkDot,0,0,0.8080702380011301,0,0,16
RichRico,60195,1,2268.3737069990684,0,0,90026
earzouni,1,0,0.0,0,0,7
neuhausr,9,0,19.17324373155609,0,0,156
The Neighborhood School,1,0,0.0,0,0,2
Adamant1,21582,2,7189.3328864936075,4,12,101718
Dominik Hurnaus,0,0,0.0,0,0,1
ricomundy,1,0,3732.142496068354,0,0,4873
