user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
chachafish,82265,27,4418.956827547136,17,18,377082
Your Village Maps,23224,1,5618.477728813425,0,43,220505
SK53_bulk,0,0,115.33849548447466,0,0,191551
Skybunny,5,0,19.979800499649546,0,0,70022
aboges26,74,0,1627.6421876299278,0,0,68496
TheDutchMan13,3,0,21588.04711432218,0,0,66621
Mark Newnham,7267,0,11743.816325855196,0,0,66322
CornCO,7566,1,530.805211083113,0,0,65791
DavidJDBA,23682,0,11886.930341476647,0,0,64233
mspyker_imports,52384,0,0.0,0,0,52518
jjyach,1780,8,1218.2202585386062,2,2,51618
FrozenFlame22,12939,0,1149.877953962152,0,4,43668
Dilys,1629,0,4441.100801832618,0,0,41335
nhd-import,0,0,0.0,0,0,40876
AndrewBuck,33893,0,130.10491449988547,0,0,38402
GPS_dr,893,0,4677.760040680525,0,0,35572
rsavoye,17106,0,1533.903461468832,0,0,34101
vorpalblade77,11688,1,1077.427022736033,1,0,31828
Stevestr,4242,7,873.0672590460192,2,1,31012
Te-Ika,18459,0,632.3932468518259,0,0,29958
DaveHansenTiger,0,0,15181.601715771683,0,0,28370
Mr_Brown,9922,3,346.1183685120399,0,1,28370
russdeffner,6838,1,2181.4351090584532,0,2,28200
DKNOTT,145,0,1256.6597975519323,0,0,24224
zephyr,4,0,6.847831390553643,0,0,24033
Didger85,3249,0,531.5850175680481,0,1,22425
bdiscoe,617,0,411.01584778097816,0,0,19686
RustProof Labs,6822,5,272.4002336722135,0,1,19460
SpenSmith,13983,0,689.1416887901903,0,1,19128
Luis Garcia-Lopez,1945,3,5635.233295682805,2,3,18589
Corban8,10565,0,666.7626268669783,0,0,17977
hlewis719,3812,0,1346.1110910283637,2,1,17450
torapa,6252,0,2847.399964191588,0,1,15708
@kevin_bullock,9440,0,72.29418059409495,0,0,14389
tekim,6952,2,611.376507710382,0,0,14240
omgitsgela_imports,13883,0,15.72759247695904,0,0,14044
MountainAddict,2547,4,1297.848529443752,3,14,13790
omgitsgela,739,0,72.32983398875392,0,0,11306
Canyonsrcool,10066,0,5.286667557625098,0,0,10268
jstratm,42,0,10134.815743990162,0,0,9726
volatile_ant,9605,0,1.5880988112418821,0,0,9722
phidauex_imports,9535,0,14.551047498713594,0,0,9631
Brian Reavis,302,0,6584.5253438029895,0,0,9573
