user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
eric22,0,0,0.0,0,0,11
YevgenVP,0,0,0.214351443959919,0,0,3
Hjart,0,0,0.657860871527507,0,0,17
42429,0,0,0.0,0,0,265
skquinn,6,0,1.787687139353841,0,0,30
bot-mode,0,0,1410.6655880043518,0,0,6705
Darwin721,8,0,7.494933518969047,0,0,122
Matt1993,73,0,800.971003759569,0,0,8405
tyngu,0,0,1.1806768853826901,0,0,9
ceyockey,3797,6,980.4201260804542,0,0,23665
FSMCODY,0,0,0.5419568668257441,0,0,3
asciiphil,26,0,146.34910886894033,0,0,5473
jinalfoflia,0,0,0.0,0,0,2
davidearl,0,0,0.0,0,0,1005
Brandify Tran,3,0,0.0,0,0,3
maxerickson,61,0,142.77182835492118,0,0,1357
JBatten,27,0,0.0,0,0,42
cmitchell,0,0,50.66664855694792,0,0,163
theopencupboard,0,0,0.0,0,0,1
florinbadita_telenav,0,0,34.25642310573831,0,0,438
alwynallan,0,0,1.8879610718463,0,0,16
catalinad_telenav,0,0,17.943239671256382,0,0,111
lucsalmons,0,0,0.876721209339502,0,0,4
choess,1296,0,346.1123326005703,0,0,8769
rahuzod,0,0,1.446020887401765,0,0,3
muziriana,0,0,11.487121143282007,0,0,52
pddondet,0,0,4.223554198264328,0,0,4
Pnrrth,0,0,0.0,0,0,62
Christopher Begnoche,0,0,0.0,0,0,1
superman7515,1,0,0.0,0,0,1
mavudur,0,0,0.9023903801354001,0,0,3
gnorkus,0,0,13.043215368980652,0,0,88
sestanton,0,0,0.7125529705836701,0,0,4
amillar,25,0,0.0,0,0,152
Buck Shockley,7,0,3.886769619005162,0,0,27
sanchi,0,0,0.0,0,0,1
Alleygator54,0,0,0.0,0,0,9
BuilderRoadMaps,0,0,0.0,0,0,18
Jadesummers,0,0,0.0,0,0,1
RM23,38,0,79.64562420560317,0,0,1012
Gardster,0,0,0.0,0,0,1
mdroads,213,0,224.95338815155424,1,0,1719
asrdd,0,0,2.2868179358386582,0,0,8
this1rob,0,0,2.774080038189876,0,0,19
tyos,0,0,6.634753521772391,0,0,71
oba510,0,0,2.219879876270792,0,0,12
chezehed81,0,0,2.686843360682377,0,0,9
vissushm,0,0,11.760791045908594,0,0,39
Lincus,6,0,16.03763871331434,0,0,343
dchiles,168,0,308.3959613137324,0,0,3377
Ben_H04,0,0,0.960227891715648,0,0,4
h4ck3rm1k3,0,0,0.0,0,0,9
Mateusz Konieczny - bot account,2,0,0.0,0,0,3
Chris-DEStateParks,0,0,0.32593531563399203,0,0,2
Benoît Prieur,0,0,0.0,0,0,6
deisenhour1,0,0,23.20839789883656,0,0,13
IHoogland,0,0,0.0,0,0,1
asdf2,0,0,3.778376169095692,0,0,12
Randy T,0,0,0.043455514338062,0,0,11
manoharuss,0,0,1.4783407241833841,0,0,29
Tomasz_W,1,0,0.0,0,0,1
z-yurets,0,0,0.48370362765262304,0,0,2
curranMapper,57,0,0.0,0,0,57
Bored,0,0,6.086560644229019,0,0,70
fortchagos,18,0,0.53542885340787,0,0,40
rekasruj,0,0,31.565050488739608,0,0,64
kmitshu,0,0,6.996078464614387,0,0,16
ediyes,1,0,31.03452375001997,0,0,229
Carl Simonson,0,0,0.79138972057078,0,0,3
jlynch,2,0,0.0,0,0,2
DennisL,0,0,0.48112545781214505,0,0,9
Jeremy Gibb,51,0,17.64177357502281,0,0,381
Glassman,0,0,0.15292958076934202,0,0,2
brianegge,14,0,0.147561288478782,0,0,20
aroach,0,0,0.8094975178019531,0,0,3
Prof Eric Cameron,27,0,13.78058102065881,0,0,89
kcollins22,2,0,0.0,0,0,15
stevea,0,0,34.30985910311377,0,0,282
majumdea,0,0,0.487735308338238,0,0,6
MikeN,2,0,7.31504607330398,0,0,60
gencavjj,1,0,0.0,0,0,1
TomH,0,0,0.27010654938703504,0,0,3
GoWestTravel,30,0,3.119124523009085,0,0,173
dpaschich,0,0,0.005065845274163001,0,0,7
yadathot,0,0,0.140646562226486,0,0,1
b-jazz-bot,52,0,1.032510805874659,1,0,147
Dima M,0,0,0.0,0,0,1
hofoen,1,0,2.876705591964226,0,0,33
j1mb031,0,0,2.10987311548687,0,0,4
mneko,9,0,7.019703188162572,0,0,78
HubMiner,2,0,0.0,0,0,8
shargrac,0,0,1.6617115885079712,0,0,4
nfgusedautoparts,4,0,2.270494267485098,0,0,49
Tamires24,12,0,0.0,0,0,12
Parking Lot Sealing & Paint by Campbell Works,0,0,0.0,0,0,1
bmillman85,678,0,30.6441083024178,0,0,954
baindran,0,0,1.5312278102329322,0,0,14
srividya_c,0,0,11.090043841252616,0,0,82
mapboxdan,0,0,0.10321056753893901,0,0,4
grouper,0,0,8.942260545169612,0,0,36
gcamp,0,0,0.216905122605612,0,0,6
ottoguy,2,0,0.314392661126272,0,0,3
Slurpee,4,0,0.008554237379021001,0,0,9
crystalwalrein,0,0,10.071873365507761,0,0,99
T_9er,0,0,1.202255581382599,0,0,10
mahahahaneapneap,1,0,33.42226153152808,0,0,578
Claumires,7,0,0.0,0,0,7
dannykath,0,0,23.376235503493564,0,0,270
runbananas,0,0,6.426123699417099,0,0,111
JenniferT181,862,0,36.48611508224434,0,0,1426
sunilvs,0,0,0.365478535376261,0,0,6
Jano John Akim Franke,0,0,0.0,0,0,1
ACE|Tony,0,0,1.198373390392516,0,0,8
ajmarshall0,0,0,0.0,0,0,1
pursersoffice,0,0,0.0,0,0,1
norcross,0,0,0.0,0,0,25
bhavana naga,0,0,13.952679193209617,0,0,114
Omnific,23,0,7.146977691983507,0,0,77
Ropino,0,0,0.31451527191521,0,0,13
EdSS,18,0,2.626386034818222,0,0,76
Hartmut Holzgraefe,0,0,0.054005649232289,0,0,1
RichRico,2,0,26.596184420175543,0,0,415
jangahari,0,0,0.19674633130229702,0,0,1
rajko,0,0,0.0,0,0,1
dkeifer,0,0,0.029828858704785,0,0,2
teliks,0,0,7.944162104440976,0,0,11
Naveen G,0,0,0.9923986156162751,0,0,3
qureahme,0,0,7.257581983376168,0,0,9
ThatYoungGuy,0,0,0.0,0,0,1
cswaroo,0,0,40.658214771248616,0,0,113
rowers2,0,0,0.0,0,0,40
vaidhev,0,0,5.807030652288671,0,0,10
mrd999,1,0,0.209375001594992,0,0,2
muksoham,0,0,0.41505942682269903,0,0,2
Eric Fischer,0,0,0.19078242742034002,0,0,11
bhardwk,0,0,2.277857956573441,0,0,7
pkoby,0,0,0.26478797308963004,0,0,3
pallam13,0,0,2.567220487974439,0,0,2
Yanster,0,0,0.37746433746655406,0,0,1
modukv,0,0,7.241449539708876,0,0,19
nmotupal,0,0,0.100276108842483,0,0,1
wambacher,0,0,0.29779177171069005,0,0,11
4b696d,0,0,0.0,0,0,2
Bhojaraj,1,0,16.15868215802042,0,0,183
PsychCentral,0,0,0.8566452881048641,0,0,6
alice-hawthorne,0,0,21.001154740320246,0,0,24
Sarrow_,248,0,10.261894447458973,0,0,360
wilmaed,274,0,5.429724266367692,0,0,338
3yoda,79,0,14.140087660040559,0,0,332
TheHammer,0,0,3.134309311519708,0,0,7
goldan,0,0,0.0,0,0,1
valerietheblonde,0,0,0.0,0,0,5
Peter14,0,0,1.45192819187245,0,0,13
Joseph E,0,0,0.0,0,0,72
pundit_traveller,4,0,0.0,0,0,4
Fivea,0,0,33.31843883666015,0,0,173
MISP_Tier1,7,0,0.0,0,0,20
navlay,0,0,7.241816813672294,0,0,29
andrewwiseman,2,0,0.0,0,0,5
scratchspin,610,2,97.93367477213397,10,2,2671
promiseofbirth,14,0,0.0,1,0,22
venkanna37,0,0,1.2220417676263091,0,0,10
LinuxFlyGuy,0,0,0.9825580554184771,0,0,12
JJ097,0,0,0.0,0,0,1
ABN-DH,1,0,0.311699216754512,0,0,2
StellanL,0,0,7.623524123611844,0,0,80
FlyingMonkey70,8,0,0.530397655401282,0,0,27
jdoniche,0,0,2.090753548961519,0,0,3
Amir Lavi,0,0,0.0,0,0,1
gollabg,0,0,0.280596622753558,0,0,2
AnnaLukianenkoPlacer,1,0,0.0,0,0,1
jyotkuma,0,0,5.339808257693924,0,0,9
