user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
vking,0,0,0.38222169373910303,0,0,1
Nate_Wessel,0,0,0.16417088002334002,0,0,5
Zizasaurus,3,0,0.0,0,0,4
42429,0,0,2.527377693389395,0,0,108
rza31,15,0,1.701916307561473,0,0,29
461103,0,0,0.262487843670695,0,0,1
Kevin Cole,0,0,0.0,0,0,10
Edward,57,0,1.144271659415428,0,0,183
MbShea,1,0,0.0,0,0,1
fluffy_unicorn,5,0,87.68058109562202,0,0,1134
Macgruber!,1,0,0.0,0,0,3
bot-mode,0,0,353.25078928069087,0,0,2526
ricaji,5,0,0.0,0,0,6
njtbusfan,0,0,428.87710028797784,0,0,4077
LeTopographeFou,0,0,0.0,0,0,2
arichnad,1,0,111.15489458415567,1,0,1319
Kayla Colflesh,0,0,0.0,0,0,3
MCM7,0,0,0.0,0,0,2
David & Christine Schmitt,0,0,0.12942480620229402,0,0,2
BogDan_Olegovich,47,0,170.625124114911,0,0,3083
sgallagher77,0,0,0.209332302379573,0,0,3
mapmaker1559,0,0,0.822036233769704,0,0,11
rpicard,0,0,0.0,0,0,1
mdroads,3,1,16.20859218791721,0,0,306
RachelMargaret,0,0,1.526644122922996,0,0,6
Luis36995,0,0,16.016519940266704,0,0,407
twisterghost,0,0,0.0,0,0,1
ingalls,9059,0,62.344194802144884,0,0,10169
exxos,0,0,0.403572790211892,0,0,3
Bored,24,0,82.04727980430434,0,0,1185
Steven Vance,0,0,0.19117871689812002,0,0,4
Takuto,0,0,0.159540266051962,0,0,8
matthieun,0,0,0.019533724525574,0,0,1
BrokenString,9,0,0.491425934267162,0,0,81
Scott Harc,0,0,0.39129740668335206,0,0,18
bikepathmapper,2,0,39.61358788855021,0,0,450
Fuentes_360,1,0,0.05476699074751801,0,0,7
RichRico,2,0,20.50244771433396,0,0,339
Chad Shuskey,0,0,0.0,0,0,2
FvGordon,19,0,0.9285047807166601,0,0,40
Aaron Hedquist,0,0,0.0,0,0,1
Jothirnadh,1,0,5.297552382603778,0,0,130
TreesUnknown,2,0,0.0,0,0,5
bhartz,1,0,0.0,0,0,20
npdoty,1,0,0.0,0,0,1
