user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
chachafish,242437,0,25.801217971934594,0,0,242677
bot-mode,0,0,45870.08993748507,0,0,217084
Andrew Matheny_import,214609,3,62.03646876785459,1,2,215493
houston_mapper1,107464,0,24.237938528020027,0,0,190256
NE2,930,0,11413.742727252547,0,0,156557
mangokm40_import,82788,0,0.0,0,0,141142
grouper,6775,3,27322.263396807182,1,1,110282
jlevente_imports,58918,0,37.23138789852094,0,0,101994
carciofo,6042,0,8593.715134464073,1,1,94995
maxolasersquad,18537,5,4103.190154088361,3,9,85137
pete404,5511,2,4883.522362214053,2,2,81904
LeifRasmussen_import,49118,0,72.28631443566768,0,0,76434
MiamiBuildingsImport,69725,0,0.0,0,0,69725
LogicalViolinist,4650,0,173.54829361415614,0,0,66559
Glassman_Import,53466,0,9.225313783453373,0,0,65568
42429,43,0,89.62959426771525,0,0,64828
ninja_import,57061,0,6.537591840334305,0,0,57238
RollTideRoll_asdfjkll,45543,0,1288.1308272527808,0,0,56320
Horza,23934,3,1177.5609158884633,2,1,49955
Caboosey,5462,0,5229.784475300686,0,0,44219
Mongo Poker,895,0,2504.5050909945485,4,0,40232
25or6to4,37814,0,56.97129239882602,0,0,38680
maxerickson,890,0,1391.9166980279526,0,0,35586
DaveHansenTiger,0,0,8127.39541454519,0,0,34226
aalox,5344,2,1444.4546177464051,0,1,33426
Adam Martin,7170,0,341.11087774985776,0,0,32125
thetornado76,5794,2,4418.177937402566,6,1,31006
fluffy_unicorn,160,0,2672.30367159435,0,0,30650
3yoda,5115,4,1062.2019550788511,33,5,29038
coleman,8807,16,1957.3706910956303,6,5,28745
freebeer,26761,0,96.40274459249922,0,0,27947
mahahahaneapneap,180,0,2413.735976880415,0,0,27944
jharpster-import,27344,0,5.537086106524107,0,0,27414
JRosinus,5818,2,175.6102031486068,0,1,26552
terrymoon,1,0,53.803670043670586,0,0,23300
Omnific,20895,2,35.13329279353039,1,0,21336
TheDude05_import,20608,0,5.996878460864512,0,0,20716
Itserpol,2852,2,639.1321529319492,1,2,20154
Brian@Brea,1592,0,272.21377243542054,12,36,19857
Kirbert,1332,0,3983.8014778826714,0,1,19079
Jack the Ripper,2128,0,1923.4285922745912,1,1,17196
DenisCarriere,337,0,1290.6729722381242,0,0,16350
valerietheblonde,3274,0,1660.778623758496,0,2,16222
Eraque22,2833,0,1502.69782239129,0,0,16207
RuckRunnerGRT,9628,0,585.4806294405554,0,0,16037
Zazzmatazz,149,0,20.7252939193286,0,0,15970
kbzimmer,7886,0,376.96679905832775,0,0,15964
njtbusfan,1,0,2591.9995231462813,0,0,15815
jharpster,14921,0,53.21990518403307,0,0,15007
Alan Bragg,5952,0,1733.0504692483946,0,15,14424
aleksgreben,9,0,768.1610031654664,0,0,14332
jlevente,8846,1,322.08751813084575,3,2,14273
Glassman,9197,0,60.09257549838739,0,0,13901
oksana_krinickay,1,0,970.0036030157996,0,0,13213
EdHillsman,335,5,507.67095104979563,0,3,12621
HokiePilot,23,0,3271.731201656086,0,0,12497
TheM3sseng3r,4199,0,695.308148955746,0,0,12022
doktorpixel14_import,11198,0,0.243208558661402,0,0,11499
Seandebasti,432,0,465.8040115715208,0,0,11161
torapa,4782,0,577.0825211763212,0,0,10573
Hiltaguard,902,1,520.0800293566368,5,0,10248
Ian Linder Sheldon_import,8141,0,0.0,0,0,10239
Dion Dock,47,0,934.1311450921547,0,0,9469
iansan5653,841,0,372.7946336298818,2,2,9189
RichRico,3321,0,750.4120038918132,0,0,8683
FleurAwaken,1526,0,558.2164194186003,1,0,8566
calfarome,4455,0,792.009600369305,0,0,8424
Latze,5732,0,140.6752095068132,0,0,7965
dcat,1,0,0.273491751148047,0,0,7920
drynwk,176,0,498.52177647550366,0,0,7784
xybot,74,0,5.935543815081871,1,0,7677
LeifRasmussen,4447,0,31.84523931140115,0,0,7541
MichaelG68,2009,0,334.5706454313278,0,0,7474
ashleyannmathew,3467,0,581.7700990295154,0,0,7345
LeTopographeFou,491,0,560.3994325933213,0,0,7314
Irina Karachevtseva,3,0,594.4996234915615,0,0,7237
Andreyhmk,0,0,565.8065158923505,0,0,7221
Murat Besler,1184,0,847.3888242286436,0,0,7104
marthaleena,3783,0,580.6366288259829,0,0,7063
ward95636,1152,0,354.80520117447463,0,0,6979
Timothy Smith,2136,6,313.8484735283493,32,1,6942
Luis36995,2037,0,709.3343599926756,0,0,6889
bhavana naga,5549,0,239.11010820580273,0,0,6732
Everette M,345,1,446.9178446474198,0,0,6591
KalininOV,1280,0,120.51727955098018,0,0,6553
bdiscoe,711,0,603.3973962189476,0,0,6391
iandees,58,0,5.972068888944196,0,0,6374
epcotfan,668,0,119.60037117451475,0,0,6365
Romashka1111,3,0,558.9564245320198,0,0,6129
Ian Swire,3807,0,82.58091644693853,1,0,6035
ckaustinen,5895,0,0.0,0,0,5914
Constantinum,27,0,371.20783198040374,0,0,5867
RoadGeek_MD99,302,0,742.395957985282,0,0,5795
Maria Guslyakova,1,0,555.9131079690416,0,0,5778
GeoKitten_import,5725,0,2.83533036549349,0,0,5749
muziriana,3329,0,448.21760952022987,0,0,5731
nbotsford3,1552,0,157.03191498095782,3,0,5368
dannykath,41,0,739.917472319126,0,0,5243
David Hey,403,0,116.63825883611486,0,1,5094
Sequencer,114,0,1304.8586594505357,1,0,5090
Geogast,0,0,3.8810547747380033,0,0,5054
ediyes,131,0,863.8781406449737,0,0,4899
payelgh,2,0,798.9403916603175,0,0,4860
piligab,3914,0,186.0252095628116,0,0,4782
Rexma423,727,0,169.8190914605376,1,0,4743
Panther37,36,0,140.15109664851593,0,0,4696
Cicadatlatl,3198,1,23.98446394465957,0,0,4628
wambag,54,0,314.127946815465,2,1,4623
karitotp,1659,0,450.9973857980213,0,0,4552
BogDan_Olegovich,9,0,388.49728101815344,0,0,4514
samely,27,0,454.0022210867762,1,0,4391
MountainAddict,1559,0,209.64866535167124,0,0,4367
_jcaruso,48,0,428.45823058311913,0,0,4356
arkdatta,1,0,773.6086637675489,0,0,4330
Victoria1901,1,0,421.7719352161914,0,0,4222
OB DISPATCH,1235,1,121.86114448427567,1,0,4219
houston_mapper1_IMPORT,3436,0,0.371442923173503,0,0,4155
Gulchevskaya,2,0,369.3023562068388,0,0,3896
ridixcr,2614,0,255.82515268551052,0,0,3870
