user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
jon9783,1,0,0.0,0,0,1
Ryan112233,0,0,0.265902381146687,0,0,1
AndreiZh,26,0,0.13751652621674101,0,0,47
13914,1,0,0.0,0,0,1
erjiang,0,0,4.801246364987074,0,0,46
30303020,0,0,0.520842185465571,0,0,29
Jennifer Lozano,0,0,0.187873479250653,0,0,1
Rub21,28,0,1171.8646189396031,0,0,7587
marscot,0,0,1.105354506938529,0,0,9
bot-mode,0,0,40569.45890788826,0,0,125817
ccmtman,5,0,0.0,0,0,19
jumbanho,2,0,72.75764140676729,0,0,9272
washmaxxbrill,0,0,0.0,0,0,1
ToeBee,12,0,83.76493770700395,0,0,367
danroga,0,0,0.5097617743429771,0,0,2
DaveHansenTiger,0,0,26360.8395917287,0,0,85416
harpreo,0,0,0.740090171959479,0,0,5
RoadGeek_MD99,619,1,1346.4652184445595,0,0,6254
jjrainey,0,0,0.0,0,0,2
davidearl,0,0,0.0,0,0,3950
Jerry Shannon,44,0,0.0,0,0,49
calfarome,1,0,340.1714428784105,0,0,1620
Petey Dobbins,2,0,0.0,0,0,6
RichRico,8,0,467.784909908045,0,0,2711
abhap,0,0,9.012968544651965,0,0,80
iandees,5,0,7.333902970382709,0,0,14413
CamelCaseNick,15,0,0.0,0,0,21
kmenard,0,0,525.9572565345037,0,0,1195
ravsjith,0,0,25.596298796729243,0,0,511
Spanholz,24,0,422.82654137905223,0,0,1154
Matt J,0,0,0.32856737255593405,0,0,2
Jake14013,1144,0,110.35931304763866,1,0,2019
PickNiper,3,0,1.706091462097219,0,0,5
meleg64646454322@gmailcom,6,0,0.0,0,0,6
DeannaT,16,0,0.0,0,0,16
Richard,10,0,5185.5452959727045,0,0,4908
JamesGood2011,3,0,0.0,0,0,3
maven149,17413,2,4396.620275610642,0,2,55918
Brian A T,3,0,0.0,0,0,4
upstream,670,0,155.17240268301626,1,0,3196
zaizone,4,0,0.0,0,0,7
Liber,2,0,126.57241504508865,0,0,922952
sonmanek,0,0,2.45211319853564,0,0,23
b-jazz,121,0,107.71726913306344,1,0,1293
CL Pettit,0,0,0.576678016253088,0,0,10
worwig,1,0,204.05179554720283,0,0,703
AbdulSha,0,0,0.0,0,0,1
vshteyn,0,0,4.999730418297842,0,0,4
TaraLentz,1,0,0.314200457657882,0,0,2
MBedilion,0,0,320.8790433712968,0,0,1120
MAR1-3TT4,1,0,0.0,0,0,1
aa9yh,0,0,24.264509674778672,0,0,719
untzuntz,57,0,0.0,0,0,60
singhyyd,0,0,41.41341605963592,0,0,328
Ruowei,2,0,0.0,0,0,2
dannykath,10,0,629.8864374941412,0,0,4997
card95,2,0,0.0,0,0,6
samuelestabrook,0,0,73.82822020240667,0,0,535
InfiniteSamuel,1,0,0.35174845992631004,0,0,13
yurasi,10,0,139.7434234907408,0,0,487
Biff,0,0,6.432588575209136,0,0,111
sebastic,60,0,0.15108987574777402,0,0,2252
rmmunnan,0,0,5.2472356494853,0,0,34
arcticd00d,1,0,0.24958758848150103,0,0,3
maraf24,0,0,5.743419593269438,0,0,9
Unfiltered Explorations,0,0,0.0,0,0,3
Everette M,0,0,0.0,0,0,1
ediyes,5,0,2246.3688222912588,0,0,12429
splitDiff,1,0,0.0,0,0,1
ramyaragupathy,7,0,68.76635115961335,0,0,216
ridder654,3,0,0.0,0,0,12
nikhilprabhakar,113,0,31.205568098786365,0,0,393
MooreMappingServices,35,1,0.17909466635450602,0,0,45
calibretto23,0,0,7.755713043372763,0,0,33
slayrah,13,0,0.0,0,0,13
25or6to4,5,0,486.7657950804259,0,0,1758
groupb2,0,0,0.0,0,0,1
N50,2,0,0.0,0,0,25
Mitcherd,37,0,0.01937175128611,0,0,38
flierfy,1,0,6.850584909330984,0,0,683
Troumad,1,0,0.218273980865951,0,0,2
Kg4yhf,0,0,3.661136078146381,0,0,5
Taroc,0,0,0.077984028676194,0,0,2
DougPeterson,213,0,80.12792570826592,0,0,952
Rich Taylor,0,0,0.0,0,0,5
jonesydesign,1,0,187.68086514824716,0,0,1046
AaronAsAChimp,0,0,0.881420565985858,0,0,14
dima,0,0,4.616497464422185,0,0,14
allyn211,0,0,0.0,0,0,2
wcruz,0,0,11.89602403179298,0,0,6
mlakstigala,0,0,0.0,0,0,1
danbjoseph,0,0,5.5442568133991,0,0,8
WYJX,4,0,0.0,0,0,4
Angel Girl,140,0,0.559736575844698,0,0,149
bsnack,0,0,0.8669091920229951,0,0,2
stevea,0,0,28.590091021587526,0,0,205
gr33nman,5,0,0.624277082649082,0,0,22
SK53,0,0,1.105383546666217,0,0,71
Achantav,0,0,11.420177731447128,0,0,112
gregcrago,1,0,48.67124315347988,0,0,1466
herriotto,0,0,3.751973874155744,0,0,10
Thermacon,366,0,62.40210260753267,0,1,1134
darkwraith,2,0,2.926839958454686,0,0,56
isheerin17,0,0,7.550208866619549,0,0,21
antntran,0,0,0.829751825583919,0,0,6
xybot,89,0,13.640799905152088,0,1,240
MML0123,0,0,0.0,0,0,1
gabis_telenav,0,0,5.86034931572111,0,0,102
Elbowswamp,149,0,0.7806916482252211,0,0,160
dcat,0,0,2.09145498572884,0,0,30214
gpualwan,15,0,0.0,0,0,15
krinkov76239,0,0,55.69741334059424,0,0,228
Retcar,0,0,0.444858955013878,0,0,2
hikui87,9,0,456.88484122470624,0,0,3085
alph19,0,0,0.0,0,0,6
ipodolsk,0,0,0.7213730287839201,0,0,5
Williams2588,2,0,0.0,0,0,5
Steve,0,0,8.837368286853456,0,0,26
Ethan Carroll,1,0,0.0,0,0,1
Luis36995,3,0,1060.3858754890707,0,0,6736
AlexBarinov,0,0,4.653403815922108,0,0,42
abel801,0,0,186.60158004301329,0,0,749
Drew_P,1,0,0.0,0,0,9
rjhale1971,28244,0,210.4295096596227,1,2,31526
worldwidewolford,0,0,1.787625128389088,0,0,4
kd1105,11,0,1.948136428519616,0,0,20
EmilyFore,5,0,0.0,0,0,5
Martin1990k,3,0,2.341361203202593,0,0,13
mkod27,1,0,0.0,0,0,1
Iowa Kid,3,0,109.82119094396866,0,0,472
braves1993,0,0,0.0,0,0,1
ashleyannmathew,34,0,455.6591762791631,0,0,8913
vonkin,0,0,0.341696372212179,0,0,4
TransporterRDF,0,0,7.538199788157468,0,0,18
BigPeteB,31,0,17.762557337208502,0,0,425
Fabi2,0,0,0.0,0,0,14
Lophaita,1,0,0.41751119526457803,0,0,9
Nic H,0,0,2.123578889344727,0,0,2
peterfyunker,0,0,0.084117512677577,0,0,90
Timothy Smith,1001,0,285.53112514110967,8,0,3198
rmpenguino,0,0,0.0,0,0,1
William McMahan,0,0,0.0,0,0,5
adison0112,0,0,1.020752705859759,0,0,23
HurricaneCoast,2,0,0.0,0,0,5
Shawnlee636,3,0,0.0,0,0,3
Prof Eric Cameron,0,0,4.821719903897259,0,0,8
esnow2010,3,0,0.0,0,0,3
Cato_d_Ae,2,0,51.403514907324634,0,0,106
seav,0,0,0.226195894647944,0,0,6
maxolasersquad,460,0,489.9082636052474,0,0,4400
sport_rob,1,0,3.118052829229931,0,0,62
