user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
burtonm1,2698,0,1.9081458039338162,0,0,2712
drust,2546,0,3.167785045850618,0,0,2586
charris,0,0,273.7701790042628,0,0,2308
KMyers12,1970,0,3.85893443314343,0,0,2000
mgober,1757,0,0.5016434334048491,0,0,1759
vincentraybea,1128,0,24.97934995988204,0,0,1754
CJack,1244,0,55.551384356794614,0,0,1744
dufekin,10,0,232.71683987103762,0,0,1515
kriscarle,447,0,51.202778202124435,0,0,1219
Mission Aware Technologies,1056,0,0.5290223916658721,0,0,1073
KindredCoda,58,0,262.6073162272112,0,0,995
Justin0914,672,0,0.20201003005872803,0,0,674
James Destry,656,0,0.158283208219023,0,0,659
Seandebasti,38,0,23.423706579690112,0,0,499
rivermont,101,0,57.79665856050376,0,0,481
dannykath,41,0,33.40252249124773,0,0,367
Nautic,217,0,7.685291237674791,0,0,340
RichRico,1,0,31.037498200048525,0,0,252
EOSfoto,48,0,16.070065301501916,0,0,210
samely,3,0,14.85748116011397,0,0,168
LaurenMelB,159,0,0.0,0,0,159
Popolon,90,0,3.283038826351438,0,0,155
whalerich,126,0,1.247669084868611,0,0,138
Brad_B,130,0,0.775980499197866,0,0,136
Cambroulet,127,0,0.0,0,0,127
MAPconcierge,31,0,1.066082629507079,0,0,126
MichaelCollinson,21,0,3.677083630903912,0,0,122
DAJIBA,25,0,2.46981038306673,0,0,115
man671,83,0,0.6309391664567551,0,0,99
Renee Facelo,4,0,0.0,0,0,97
abel801,1,0,14.648985540055218,0,0,90
WK95,84,0,0.0,0,0,90
Gledson,18,0,9.379996421726648,0,0,88
maxerickson,6,0,4.9764176634494355,0,0,85
Helmchen42,25,0,2.8850430942089433,0,0,81
karitotp,2,0,7.770050665746438,0,0,78
Skybunny,3,0,8.50594887358876,0,0,75
OSMF Redaction Account,0,0,10.88825872538665,0,0,68
LadyRocker,11,0,9.024945641706221,0,0,68
baniku,2,0,0.0,0,0,61
Arun Balaji,58,0,0.0,0,0,58
calfarome,3,0,6.093141774454509,0,0,56
Neireh,1,0,0.0,0,1,56
andygol,0,0,8.837307260664288,0,0,54
ediyes,0,0,5.711797583372768,0,0,53
JuanitoDaBest,34,0,0.9980042591169881,0,0,53
wvdp,27,0,3.703094580463869,0,0,51
meridianeum,26,0,0.8051430187354941,0,0,51
Suckitez,36,0,0.7410705337629561,0,0,50
OPerivar,28,0,1.4367054164774111,0,0,49
hofoen,4,0,5.944424714995472,0,0,48
user_5359,0,0,11.899155629300969,0,0,47
wohnung058,36,0,0.052079365362944004,0,0,46
andrewpmk,0,0,4.099985791552703,0,0,43
karlbekk,0,0,4.450205825879348,0,0,43
OttoR,0,0,5.640198658238341,0,0,40
Jezevec,0,0,3.279715090619325,0,0,39
MShintan,37,0,0.0,0,0,38
