user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Tom_Holland,2549,0,2398.852039145784,2,0,25874
Terry93,15830,0,244.53539142542215,0,0,16718
bdiscoe,6579,0,698.7925516719018,0,0,12634
ikiya,8715,0,16.601761366510466,0,0,9317
dufekin,8,0,803.4849066515656,0,0,4880
kr4z33,1636,1,199.09402516128492,0,2,4429
Your Village Maps,360,0,158.40437849289196,0,0,3949
njtbusfan,0,0,697.1730424202614,0,0,3892
cbbaze,1684,0,76.66488156071992,0,0,3881
Adam Schneider,147,0,1044.8461656120057,0,0,3490
DanHomerick,121,0,4.425853573015695,0,0,3051
fscio,2050,0,0.404816169419744,0,0,2836
TheDutchMan13,0,0,373.5291554397431,0,0,2765
julesreid,844,1,58.19451836752081,0,0,2705
rfranke,1799,0,66.71820665619697,0,0,2011
InfiNorth,798,0,37.82336909281822,0,0,1880
Omnific,1158,0,34.387387702349066,0,1,1669
Toeby,1470,0,0.0,0,0,1471
tiger,15,0,151.44293357237152,0,0,1296
neuhausr,70,0,136.4943966199933,1,0,1261
LLAQWA,0,0,0.0,0,0,1123
Bilbo-denmark,612,0,98.22820916134172,0,0,1014
abishek_magna,902,0,1.818995305309481,0,0,961
sissou,213,0,109.88550059339558,0,3,908
ksamples,0,0,202.0240692815534,0,0,876
cbaze,513,0,17.878791599370906,0,0,876
Hendrikklaas,0,0,246.64053493889864,0,0,829
Diógenes de Sinope,0,0,1.862140963696557,0,0,784
btwhite92,0,0,113.04262617289332,0,0,779
MonsterMapper,638,0,1.752906463787079,0,0,725
Arbiter787,282,0,18.427475549739743,0,0,699
PPPeter9,606,0,12.995320306954357,0,0,677
MitteloberrheinischerWaldameisenschreck,527,0,15.173034009449681,0,0,623
monaliki,37,0,16.525498050006004,0,0,611
clay_c,0,0,61.63733321303821,0,0,584
Grace T,423,0,11.349470781246131,1,1,561
amilopowers,127,0,61.002992638098334,1,0,553
Cynthia MIAO,524,0,0.0,0,0,524
Alan Trick,55,0,47.625636561214115,2,1,523
aaront,120,0,30.118525112021363,0,0,514
emorye,317,0,6.040237637305736,0,0,505
Mission Aware Technologies,495,0,0.0,0,0,496
achan25,469,0,0.806792741652386,0,0,491
sfontravel,53,0,55.40694113834406,0,0,477
Юкатан,78,0,12.00464069738058,0,0,442
phidauex,156,0,56.94338755176539,0,0,429
beweta,18,0,26.53018638081061,0,0,415
lokejul,75,0,7.310904167026576,2,2,406
MichaelCollinson,31,0,13.431884697858449,0,0,403
lacram_telenav,0,0,33.11713726370552,0,0,402
Brett Botbyl,74,0,10.906135164513946,0,0,395
FahRadler,4,0,0.181907205028943,0,0,382
BigMoney102,54,0,8.114286966668951,0,0,380
maxerickson,28,0,42.908701358194484,0,0,376
VictorIE,39,0,35.78133160993518,0,0,338
DoubleA,220,0,12.62492805308009,0,0,338
hgy,122,0,46.83945519325768,0,0,338
release_candidate,21,0,79.72525770705552,0,0,334
doublepar,5,0,0.0,0,0,332
jaecord,74,0,59.58689358279544,0,0,332
ZeLonewolf,2,0,135.11812071365688,0,0,326
Judge P,322,0,7.564341552924869,0,0,326
user8192,95,0,1.532209963340052,0,0,324
Brendan_egan,255,0,14.67529710408203,0,0,312
vogelfreier,257,0,5.01487133495915,0,0,311
Korgi1,247,0,15.233003362211338,0,0,301
Humus015,233,0,1.9459244959103261,0,0,290
Семён Семёнов,201,0,15.099466389469,0,0,289
kefortney,256,0,5.9450335867530235,0,0,283
Brian@Brea,2,0,15.613381134169295,0,2,280
marcbr,120,0,17.405047251010064,0,0,273
TinaVD,264,0,0.0,0,0,264
Schienennagelhammerträger,4,0,48.09609147908961,0,0,259
SK-808,155,0,2.579601332759074,0,0,257
atomwaffen,60,0,0.078736223876749,1,0,246
MPSTEAM,239,0,0.14717120159229702,0,0,244
radek-drlicka,0,0,0.0,0,0,240
ryandrake,3,0,6.369855298831516,0,0,238
thetornado76,150,0,0.456455214742765,0,0,237
LilSwimKatie,232,0,0.0,0,0,234
davidtheduckfan,135,0,32.74355405395822,0,0,233
hipaul,38,0,13.379425172170766,0,0,231
Brian Reavis,0,0,146.82775263394112,0,0,231
Trex2001,42,0,2.899494276315144,0,0,228
ParagonPrime,57,0,27.00133173830593,0,0,228
LeTopographeFou,226,0,0.0,0,0,226
b-jazz,65,0,15.615242825469391,0,0,224
GeoFrizz,201,0,5.090141762279934,0,0,223
samjojo,55,0,6.15501218858936,0,0,223
Darren Schibler,178,0,12.618434864823548,0,0,223
lyx,0,0,10.827249678330606,0,0,219
Oberaffe,0,0,0.0,0,0,212
alsaihn,184,0,6.454443267984,0,0,210
Chrisi_LE,0,0,55.09188316654619,0,0,204
pyram,110,0,3.618685077484316,0,0,202
Edward,37,0,0.0,0,0,202
rivermont,32,0,29.901704341737126,0,0,197
nnabua,37,0,2.935441435352768,0,0,196
Павел Гетманцев,0,0,15.681501911574987,0,0,192
ForstEK,171,0,7.472400935765082,0,0,191
Tom Layo,113,0,1.022776650447707,0,0,182
PKeenanvt,178,0,0.0,0,0,178
seattlefyi,53,0,0.143276225511452,3,0,177
M@rtinS,152,0,8.469421787969148,0,0,174
lvan999,138,0,0.38249751418034506,0,0,173
JeffH,9,0,12.613561652578872,0,0,173
GUK OSLO,171,0,0.0,0,0,171
Vlad,53,0,14.7740306851235,0,0,170
emem,6,0,41.41412367468842,0,0,168
dima,3,0,70.25121933236512,0,0,168
Hartmut Holzgraefe,0,0,90.94680154388685,0,0,168
dpp,97,0,6.676508278346563,0,0,162
b-jazz-bot,47,0,0.0,0,0,160
Fillifera,155,0,1.322397071090423,0,0,160
RAytoun,44,0,34.17138897043974,0,0,158
SimMoonXP,0,0,52.571686265586294,0,0,154
Redsniper77,152,0,0.0,0,0,152
42429,3,0,5.345939596559099,0,0,148
Mele Sax-Barnett,7,0,2.125808110081164,0,0,146
MrsSoule,142,0,0.0,0,0,146
Bike Mapper,62,0,7.108432951882733,0,1,146
amillar,0,0,0.0,0,0,146
AaronAsAChimp,144,0,0.0,0,0,145
EdSim,129,0,0.0,0,0,144
pizzaiolo,31,0,0.720583152753384,0,0,143
osm2xp,119,0,0.18314836469252901,0,0,140
mds08011,106,0,2.037097059617234,0,0,137
keepright! ler,19,0,2.848602049459571,0,0,136
GITNE,1,0,2.142518256130149,0,0,135
WILSON_forbin,131,0,0.0,0,0,133
Baron Harkonnen,0,0,0.0,0,0,133
nstasiak,131,0,0.84532616236797,0,0,133
khbritish,128,0,0.0,0,0,132
Michael Motoki,2,0,13.529067741499416,0,0,130
ddarovsky,128,0,0.0,0,0,128
Ivandor,116,0,0.924910646734395,0,0,126
bot-mode,0,0,23.424012457757783,0,0,126
obake8,1,0,5.827174031731661,0,0,124
DaveHansenTiger,0,0,8.886387959937151,0,0,124
dotdash,122,0,0.36215137905222805,0,0,123
Kahu Moka,0,0,14.753768504113573,0,0,123
T99,2,0,15.974231517758142,0,0,123
altonc,111,0,1.500871318838117,0,0,122
pdunn,1,0,11.901006663130532,0,0,121
Stereo_repair,0,0,0.0,0,0,121
Palolo,3,0,36.76250907813327,0,0,120
RichRico,0,0,6.747370835728591,0,0,119
Travis Krause,89,0,17.01914856093721,0,0,119
Henry Pollt,100,0,0.19697702454886,0,0,119
lukobe,7,0,7.973342084432122,0,0,119
samely,1,0,17.692441018286026,0,0,118
mash84121,72,0,0.29816589884215905,0,0,117
Eleanor22,114,0,0.0,0,0,115
KC Chan,100,0,2.635453003176253,0,0,115
Heptazane,15,0,36.804776216911044,0,0,114
bhavana naga,14,0,23.728636083549333,0,0,114
Curtis K,0,0,1.674776692465369,0,0,114
Michael Andersons,113,0,1.164649805546966,0,0,114
wearcoffee,1,0,0.0,0,0,114
user_5359,52,0,4.607386614692469,0,0,113
GISMatt219,101,0,3.066873524994021,0,0,112
FvGordon,54,0,7.317720504955633,0,0,111
kingrollo,94,0,2.36389179668394,0,0,110
US Woods,0,0,0.0,0,0,109
RicoZ,8,0,19.27376221886997,0,0,109
Nautious1,13,0,7.495687209517202,0,0,109
HarmHarm,49,0,16.425032752112784,0,0,104
kstinebaugh,103,0,0.0,0,0,104
Latze,103,0,0.0,0,0,103
Kyungbin,100,0,0.016018918966852,0,0,101
doughertyt,15,0,2.076292013389337,0,0,101
made2k,16,0,5.186397222814029,2,0,98
isync,31,0,0.0,0,0,98
LinusA,5,0,9.414382216422357,0,0,97
oldtopos,0,0,5.636697295683442,0,0,97
Jano John Akim Franke,23,0,1.86994596175377,0,0,96
Awo,19,0,6.343626303599136,0,0,96
nyuriks,26,0,0.24172504033806402,0,0,96
leijurv,0,0,16.341210755801228,0,0,96
Isaac Moody,95,0,0.0,0,0,96
Jothirnadh,19,0,2.260501337332023,0,0,95
mschaeffer53,93,0,0.016667957330785,0,0,94
wikri,74,0,1.600198027961057,0,0,94
dannykath,1,0,11.485515861581392,0,0,94
Data411,3,0,27.96230039794031,0,0,93
ediyes,0,0,13.863439734241496,0,0,91
stevea,0,0,0.0,0,0,91
itsamap!,1,0,6.785295938000273,0,0,89
Sarr_Cat,50,0,3.172158207335748,0,0,89
HIGeek,3,0,8.677811290062621,0,0,88
Minh Nguyen,1,0,0.0,0,0,88
Imp_GL,5,0,4.984743429412515,0,0,86
Roger Branon Rodriguez,84,0,0.0,0,0,84
Saiesha,84,0,0.0,0,0,84
Libor Bednarik,65,0,1.718197070727855,0,0,82
ossu,4,0,1.51653289253062,0,0,82
Sequencer,15,0,0.371815728703279,0,1,81
