user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
DParo,0,0,0.255928680909277,0,0,1
StanB,0,0,0.0,0,0,1
tammpava,0,0,0.21043521832157303,0,0,1
DaveHansenTiger,0,0,38589.916782805776,0,0,95021
ulthra,0,0,0.5887409151356691,0,0,5
AndrewSnow,33,0,265.2453992701887,0,0,622
ianmcorvidae,0,0,0.0,0,0,19
Brad Meteor,817,0,1642.8086025618236,0,3,6892
ProffessorQD,0,0,1.494663180541855,0,0,20
Anton Lavrov,59,0,237.20555707376226,0,0,1234
shawat94,0,0,76.27352332819366,0,0,702
TheDutchMan13,0,0,11351.668930924976,0,0,25487
EsoxGiant,0,0,0.0,0,0,3
Unusual User Name,0,0,178.17106738605713,0,0,439
AndrewBuck,0,0,4.581305124202095,0,0,4
Natfoot,52,0,1087.5825780594457,0,0,5758
luudantot,1,0,0.0,0,0,1
stevea,3,0,66.78633900258912,0,0,2417
Jason Abbott,0,0,36.390879724029375,0,0,36
amillar,10,0,15.84314576688067,0,0,1233
tony quartararo,0,0,0.0,0,0,2
Spanholz,0,0,799.6909006703914,0,0,1128
mikemarcacci,0,0,0.8116620378718591,0,0,2
mrlanduse,0,0,0.0,0,0,77
iggujja,0,0,0.338511625398766,0,0,2
lonvia,10,0,143.6828475349218,0,0,286
MapperMudkip_import,55,0,0.0,0,0,55
OSMF Redaction Account,0,0,87.40223139402607,0,0,78
andreis_telenav,0,0,0.371881195176726,0,0,6
megcda,10,0,6.033836776880495,0,0,29
srmudava,0,0,4.524364209096964,0,0,12
coleman,0,0,5.934755105123507,0,0,8
ahardy19,291,0,14.898233059712922,1,0,444
biancah_telenav,0,0,1.826687183269279,0,0,7
bwarren,2,0,0.0,0,0,3
Brian Reavis,29,0,4504.508575999418,0,0,5250
ChrissW-R1,1,0,0.0,0,0,4
Dilys,0,0,1.729086020291605,0,0,2325
bapup,0,0,0.297169944652597,0,0,3
emem,2,0,25.63378849785201,0,0,229
Nehaj,0,0,0.0,0,0,39
DavidYJackson,0,0,2.388916378526425,0,0,10
tkirkham,4,0,0.0,0,0,25
