user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Timothy R,34,0,1.126629370318863,0,0,67
dustindt,0,0,0.13428782573283402,0,0,2
devinp,50,0,23.85543180306665,1,0,213
42429,97,0,140.79694272231256,0,0,9102
locatus,0,0,0.205293453290148,0,0,2
147501,108,0,0.0,0,0,108
Peoria Bill,0,0,0.47309102664386005,0,0,3
1220975,0,0,0.0,0,0,5
zireael,1,0,0.0,0,0,3
563214865,1,0,0.0,0,0,2
nsexton147,0,0,0.0,0,0,5
hogrod,2022,0,878.7518495650675,0,0,6657
LKB24,4,0,0.0,0,0,8
bdiscoe,95913,0,5352.479672903449,0,0,152102
Jochen Topf,0,0,1.096655773889123,0,0,3
DaveHansenTiger,0,0,15417.945732650358,0,0,74107
benzo_benzo,0,0,0.0,0,0,1
iandees,1976,8,544.3764280011497,0,2,35363
SantaSpatula,0,0,3.779720283462945,0,0,17
amillar,281,0,10.854945789232561,0,0,1797
Artem666,0,0,0.0,0,0,1
manitec,0,0,47.84788851624322,0,0,85
tashawn22,0,0,0.0,0,0,92
bruck4,4,0,0.7780722362269971,0,0,2580
Cornelius Neumann,0,0,0.0,0,0,2
sttbss,0,0,38.25934276105436,0,0,66
msdess,44,0,0.31850518580596604,0,0,47
RetiredInNH,0,0,512.5810458510389,0,0,1599
WalkerHamilton,97,0,0.7456634392346441,0,0,127
Eliyak,203,3,571.3352578633314,0,0,8107
bwbaker,1,0,0.297025164655114,0,0,22
MikeNBulk,0,0,0.0,0,0,20903
NicRoets,0,0,0.021598884136019,0,0,3
DavidLiu5059,0,0,508.0643530682061,0,0,880
clNighthawk,2,0,0.0,0,0,2
Geogast,24,0,123.62731663193803,0,0,6156
johanemilsson,2,0,0.0,0,0,2
whitemagex,8,0,6.886045629395888,0,0,171
Chitownbarb,0,0,0.0,0,0,1
user_5359,675,0,55.49953147348312,0,0,1471
sleider2,1,0,0.0,0,0,1
25or6to4,9,0,239.52984388410513,0,0,1444
teall,0,0,0.0,0,0,1
MikeN,540,0,1944.9619724362467,0,0,8990
merikaytpatton,1,0,0.0,0,0,1
b-jazz,88,0,79.78114121335796,0,0,1149
waynew1,1,0,0.0,0,0,3
Mulad,431,0,3395.5676746996423,0,0,27614
nmblunier,1,0,0.0,0,0,1
dannykath,10,0,578.3953181336819,0,0,3670
Mark Freeze,32,0,0.9369559053734091,0,0,38
sejohnson,239,0,151.84873839997752,0,0,934
Jetmech135,0,0,0.0,0,0,2
b-jazz-bot,913,1,8.197514920632376,1,1,2529
Cassidy Weller,3,0,0.652946052335397,0,0,5
Brutus,3538,0,441.22035033026845,0,0,7502
Jeff Ollie's Bot,0,0,0.0,0,0,122
gausserrorfunction,0,0,0.0,0,0,7
aphedox,2,0,0.0,0,0,13
cswaroo,0,0,74.50351252512486,0,0,160
EbersGIS,5,0,3.194862549446439,0,0,211
hofoen,27,0,688.9285634823552,0,0,2200
Greenderp,0,0,0.0,0,0,3
dwatling,23237,3,447.1710165838911,2,2,36711
ngokulk,0,0,0.0,0,0,1
xybot,14,0,3.7288344242545692,0,0,245
lingg,33,0,4.982991113096097,0,0,101
NE2,1,0,1809.9836328320464,0,0,8162
pianocello,0,0,6.912530786194875,0,0,122
LocalTrailgeek,3,0,355.87929259277445,0,0,2156
satwell,0,0,0.23272558157414103,0,0,1
WalkerOneFive,2,0,5.526127857275968,0,0,49
BFX,0,0,0.9087844851417961,0,0,6
siranachronist,0,0,170.32123215943946,0,0,784
ecvizie,2,0,0.0,0,0,2
RichRico,88,0,441.6535765673675,0,0,4106
M E Menk,0,0,0.0,0,0,1
piligab,7,0,176.7419840011957,0,0,2119
JMSN,1,0,0.0,0,0,2
iamgrower,0,0,0.0,0,0,2
E_Tompkins,1,0,0.0,0,0,10
Luis36995,2,0,371.0650710462474,0,0,2330
sandhill,0,0,4.843456625640988,0,0,17
GreyTK,0,0,0.0,0,0,1
45723,1,0,0.0,0,0,1
