user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Indianamap_imports,0,0,0.0,0,0,140551
bot-mode,0,0,33484.58505697481,0,0,101312
DaveHansenTiger,0,0,11224.98728365187,0,0,90818
Omnific_louisvilleimport,52307,0,26.152661859604407,0,0,67188
civicdata_nolaimport,39791,0,66.45710537857552,0,0,58702
rama_ge,22249,0,1124.843315417407,0,0,47925
Dr Centerline,10848,0,6767.952843788594,0,1,44108
jgon6,13484,3,1172.4601581651477,3,2,39776
Sangueffusor,1850,1,13072.828491760738,0,1,37357
svance92,7621,0,1840.882909456944,1,0,34898
SSR_317,1319,2,1799.9430971916477,0,0,33319
debutterfly,37,0,5045.994477077976,0,0,25432
maxerickson,1269,0,2136.3137132968286,0,0,23619
erjiang_imports,15,0,71.8025937636471,0,0,23596
athalon012,6764,1,1170.1119869061963,1,2,23462
cbcb77,12942,0,434.41876801795314,0,0,21108
Minh Nguyen,3204,0,2412.36160992097,0,0,18931
tebiggs,13225,0,619.9156738772891,0,0,18705
zephyr,1,0,2.9407253537511,0,0,18447
jbwalters22,4373,0,422.28288541779045,0,2,14256
gregcrago,20,0,3553.4337826192896,2,0,11484
anaspalding,11464,0,0.14528088952132,0,0,11466
cassini83,2311,0,1261.6142487647635,0,0,10889
chicago-buildings,10146,0,0.0,0,0,10146
Extant,403,0,979.5516070764244,0,0,9874
JohnnyMorbo,1679,2,294.22826826017746,0,0,8809
dcs,202,0,1324.5893281274143,0,0,7984
civicdata_louisvilleimport,3596,0,0.037619441757963,0,0,7525
JulienneChen_importlouisville,2467,0,0.49118439984047,0,0,7327
Omnific,1933,2,52.18194834238281,0,0,7155
jdbark,319,0,253.39977246508008,0,0,7040
thekl0wn,2246,1,88.15581342110842,0,0,6409
Nate_Wessel,257,0,1151.7921543288026,0,0,6214
Shadowclaimer,3530,0,117.78723305028484,0,0,6194
sassybill,3042,0,198.17034050246218,0,0,6115
lrhill,3654,0,175.31527356429177,0,0,5692
iandees,36,0,33.637004134377094,0,0,5629
KD9ERY,2621,0,248.12106634926621,0,0,5241
jonesydesign,28,0,660.8415109679164,0,0,5199
42429,25,0,101.6022279022352,0,0,5190
rluttmer_louisvilleimport,3313,0,0.0,0,0,4970
sasengup,1993,3,256.1965655081422,1,0,4722
Michael B Jones,906,0,211.10734946062456,1,0,4561
orienteerer,23,0,559.4376663316233,0,0,4547
travis0,598,0,1431.6607011299784,0,0,4514
erjiang,536,3,250.3499913499175,3,0,4439
MikeN,12,0,789.6361113907012,0,0,4405
LinuxScribe,317,0,557.8552871144976,0,0,4251
atepoorthuis_louisvilleimport,2573,0,0.027950956269839,0,0,4249
AndrewSnow,70,0,651.9904774981715,0,0,3966
GNR8,2276,0,293.1551242703573,0,0,3871
Richard,6,0,3126.461342721388,0,0,3734
NE2,0,0,847.9022516171915,0,0,3700
DeVietor,645,0,385.59173439070076,0,0,3657
R024,1364,0,22.41901712937989,0,0,3612
Rub21,0,0,588.7457293161341,0,0,3453
Hagar66,93,0,121.9438721325217,0,0,3399
Eric Fischer,3,0,1047.2203928663855,0,0,3362
Jasonp1987,3146,0,29.497306853418543,0,0,3355
ingalls,1338,0,43.50615852781271,0,0,3248
Edward,124,0,1.66258977854536,0,0,3236
lmason_aph,70,0,2.18634319186249,0,0,3214
Tom Layo,361,0,234.9459112343408,0,0,3173
BitQuest,2141,0,85.65055021059905,0,1,2972
torapa,644,0,637.1585134318037,0,0,2948
fredjunod,2,0,1171.992962691881,0,0,2843
Geogast,4,0,68.30854563128628,0,0,2694
woodpeck,1,0,0.377212228695298,0,0,2684
