user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
jarenf,0,0,1.510448527246196,0,0,1
dwatling,0,0,0.0,0,0,6
miqrogroove,0,0,0.269841964472598,0,0,2
42429,2,0,68.82663622141943,0,0,2396
mappy123,4,0,0.0,0,0,6
yakingman,300,0,3819.16166853322,0,0,12054
jerjozwik,0,0,0.139018308082343,0,0,1
gregcrago,2,0,1148.5832357520987,0,0,4178
silakshm,0,0,0.206266991431747,0,0,1
Kyle Gates,719,0,26721.12761749931,0,1,35112
Circuit_Rider,22,0,0.151227906944081,0,0,28
dcat,0,0,0.0,0,0,254
Snakebite,0,0,10.367053340049383,0,0,5
Aurimas Fišeras,22,0,0.14464048029072102,0,0,712
GrandmaB,0,0,0.0,0,0,2
mgoe,13,0,9.555501848429195,0,0,104
chadaporter,0,0,0.301183660611057,0,0,6
RitterR,0,0,0.0,0,0,72
rhilde,3,0,0.285225546525669,0,0,9
amillar,245,0,4.920069441166818,0,0,1728
davidbolton,15,0,1.410991920657176,0,0,19
iandees,1405,0,114.79751130248712,0,0,8928
Renner Anderson,1,0,0.08850059358521101,0,0,5
Pnrrth,0,0,1.779457714763487,0,0,2133
zehpunktbarron,0,0,0.523718154147073,0,0,9
Jeff Ollie's Bot,0,0,0.0,0,0,65373
TIGERcnl,0,0,0.0,0,0,5
methowmade,0,0,60.71949291941315,0,0,30
missouriskier,0,0,1.7773152254351192,0,0,6
LMert,0,0,5.780802001286215,0,0,67
afangman,3,0,0.850104922380006,0,0,40
ColbyDigsSoil,1162,0,225.71869025562697,0,1,3456
adbrown,0,0,0.27374451479170403,0,0,4
RichRico,6,0,105.11864479769993,0,0,360
fschmidt,1,0,0.0,0,0,1
maxerickson,2936,0,3433.2776773256246,0,0,30067
computer_freak_8,0,0,0.15221449040211601,0,0,1
bullmap,0,0,36.994557044699505,0,0,19
Greising,5,0,0.0,0,0,6
jakraay,634,0,830.6197560151858,0,0,6154
mayorgatellez,0,0,0.051261010004782004,0,0,1
chandusekharreddy,0,0,0.0,0,0,5
estandard,13,0,1.17660697917206,0,0,22
traisjames,0,0,0.39226608005879204,0,0,2
Tomasz_W,0,0,0.0,0,0,1
Med,0,0,0.0,0,0,18
askewchan,3,0,2.746394100305393,0,0,15
Tornado9989,22,0,51.02384743624159,0,0,241
Volker Fröhlich,0,0,0.039287713159008,0,0,3
DougPeterson,0,0,0.0,0,0,113
Seth Birkby,11,0,0.47519265872985805,0,0,31
Alan Trick,0,0,28.42335911046263,0,0,102
LasloB,0,0,6.518208562243211,0,0,23
Milo,454,0,4727.866408065846,0,1,17608
mark222099,2,0,0.0,0,0,2
Rps333,1,0,2.285740085260727,0,0,10
1233214,11,0,0.10322584755859501,0,0,19
25or6to4,11,0,243.40037615252692,0,0,1029
bot-mode,0,0,24936.081489109747,0,0,37979
NE2,0,0,822.9901011497408,0,0,3287
