user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
adam james,0,0,0.971800299993234,0,0,7
Peter Black,0,0,0.18301644362819203,0,0,1
cforin,0,0,0.6066277899917261,0,0,2
42429,1,0,23.856795598356438,0,0,143
kcmapguy,2,0,0.7438140916993811,0,0,29
wegavision,338,0,967.0457103953224,0,0,1553
pathkh,0,0,1.1924220385862,0,0,2
balrog-kun,0,0,20635.24685983803,0,0,38983
Estabahn,195,0,16.782997089933808,0,0,393
railfan-eric,560,0,2316.2939014172193,0,0,12510
jeramygm,1,0,0.0,0,0,1
nyuriks,4,0,0.0,0,0,801
digitaldm,0,0,0.0,0,0,6
ToeBee,5935,3,11776.22883900122,0,5,52450
thunderstrik,0,0,0.0,0,0,1
MikeN,0,0,382.89790130331085,0,0,1524
edhallpg9,0,0,0.0,0,1,25
bahnpirat,11,0,165.45234428869807,0,0,19472
rayn,3,0,0.010146361361651,0,0,4
yurasi,2,0,23.323743757954567,0,0,140
Robb2,1,0,0.0,0,0,1
Ty8769,0,0,10.535280917054322,0,0,34
ecowger,6,0,0.0,0,0,7
mdroads,0,0,404.99972642828095,0,0,478
BRMap,562,0,0.0,0,0,577
Richard,0,0,10223.013538481604,0,0,6839
tbicr,1,0,0.0,0,0,3
nikhilprabhakar,6,0,17.039284207917937,0,0,103
sbaitso,0,0,2.385118185130247,0,0,9
andrewpmk,30,0,155.18033647262916,0,0,1044
elbatrop,0,0,0.0,0,0,3
Jruze,0,0,195.1821486632152,0,0,250
thepatriots,3,0,0.0,0,0,13
Didger85,0,0,40.464695996225814,0,0,152
captain_dirtbag,2,0,0.094743638608969,0,0,5
dbldub,1,0,2.229760415012924,0,0,69
Highriskbusters,1,0,0.0,0,0,2
dufekin,8,0,2449.5760352010907,0,0,6342
derFred,3,0,0.026240275928418003,0,0,7
elkueb,32,0,526.2081407762203,0,0,969
Rhyn0man,0,0,1.477341859453607,0,0,21
sannkc,31425,4,3067.740748352292,2,3,93413
Giardia,0,0,0.090069917320667,0,0,3
lonewolf3861,24,0,72.49808465226076,0,0,513
jroltgen,0,0,0.7314783281140521,0,0,4
Edward,89,0,0.158763955504299,0,0,579
catalinad_telenav,0,0,3.020072386467792,0,0,33
pnorman,2,0,113.81772812916603,0,0,226
yakingman,2,0,0.0,0,0,5
Spanholz,9,0,225.977083089844,0,0,319
dpaschich,0,0,0.0,0,0,1
Geogast,2,0,27.77697719809634,0,0,1405
Wim L,5,0,11.21972106138101,0,0,24
elyk,171,0,667.1932652580482,0,1,7961
HaydenColleen,3,0,0.043810196497814,0,0,11
Wolfram Sobotta,0,0,2462.170608371746,0,0,1331
apfeifer,0,0,0.0,0,0,6
OSMF Redaction Account,0,0,1.559927676689044,0,0,22
ApexDelicto,0,0,0.0,0,0,1
rza31,152,0,232.2828672207221,0,0,489
jgruca,0,0,0.267458973955475,0,0,1
US Woods,0,0,0.948362220074308,0,0,86
dieterdreist,1,0,0.413990201202008,0,0,5
NE2,1,0,919.0958081434338,0,0,2033
amillar,114,0,0.38213148596923,0,0,1708
Natfoot,4,0,45.901855793342115,0,0,323
iandees,306,0,0.0,0,0,4997
jotzt,0,0,6.219440228416839,0,0,4
nullsoftx,0,0,668.2787089813432,0,0,608
zephyr,3,0,0.0,0,0,15112
davidearl,0,0,0.0,0,0,583
Tom Hogan,0,0,0.7688589621224331,0,0,6
RCallihan,10,0,0.0,0,0,13
bbmiller,0,0,51.56252832521794,0,0,288
Maarten Deen,1,0,0.0,0,0,1
dbdeboer,0,0,0.43445131882388105,0,0,6
DeputyMikeGarcia,0,0,3.035931065039129,0,0,1
Speight,0,0,11.241388063695355,0,0,7
Ramya Shankar,8,0,7.9866578140489075,0,0,11
jinalfoflia,1,0,26.086890997323373,0,0,48
Rps333,0,0,0.0,0,0,1
ploppy,0,0,0.0,0,0,2
bot-mode,0,0,200.826307197197,0,0,500
sanganabongina,0,0,0.12004959694663601,0,0,2
NickBolten,0,0,26.231699545461446,0,0,137
ediyes,0,0,46.88379841824402,0,0,130
maxerickson,566,0,1863.944246603787,0,0,13375
mdnolind,0,0,11.462393310559085,0,0,9
zoglmannk,0,0,3.378142784119105,0,0,4
riiga,0,0,5.035130401001417,0,0,18
sephiroth90,1,0,3.198816896675551,0,0,19
Nish5115`,14,0,2.9172548991083023,0,0,34
jmdppl,1,0,1.782765088983584,0,0,46
Stephen214,0,0,26.690688852844296,0,0,330
David Crochet,1,0,0.0,0,0,3
dannykath,5,0,75.15610315596082,0,0,317
Bryanna M,9401,0,306.4645792413297,1,1,12976
JoshuaKGarner,0,0,34.831824354116485,0,0,20
DanHomerick,0,0,2.355997160297032,0,0,7
filot,0,0,0.0,0,0,1
Paul Johnson,89,0,4378.723950955368,0,0,13022
pete404,47,0,21.401211157179926,0,0,219
Skybunny,2,0,646.517902172677,0,0,1522
Jesse Todd,7,0,2.13226122762515,0,0,30
Zebadiah Steeby,0,0,0.0051404131093270005,0,0,1
HubMiner,13,0,0.0,0,0,34
sashasaverage,1,0,0.0,0,0,1
beweta,24,0,9.346507676853976,0,0,138
cuinn,0,0,0.0,0,0,1
choess,1,0,1.510237361848169,0,0,71
BMAR7,0,0,0.0,0,0,1
fredjunod,0,0,52.07977541254307,0,0,132
LarsBG,40,0,87.40477973000215,0,0,190
James Michael DuPont,69700,0,805.9804028664744,0,1,89959
SD Mapman,18,0,525.3787381975027,0,0,1725
partim,1,0,0.0,0,0,3
karitotp,0,0,268.15271413861774,0,0,705
homer__simpsons,3,0,0.0,0,0,3
neuhausr,17,0,6.703192579657522,0,0,73
Jesús Gómez,1,0,0.0,0,0,3
TSM1904,0,0,0.0,0,0,1
Zerson,12,0,1.9241210046960011,0,0,21
natrod22,1,0,0.401040346720249,0,0,30
houston_mapper1,30,0,28.79144887348504,0,0,158
ryanbank,1,0,0.019644501036189,0,0,2
dcat,0,0,0.9940542215377761,0,0,2492
har777,0,0,0.350847107004146,0,0,2
Your Village Maps,1127,0,826.8828843472357,0,3,8170
owenh,0,0,85.57556569004761,0,0,215
cgu66,4,0,0.39571844032789505,0,0,14
MatthewKluft,0,0,51.756622780051245,0,0,76
fly2279,1,0,45.788832132134985,0,0,19
map93,2,0,3.039797513093901,0,0,26
ChrisZontine,0,0,3.872881420980038,0,0,17
AM909,0,0,1.4974989558928151,0,0,11
Medigo,3,0,13.21042885572758,0,0,27
jaimemd,0,0,0.8141214064886251,0,0,20
emacsen_dwg,0,0,1.086135286386806,0,0,2
emily2309,3,0,0.057757487822969,0,0,4
Tom Layo,8,0,123.43398424382008,0,0,325
pddondet,0,0,0.06488319264181701,0,0,1
b-jazz-bot,182,0,3.212207574718794,0,0,440
sm_genie,1,0,0.0,0,0,1
Carl Simonson,8,0,8.27357594654646,0,0,43
wvdp,50,0,43.26495778205116,0,0,207
Little Brother,7,0,0.473812865288437,0,0,34
JustinSaneV2,935,0,154.90121140057843,0,0,4603
LSIBLEY,0,0,0.7136573200407871,0,0,5
Johnny Mapperseed,25,0,5.3924258979187485,0,0,52
KDOT,6,0,1.694829539093525,0,0,15
Peter14,0,0,153.8348218727145,0,0,300
eric22,0,0,0.0,0,0,13
Schusch,0,0,0.0,0,0,21
gormur,2,0,59.04588000002303,0,0,144
dintrans_g,2,0,4.058367916192132,0,0,60
Andrew Matheny,0,0,1.856038136387594,0,0,8
zostay,0,0,0.0,0,0,3
aarthy,0,0,3.987501717183875,0,0,11
herbm123,11,0,3.297501444630961,0,0,35
h4ck3rm1k3,0,0,0.0,0,0,111
mneko,62,0,0.0,0,0,92
Aleks-Berlin,3,0,15.244291318551936,0,0,49
wooddy1981,10,0,0.0692528588807,0,0,19
ruthmaben,6,0,43.506111025121854,0,0,120
andygol,34,0,76.93601932254236,0,0,103
Iowa Kid,4,0,21.3044023310466,0,0,105
greggerm,0,0,0.0,0,0,31
SimonPoole,0,0,26.156844857896434,0,0,22
Jedrzej Pelka,0,0,9.310753179606689,0,0,6
Nate_Wessel,28,0,48.370948805668235,0,0,229
Gant,0,0,1.382046037247876,0,0,10
itsskabo,0,0,19.972851017589512,0,0,8
faeich,0,0,0.09709460704565101,0,0,1
geowas,0,0,5.840122589608079,0,0,8
frosty11x,27,0,0.0,0,0,30
ToeBee-Imports,926,0,0.0,0,0,10729
aphane,0,0,0.17131084435937402,0,0,1
Twilight Sparkle,0,0,381.1276366276999,0,0,179
Bike Mapper,0,0,0.076781869971625,0,0,1
StackKorora,1078,0,789.4269103561402,0,0,5113
NE3,0,0,135.24614908714398,0,0,230
Windydrew,1,0,5.8468726156586115,0,0,9
xybot,2,0,1.886942262074669,0,0,112
wambacher,0,0,6.644200250066229,0,0,21
the Sandinator,1,0,14.984519350299477,0,0,25
vpprahar,0,0,21.40970318215929,0,0,24
sixfoureight,0,0,6.539523401087682,0,0,20
AndrewSnow,2,0,44.84560436691157,0,0,235
voodoochief,195,0,0.0,0,0,196
ethylisocyanat,0,0,1.7772759522488042,0,0,36
Ausgebuddelt,45,0,0.0,0,0,45
rawamegh,0,0,1.726744304863927,0,0,5
eaglstun,1,0,0.0,0,0,1
Taroc,0,0,3.146482252933564,0,0,3
craigloftus,0,0,3.2818411651826658,0,0,18
tebiggs,0,0,0.0,0,0,7
RichRico,1,0,100.14380066604582,0,0,392
Hoopa93,0,0,0.947166600166998,0,0,12
adjuva,2,0,2.085720900634741,0,0,12
fdb,0,0,0.0,0,0,3
tylerjohnst,0,0,0.674611925304603,0,0,3
Dr Kludge,14,0,3.312306619960949,0,0,83
Nathanael Smith,0,0,1.038092292567056,0,0,10
csoul,333,0,487.4115502238144,1,0,2906
djb257,0,0,0.0,0,0,1
PlaneMad,0,0,2.124426112204815,0,0,24
brendan77,0,0,1.65657970318279,0,0,2
Parcanman,0,0,2.545222347705412,0,0,16
Enter Name Here,300,0,10.681184801944628,0,1,431
mahahahaneapneap,0,0,65.76731810015943,0,0,80
Megan McFarland,0,0,0.19310823080278502,0,0,4
Jothirnadh,0,0,3.330923453167072,0,0,38
piligab,0,0,15.737721314517366,0,0,77
SimMoonXP,0,0,72.96921644272432,0,0,58
jonesydesign,0,0,43.98306638046395,0,0,109
Christine_E,8,0,17.051871290363017,0,0,92
Quantifier,0,0,0.0,0,0,4
kempelen,1,0,0.0,0,0,2
herriotto,0,0,0.6429558870663801,0,0,5
Timothy Smith,332,0,146.11453148701216,5,0,1040
bhclaassen,6,0,0.0,0,0,6
dhaird,1,0,34.79297957529116,0,0,174
oliviap_telenav,0,0,6.139923096951263,0,0,4
MrKoch1985usa,0,0,49.97660243995183,0,0,15
lemba,0,0,13.627283302713305,0,0,6
CFouard,4,0,0.034124029383975005,0,0,13
RationalTangle,20,0,1.496205244048352,0,0,40
Tetzemann82,38,0,0.0,0,0,58
pschonmann,0,0,0.9557300770834911,0,0,3
thetornado76,3,0,3.295287866781953,0,0,70
rprescott,0,0,93.775752232472,0,0,243
Oberpfälzer,1,0,0.0,0,0,1
wingettrun,1,0,0.49496979400711205,0,0,12
Sundance,22,0,180.37161275931456,0,0,954
lasercolony,10,0,5.566437561701372,0,0,101
Mikideez,0,0,0.0,0,0,3
pdmaseberg,13,0,0.04014919246181,0,0,51
Sakda Leelanun,1,0,0.5273682967808311,0,0,6
Brian Fritz,0,0,0.0,0,0,1
Yarl,1,0,0.0,0,0,1
