user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Omnific_louisvilleimport,233215,1,115.25065384327604,0,0,308029
civicdata_nolaimport,94456,0,70.62725013051161,0,0,134439
bot-mode,0,0,45507.886796065344,0,0,124048
Minh Nguyen,52160,3,3695.183312047387,13,0,112548
Omnific_lexingtonimport,73645,1,41.9294462942468,0,0,109176
lrhill,89048,0,963.5980836795642,0,0,103559
DaveHansenTiger,0,0,18417.18832499687,0,0,90229
Omnific,46656,10,793.2291417475774,0,0,61048
Nate_Wessel_cincyimport,57130,0,11.122836480779664,0,0,57201
seshormerow_lexingtonimport,16270,0,0.453386097630658,0,0,36390
Nate_Wessel,9800,1,1875.6886620535545,2,2,29743
doktorpixel14_import,16331,0,0.286834018299302,0,0,16333
seshormerow,2719,0,590.5814393786504,1,1,16193
houstonmapper1_cincyimport,15361,0,4.06556542616566,0,0,15479
civicdata_louisvilleimport,7280,0,2.88027883822114,0,0,14892
brianherbert_louisvilleimport,10076,0,0.0,0,0,14865
iandees,2,0,19.879095774852406,0,0,13966
ladyson_louisvilleimport,10463,0,0.058904023093728004,0,0,13923
gwmath,8546,0,664.6091748611732,0,0,12524
rluttmer_louisvilleimport,8434,0,0.0,0,0,11441
maxerickson,2213,0,931.4055758412622,0,0,11265
Michael B Jones,1884,0,411.9292850450113,2,0,10938
dcat,0,0,10.879324938295612,0,0,9182
JulienneChen_importlouisville,3178,0,0.49118439984047,0,0,8057
JeffMcAdams_louisvilleimport,6011,0,8.443252773139005,0,0,7926
buspainter2005_lexingtonimport,3219,0,0.265550339244282,0,0,7588
NE2,0,0,4464.320333394139,0,0,6968
citycollab_louisvilleimport,5396,0,0.0,0,0,6939
Hagar66,151,0,286.8757474285358,0,0,6915
jonsger_import,6478,0,0.09220753111148801,0,0,6481
buspainter2005,4900,0,127.86827140721613,0,1,6472
gregcrago,16,0,890.7663922725523,0,0,6267
sommer_louisvilleimport,4156,0,3.476771302023862,0,0,5211
42429,5,0,20.941615751370414,0,0,4939
zephyr,0,0,4.97260496046378,0,0,4869
MikeN,1,0,1049.7660007837867,0,0,4683
atepoorthuis_louisvilleimport,2573,0,0.027950956269839,0,0,4249
Geogast,0,0,18.99698452473525,0,0,4168
DKNOTT,45,0,1513.0827809208993,0,0,4067
Beakerboy,922,0,227.21144413169586,0,0,4054
ingalls,1307,0,84.22209296231976,0,0,3958
kh12,1639,0,145.03376254739388,1,1,3834
jdbark,878,0,120.11285048715396,0,1,3811
brennacade_louisvilleimport,2800,0,4.139414744531467,0,0,3806
Natfoot,316,0,240.0227088476312,0,0,3585
lmason_aph,72,0,2.408292746688047,0,0,3536
gnirtsmodnar_lexingtonimport,1341,0,0.0,0,0,3406
mrohret_aph,17,0,2.255002226716465,4,0,3365
elkueb,52,0,1553.7409315573066,0,0,3326
thekl0wn,1070,1,28.442413377656827,0,0,3150
AndrewSnow,137,0,888.2258853908892,0,0,3099
pyram,510,0,643.9490962895056,0,0,3056
Lambertus,6,0,654.6899911431174,0,0,2964
wfreeman_louisvilleimport,2334,0,0.0,0,0,2820
Shawn Noble,367,0,218.4217325567058,0,0,2803
bretwalker_louisvilleimport,1685,0,0.0,0,0,2773
Jeff McAdams,205,0,156.69912164362432,1,0,2772
Ohr,39,0,468.56169149947834,0,0,2668
annaleebard_lexingtonimport,1775,0,0.0,0,0,2636
davidearl,0,0,0.0,0,0,2521
Edward,126,0,4.248642611453582,0,0,2404
Minh Nguyen_cincyimport,2283,0,0.0,0,0,2396
hmackenzie_louisvilleimport,1790,0,0.0,0,0,2314
beweta,181,0,423.7477087272743,0,0,2209
bdiscoe,412,0,608.6646013884721,0,0,2173
Richard,8,0,1760.2376802027793,0,0,2082
herrick67,581,0,72.0328311713402,0,0,2033
Adam_P,318,0,21.421744465085887,0,0,1996
engelsjk,694,0,58.50908864931981,0,0,1976
RoadGeek_MD99,310,0,291.2625452059109,0,0,1872
Biochembob,1089,0,102.90473176908581,0,1,1859
Roadsguy,0,0,985.8599295352486,0,0,1777
tcspaldi_louisvilleimport,578,0,0.0,0,0,1747
torapa,391,0,411.91368851426785,0,0,1719
gmensch,421,0,36.34326189288797,0,0,1646
Dr Kludge,517,0,164.61447917894256,0,0,1542
interdite,1144,0,16.567696559342913,0,0,1535
Luis36995,1,0,440.3022769372624,0,0,1386
wegavision,279,1,250.69176672643286,0,0,1345
debutterfly,0,0,709.3864540947103,0,0,1334
eptil,36,0,66.35645932184299,0,0,1325
Peter14,0,0,243.36113699008297,0,0,1315
Glen,138,0,168.50420534460412,0,0,1286
Timothy Smith,416,0,61.01700429632458,10,0,1285
hofoen,32,0,342.84003720890826,0,0,1259
dirtyphish,6,0,175.00352572704222,0,0,1251
ediyes,0,0,281.02442162051085,0,0,1235
Kla_Ger,0,0,468.37309699815376,0,0,1227
Janis,1083,0,8.170572994175501,0,0,1221
Austin Williams,96,0,25.555162288136923,0,0,1213
jrose_aph,23,0,1.9867993179099661,0,0,1206
ethylisocyanat,233,0,152.4227119016698,0,0,1192
NewSchool19,718,1,10.953960543647984,1,0,1156
Sangueffusor,7,0,332.23954471887447,0,0,1147
Rub21,0,0,227.33409975220357,0,0,1142
Matt Currie,1102,0,0.6076414327966071,0,0,1119
Alexander Roalter,0,0,6.491307192107467,0,0,1112
EZRouting,0,0,576.9090668741743,0,0,1084
Robin Daugherty,122,0,43.609741223271875,0,0,1082
linuxUser16,132,2,179.7234712746523,0,1,1079
RichRico,17,0,193.43489773175054,0,0,1043
carnevalem,126,0,15.736759882584098,1,0,1038
johnnybee30,17,0,3.5261774827056893,0,0,1030
jdj150,5,0,386.8432560498284,0,0,1015
25or6to4,1,0,443.806770002336,0,0,1014
jckeller78,186,0,76.35099674024052,0,0,1012
pkoby,21,0,189.68282301892373,0,0,996
Airlock,178,0,40.14882338031525,0,1,983
gcjunge,0,0,338.70798323661876,0,0,966
ELadner,11,0,426.3062841260381,0,0,965
ceyockey,336,0,38.836619173763474,0,0,964
e-ybeach,942,0,6.7549265184861405,0,0,962
eeeschwartz_lexingtonimport,66,0,0.0,0,0,960
freebeer,934,0,1.623441657425926,0,0,959
rickmastfan67,0,0,173.88986363017838,0,0,929
egore911,38,0,162.36544842529347,0,0,923
Chris Lawrence,3,0,469.2652210927213,0,0,918
nyuriks,3,0,0.033519591311661004,0,0,914
LeTopographeFou,36,0,28.530684549663835,0,0,898
schulf,358,0,69.3404270002172,0,0,894
Polyglot,1,0,12.514263047751609,0,0,892
SteveMills,44,0,19.46652417750609,0,0,883
Sundance,14,0,122.81951065007247,0,0,867
summasmiff_lexingtonimport,255,0,0.0,0,0,849
reportingsjr,179,0,123.51078810756927,0,0,847
dchiles,1,0,189.17091919883757,0,0,840
