user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
ELadner,70656,0,1456.8019868875892,0,0,112919
Matt Toups,29679,0,320.07155591385873,0,2,85269
bot-mode,0,0,29607.766627189936,0,0,83089
DaveHansenTiger,0,0,23981.096067548242,0,0,78043
Kenneth Pardue,2567,0,645.0510386825696,0,0,67917
coleman_nolaimport,38891,0,96.16704690537105,0,0,45639
42429,39,0,327.458346149625,0,0,21677
Maarten Deen,13,0,45.42954127917153,0,0,20478
zephyr,0,0,0.6737225153363371,0,0,13273
arni990,10,0,502.9020302668121,0,0,10845
iandees,1,0,77.13621145815091,0,0,10758
balrog-kun,0,0,3392.0024500016757,0,0,10278
Alecs01,2069,0,1586.8233358618518,0,0,10158
RoadGeek_MD99,2402,0,1118.5080136937445,0,0,9928
kre3d,28,0,438.3278975796291,0,0,9830
Matt Toups_nolaimport,5779,0,18.325217073238473,0,0,7519
maxerickson,186,0,1063.184228287042,0,0,6755
StoutLemur,4169,0,60.671865277569914,2,2,6461
Minh Nguyen,2878,1,498.7355295279977,0,2,6199
Andre68,4,0,13.065191457823175,0,0,5869
Geogast,10,0,48.93685524032914,0,0,5185
25or6to4,134,0,3413.7505879639775,0,0,5171
zjleblanc,2927,1,212.13339389250925,0,1,4957
dcat,0,0,0.0,0,0,4524
NE2,0,0,960.8300090783255,0,0,4365
MikeN,0,0,772.1702188686484,0,0,4180
Timothy Smith,138,0,1277.6425962296241,2,0,3998
Glassman,3569,0,99.73938821154421,0,0,3996
ceseifert_nolaimport,2940,0,1.056012979076519,0,0,3880
Hartmut Holzgraefe,0,0,23.605602930323197,0,0,3546
samely,889,0,458.4365336774914,0,0,3382
davidearl,0,0,0.0,0,0,3317
rivermont,1807,0,353.360378145554,0,0,3094
sebastic,9,0,0.17091652243639202,0,0,2967
RichRico,1,0,491.6658848360944,0,0,2895
calfarome,322,0,631.6766219982419,0,0,2854
MatthewAndersonUS80,0,0,3144.4550017574666,0,0,2729
elkueb,48,0,771.6389561439574,0,0,2666
claysmalley,0,0,1812.3268419085005,0,0,2611
OSMF Redaction Account,0,0,32.97432051085873,0,0,2510
IanH,2144,0,104.55692370537967,0,0,2494
krusty2111us,1358,0,264.8210079595119,0,0,2478
NyroBrimage,522,0,163.41747477161766,0,0,2263
hofoen,13,0,559.2921766798208,0,0,2163
lokejul,150,0,85.1640135092955,1,0,2141
ediyes,0,0,550.9897210837308,0,0,2101
torapa,564,0,444.28984261958294,0,0,2088
AnonymousAlligator,661,0,89.98499964375728,5,3,2068
Minh Nguyen_nolaimport,1428,0,0.526651894649528,0,0,1996
225geaux,185,0,228.44263865195944,0,1,1960
Luis36995,0,0,513.7777601415255,0,0,1943
Caboosey,6,0,442.1386639592428,0,0,1939
wvdp,393,0,90.72657629598433,0,0,1912
GoWestTravel,986,0,97.8899743036906,0,0,1892
KeumpSeattle,1791,0,60.06851056281841,0,0,1875
bdiscoe,355,0,270.5138835195906,0,0,1869
