user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
emulsi,12735,0,11375.110913553177,0,0,50725
DaveHansenTiger,0,0,8924.270971517366,0,0,43608
bot-mode,0,0,12925.944432535838,0,0,38331
42429,2,0,5.673758114473926,0,0,15437
Bkissin,6294,0,414.7391397598318,3,7,15332
GoThatRoad,10291,0,2.440366459723891,0,0,10297
AJCramer,6269,0,6.459098857539456,0,0,6281
93Ice,578,0,1237.0885046554304,0,0,6138
Rustbelt,1100,0,439.2939017224078,0,2,5777
506imports,10,0,9.30059253219509,0,0,5720
pokey,721,0,826.2375012214882,0,0,5710
nathanbroaddus,4385,0,59.97571609942762,0,0,5704
Alan Bragg,1560,0,839.1911702106823,1,2,5254
iandees,2,0,1.79292405278035,0,0,4943
maxerickson,136,0,630.7794701843363,0,0,4899
Юкатан,507,0,238.5083577272681,0,0,4678
chrmur,772,0,602.9770359523787,0,0,4215
WinterB,305,0,280.04132851114474,0,0,4164
Steve Severance,72,0,1841.46786697436,0,0,3754
Undearius,360,0,0.47628005765339904,0,0,3689
Edward,79,0,0.554801208431786,0,0,3460
GeoStudent,3322,0,15.791058804682839,0,0,3377
jfd553,1,0,35.61433189558029,0,0,3304
Creator13,1561,0,68.38979705662202,0,0,3272
assawyer,1055,0,45.32725824397211,0,0,3268
canvec_fsteggink,61,0,96.50615280752127,0,0,2862
DannyMcD,2786,0,1.20266585006161,0,0,2835
Zeke76,501,0,63.618656168555965,1,0,2718
Liam Piper,238,0,295.8575848649205,2,0,2664
asmithpetersen,1805,1,113.88794648015741,0,0,2553
ARinsler,2255,0,77.65684940760939,0,0,2369
Maptain Haddock,1613,0,128.7990145762783,0,0,2169
choess,84,0,185.3951468201426,0,0,2136
Spanholz,531,0,491.83844033475634,0,0,2103
Parcanman,86,0,319.1818122138961,0,0,2094
Kla_Ger,3,0,931.571022776175,0,0,2040
the506,23,0,669.8604847193678,0,0,1930
mtc,246,1,64.16497427005994,0,2,1820
arvdk,1286,0,71.62755345103453,0,0,1791
em132,348,0,87.95741322247267,0,2,1750
Matt1993,3,0,909.9422160052675,0,0,1747
Oberaffe,100,0,605.4157268257896,0,0,1744
blackboxlogic,533,0,234.51760974758568,0,2,1702
Brian Turcotte,1040,0,17.835800166123374,0,0,1607
underorbit,0,0,416.2501858350109,0,0,1540
utack,430,0,270.9008747548148,0,0,1539
davidearl,0,0,0.0,0,0,1536
Utible,813,0,208.55286010395,0,0,1530
amillar,122,0,22.294962831310936,0,0,1483
user_599436,12,0,198.31058574332573,0,0,1482
Rassilon,327,0,138.57506968550305,2,0,1404
dufekin,2,0,315.80214353493557,0,0,1392
Austoner,649,0,29.355192304079424,1,0,1322
hhcfw,185,0,84.87701262958319,0,0,1302
Prefix7,78,0,281.68585348720234,1,2,1297
chimani,194,0,171.69597201701643,0,0,1254
jsmart09,18,0,43.61290488642191,0,0,1240
PierZen,56,0,51.20883906503752,0,0,1233
crd000,136,0,50.40082168275969,0,0,1197
edmunda,319,0,75.29875865691237,0,1,1158
Romuald71_import,19,0,51.863488386002764,0,0,1031
krinkov76239,0,0,645.4666559111524,0,0,1028
Prof Eric Cameron,0,0,569.1816472657788,0,0,1019
Ted Chapin,318,0,19.4232680830115,0,0,1006
crazychemboy,193,0,254.32623435470643,0,0,983
bdiscoe,374,0,102.85803840441851,0,0,975
pythagore-MGi,0,0,449.6186404626257,0,0,965
kbroderick,69,0,562.6103167458544,0,0,954
samely,6,0,225.4929006813931,0,0,939
hofoen,59,0,196.03252305116956,0,0,926
JessAk71,57,0,92.06604414418192,0,0,904
LinusA,67,0,211.97448004584598,0,0,901
Luis36995,44,0,178.30495784392897,0,0,837
pilotrobert,104,0,71.57410810858855,0,0,837
dru1138,68,0,42.94822971273242,0,0,816
BGRDave,205,0,217.36426801475315,0,0,801
dcat,0,0,0.0,0,0,769
Richard,0,0,742.3814839412263,0,0,761
NE2,0,0,137.4480671342835,0,0,712
ashleyannmathew,1,0,554.7033703988621,0,0,668
vorpalblade,288,0,74.24749045143984,0,1,644
Geogast,0,0,9.720471726247762,0,0,637
Sheaff,92,0,153.56257335700002,0,0,635
greggerm,66,0,5.449045852612138,0,0,635
abel801,0,0,389.91752103751116,0,0,626
Christine_E,148,0,70.62775187753188,0,0,620
muziriana,0,0,156.1202531556478,0,0,618
Umbugbene,15,0,59.494232608292315,0,0,617
Sparks,76,0,111.11606507775848,0,3,601
