user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
mapboxdan,0,0,2.211291759657018,0,0,6
Tabitha72,0,0,0.13665951588980702,0,0,4
Jiajun1,27,0,0.0,0,0,28
4093,0,0,0.0,0,0,1
Sangueffusor,0,0,0.03924007017469,0,0,5
45723,8,0,0.0,0,0,11
daniel_10_28_2014,10,0,0.0,0,0,10
7141889,5,0,0.5039610149858991,0,0,22
avroom,0,0,0.0,0,0,1
sestanton,2,0,171.02222519730725,0,0,445
krioboy,13,0,1.208062234208714,0,0,32
mdroads,7181,29,6028.223756233876,12,24,84667
CitymapperHQ,0,0,7.8410882497954475,0,0,60
DaveHansenTiger,0,0,2736.249869271627,0,0,20335
silverskin12345,1,0,0.0,0,0,2
davidearl,0,0,0.0,0,0,4588
abyrd,0,0,0.22552195987207702,0,0,7
iandees,15,0,5.8781280968979015,0,0,3471
Pard87,0,0,0.510619076539214,0,0,69
bot-mode,0,0,9212.333248808347,0,0,37523
Vclaw,1,0,0.0,0,0,2
EP_Import,285147,0,3.003888366658771,0,0,406150
williamsmdr,0,0,0.19579643742087202,0,0,1
Peter14,0,0,3.948357168436209,0,0,37
llorracc,0,0,0.0,0,0,2
Pnrrth,0,0,0.474364176083898,0,0,604
LTCP,135,0,0.0,0,0,139
choess,46,0,99.44108864642556,0,0,1229
timStewart,1,0,0.0,0,0,1
Iowa Kid,2,0,52.63362042742575,0,0,421
Durise24,0,0,0.0,0,0,12
jhoonstarr,5,0,1.307278575778855,0,0,18
korolenok,1,0,0.6068910346307891,0,0,6
chehrlic,0,0,1.163634424409363,0,0,15
WillBBlu,0,0,0.0,0,0,1
ryandrake,0,0,24.652745901250533,0,0,154
IknowJoseph,9,0,0.303107155277323,0,0,25
ToeBee,4,0,6.628602039335289,0,0,150
firefighter,19,0,3.315078999675737,0,0,411
uboot,13,0,12.933917270105137,0,0,213
geoffcrego,0,0,0.0,0,0,2
soonerbh,0,0,0.715485886262165,0,0,9
camcook91,1,0,0.0,0,0,1
pschonmann,1,0,2.623264772847257,0,0,25
is-zUser,0,0,0.037783867333665004,0,0,2
nyuriks,15,0,0.403558843963902,0,0,710
Celia K,1,0,0.0,0,0,1
dankpoet,185,0,3.613400412119857,0,0,195
HappyFrog87,571,0,38.482383481918845,0,0,1326
b-jazz-bot,913,3,4.154614598240228,2,1,2433
La Chaussiére,0,0,1.239925207335998,0,0,23
Student97,19,0,1.7781633043783351,0,0,22
MencheyMusic,0,0,0.0,0,0,2
marthaleena,19,0,185.9387155785228,0,0,1682
Fuentes_360,1,0,0.13309061027064,0,0,8
pyram,194,0,51.19231336501673,0,0,1481
Marriottseo,0,0,0.0,0,0,1
ELadner,35,0,50.53146877220726,0,0,596
bobco85,0,0,0.282476546224731,0,0,4
Raymo853,271,0,99.02846487850215,0,1,1225
