user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
juliamarkoff,1,0,0.0,0,0,1
Lenin Cardona Puerta,1,0,0.0,0,0,1
katiethomson,0,0,0.19245852762103802,0,0,8
4004,3,0,0.0,0,0,10
catsup31,1,0,0.0,0,0,7
715371,1,0,0.58063258305746,0,0,23
doncooke,1,0,0.0,0,0,1
676339784,2,0,0.0,0,0,4
christinasjwlry,0,0,0.0,0,0,1
Alan_Bragg_Import,1166181,4,172.84341010093354,4,6,1167329
chen0829,0,0,0.0,0,0,1
Edward,657,0,1.7860184884104031,0,0,2267
sdzienge,0,0,0.047246362278453004,0,0,2
jremillard-massgis,1177209,0,10.390568276676342,0,1,1182256
Kent Shaffer,0,0,0.0,0,0,4
nkhall,29,0,1078.2421684875112,0,0,11092
tpawlitschek,1,0,0.0,0,0,14
EdSS,32,0,100.97307381939643,0,0,508
lynnkeep,4,0,0.0,0,0,5
marthaleena,13,0,244.62291431754937,0,0,2214
Bryan Sabbag,8,0,0.0,0,0,15
b-jazz,9,0,101.53450733339994,0,0,598
I aint even map bro,0,0,0.0,0,0,2
rowers2,0,0,0.0,0,0,122
pkoby,10,0,4.71241640423533,0,0,147
jfire,0,0,3.192203681569593,0,0,64
MeatballZ28,0,0,0.0,0,0,1
winsto99,3,0,23.732817637859064,0,0,342
nick_t123,0,0,0.0,0,0,1
Madi12,0,0,3.478609402905541,0,0,6
mstriewe,0,0,0.0,0,0,1
beweta,17,0,9.155738836499253,0,0,112
bebgsurg,0,0,0.0,0,0,1
mvfer,0,0,1.275972956850255,0,0,12
abbym13,0,0,0.0,0,0,5
jremillard,1944,6,569.9816818273998,6,0,15949
dgpj,0,0,0.0,0,0,1
George S,0,0,66.16288861776603,0,0,160
Nicolas Bosonetto,1,0,0.029148093817783,0,0,3
Peter Dobratz,11091,7,369.04105764213614,1,1,19344
sim1bailey,1,0,0.0,0,0,1
mjonesmel,0,0,0.5959788711577431,0,0,4
gothelf,0,0,0.0,0,0,1
dmerck,1,0,23.155503735668216,0,0,213
kriscarle,0,0,0.0,0,0,5
crschmidt,2,0,107.44321079347907,0,0,28883
