user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
maxerickson,9208,2,22675.725466405154,5,5,130217
bot-mode,0,0,34935.29296564017,0,0,108489
gregcrago,178,0,30017.607589847175,26,0,77246
IanH,1557,0,4457.512348674955,0,0,72037
mapper377,9209,4,1297.3497952694843,1,0,65897
jam3son,23,0,0.06663023655870201,0,0,65695
bbmiller,3393,1,16349.896444305608,3,0,60017
DaveHansenTiger,0,0,11196.87623782811,0,0,53138
DougPeterson,9895,7,2432.5048501781166,1,4,52836
ChristopherGS,28976,1,345.988232292865,0,0,33256
Matthew Darwin,115,0,377.68367216980795,0,0,30304
jonesydesign,8604,2,1837.8118454899443,1,3,28593
Circuit_Rider,3567,0,5035.251945739898,1,0,24918
GNR8,17405,0,835.3647239701112,0,0,24689
CanvecImports,524,0,103.14909682353684,0,0,24653
Peter Beard,2849,1,1424.0132204910872,0,2,21361
markscalf,18490,0,359.96038996039476,0,0,20463
melcomsx,11878,0,511.56670028518164,0,0,18345
Gone,84,0,508.92451482067736,0,0,17509
Aibara,15679,2,75.74427333070528,3,2,16826
iandees,33,0,42.82491581146991,0,0,16818
Crix Q5 Baobab,601,3,965.6328250539749,2,2,15087
Scottku,8118,0,1539.9779390387193,0,4,14943
emills01,7031,0,590.140144717545,0,0,13584
matteditmsts,2447,0,708.7840986090854,12,8,13327
tr_veler,4875,0,577.9009919822181,0,0,12909
StudentinGear,1105,0,740.4846099266645,0,0,12693
YalCat,9214,0,232.00970285843675,1,1,12060
gappleto97,6161,1,506.6120249156427,0,1,12025
zephyr,11,0,0.7410848061606711,0,0,11091
biancah_telenav,5,0,1410.7375089659238,0,0,10812
freebeer,10407,0,6.266173517221502,0,0,10616
ryebread,5232,4,347.9379122062614,2,0,10559
Delocuro,1893,0,296.91054946243673,1,0,10374
ChrisBessert,253,0,4591.861411601678,0,0,9761
TadziuKosiara,5931,0,246.6503337395149,4,1,9472
simonap_telenav,4,0,866.5348168668058,0,0,7956
NixillUmbreon,0,0,227.41118891857911,0,0,7836
treestryder,1576,2,693.2226932389034,11,4,7782
georges_telenav,1,0,905.3913086288794,0,0,7442
radiofish,3909,2,371.9566168679154,1,0,7319
jmcbroom,300,1,582.2665898404363,1,0,7316
MidwestMapGeek,120,0,754.4964129958871,0,0,6978
smlyons77,275,0,898.0650400722766,0,0,6946
lmum,406,1,192.02462413467262,2,0,6904
taargus,6192,0,5.470576975046811,0,0,6373
mccord42,436,2,498.9493649784828,4,0,6241
hogrod,2699,0,827.4138886401407,1,1,5794
nickrosencrans,3604,0,78.80217632805885,0,0,5748
Chris112233,374,0,248.6312984514479,0,0,5714
bogdanp_telenav,14,0,737.4785586668693,0,0,5614
cassini83,236,0,779.1100538769101,0,0,5085
ocotillo,0,0,752.4681614202168,0,0,5034
miqrogroove,411,0,377.039923172349,0,0,5030
PeterParker1,2138,0,197.64793233994294,0,0,4797
Indeezy,3385,0,141.44481488296,0,1,4790
