user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
aaronthielen,0,0,1.074195492948378,0,0,9
MaximusSayan,0,0,0.0,0,0,1
tmadhuli,0,0,7.690784762279409,0,0,45
32718,1,0,0.0,0,0,3
pcc322,0,0,8.092913655749589,0,0,50
53776,1,0,83.75840123991746,0,0,371
ParagonPrime,20,0,5.212767443617099,0,0,86
314159265,1,0,0.0,0,0,3
mboeschen,3,0,4.547206823582064,0,0,64
jumbanho,230,0,1039.2763510949026,0,1,242301
Namdnas,6,0,0.0,0,0,22
handofwarroad,385,0,230.05871201783512,0,0,1880
samhandler,2373,2,33.00796828567985,1,2,3488
melisramer,0,0,516.8730407528838,0,0,872
pkort,9,0,0.006629071077723,0,0,16
Mulad,26332,1,10906.542466689298,1,2,108086
jbonde,0,0,2.7811923951357773,0,0,20
zephyr,0,0,0.0,0,0,10833
Renkal,0,0,0.0,0,0,1
nonmapr,81,0,70.7663314658857,0,0,408
mplewis,2,0,21.30588392169433,0,0,149
googleplex,69,0,486.9940048211538,0,0,5905
LeTopographeFou,1,0,0.0,0,0,5
TheDutchMan13,4,0,4178.919572362951,0,0,5306
Ryan Larson,0,0,0.0,0,0,9
stevea,0,0,81.05866796524394,0,0,2913
bmx316,5,0,0.39688715132107205,0,0,18
nyuriks,3,0,0.0,0,0,1541
jloerrday,1,0,0.0,0,0,1
DavidLiu5059,0,0,1819.9035904059072,0,0,2312
thorfinn00,0,0,0.0,0,0,4
bhavana naga,0,0,401.32174834604666,0,0,1291
homeslice60148,0,0,4.852553683136243,0,0,6
Magnus-L,0,0,22.73838759853134,0,0,2650
shyDandelion,8,0,0.0,0,0,8
DougPeterson,457,0,276.49883053188734,0,0,3932
GRKreationsDirect,0,0,0.0,0,0,1
Luis36995,1,0,405.74560793210253,0,0,1026
rj3350,2,0,0.0,0,0,9
Banspad,477,0,238.31958187485907,0,0,2533
Troy Benjegerdes,0,0,0.0,0,0,199
Owumbata,0,0,4204.300873618241,0,0,4787
ParkMan77,0,0,1.253821442388221,0,0,4
h4ck3rm1k3,0,0,0.0,0,0,114
blendergeek,1,0,0.055683385525257006,0,0,3
balrog-kun,0,0,441.8563770136344,0,0,656
skiss,0,0,0.0,0,0,1
drewmhess,0,0,1624.4091250986462,0,0,1973
bendinglake,0,0,0.0,0,0,1
Mar Mar,0,0,11.200731462793307,0,0,5
Frog23,0,0,0.06141751556539601,0,0,1
karitotp,4,0,216.72582269602088,0,0,685
Scott J,0,0,0.267345382713219,0,0,11
mapman44,93,0,833.9766884916427,0,0,2397
connors550,0,0,0.0,0,0,6
Steven Deeds,0,0,0.0,0,0,2
AbnormallyWeird,0,0,0.050087809364277,0,0,3
