user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
bmmh,0,0,0.06273165448720401,0,0,1
BryanSK,0,0,0.0,0,0,3
lorandr_telenav,0,0,0.39518986195488304,0,0,3
42429,134,0,23.619690593642833,0,0,6393
cjfergus,0,0,0.220959124459867,0,0,2
DaveHansenTiger,0,0,19227.50577034503,0,0,66339
DKNOTT,0,0,27.453093100974417,0,0,39
mapman44,1,0,47.130823121641995,0,0,169
bulldogblitz,8,0,5.702847383258061,0,0,115
iandees,1,0,1.760272880574124,0,0,11763
wohnung058,0,0,1.0749727792763921,0,0,3
vohokudul,26,0,56.251070955375575,0,0,322
localfixerupper,1,0,0.121706460822113,0,0,7
bot-mode,0,0,29383.130531456332,0,0,61546
Bacchor,0,0,0.422391850522974,0,0,25
davidearl,0,0,0.0,0,0,2775
Milo,0,0,10.607582830247306,0,0,55
swimdb,311,0,241.25781299524942,0,0,606
wegavision,0,0,30.90570862047301,0,0,22
Chris Lawrence,33,0,1332.9153089808683,0,0,4405
Mr_Israel,0,0,0.9225293113994381,0,0,4
ELadner,163744,1,22013.101752765575,0,0,225214
raubraupe,0,0,4.069093669376469,0,0,8
oldtopos,2,0,601.2163846064299,0,0,1081
JS280,2,0,0.0,0,0,2
sabok,0,0,292.38348320894215,0,0,415
keefer14,0,0,1.295300953586382,0,0,5
piligab,1,0,167.44219780352213,0,0,238
eMerzh,0,0,0.339569455317124,0,0,5
hofoen,2,0,447.3371988334411,0,0,758
Aaron Lidman,0,0,5.174229437426821,0,0,12
Alexander Roalter,0,0,0.054587221246324,0,0,681
Geogast,0,0,58.093275677810276,0,0,7934
Fredlyfish4,12880,3,2646.225380523046,3,2,42383
Edward,58,0,0.053220556114257,0,0,454
jjameswalnutpd,91,1,25.561350999958066,0,1,287
b-jazz,58,0,73.18263683119952,0,0,545
eisbaerNils,0,0,5.6715673208370845,0,0,7
dcat,0,0,0.0,0,0,1357
ridixcr,1,0,98.66026456467145,0,0,312
simlox,0,0,4.77024862702808,0,0,4
AndrewSnow,319,0,1758.2092317888307,0,0,3088
NadineHuss,716,0,0.0,0,0,718
Pnrrth,0,0,0.0,0,0,285
