user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
XP_Unavailable,0,0,0.5517844915146021,0,0,7
warhawk384,0,0,0.0,0,0,2
InsertUser,5,0,0.520380709401405,0,0,8
42429,0,0,0.07356905207271301,0,0,363
ipodolsk,0,0,2.665342200256924,0,0,10
1220975,0,0,0.037024592229764,0,0,8
BrandonReese,0,0,0.0,0,0,6
Milo,0,0,1483.3488864453755,0,0,2897
teeks99,0,0,4.850444074888298,0,0,20
railfan-eric,203,0,711.2220273881729,0,0,6679
jmb70,0,0,19.310155460506394,0,0,608
bot-mode,0,0,36010.37825907619,0,0,100119
Scodbey,1872,0,1307.99407760766,8,5,9523
power expert,10,0,54.34801668076171,0,0,566
Sarvihepo,0,0,0.0,0,0,1
Tom Layo,318,0,2878.215270746249,0,0,8479
artem95vlasovets,0,0,0.0,0,0,1
dufekin,0,0,288.32962484326487,0,0,528
maphelper777,0,0,0.820738118491895,0,0,3
oldtopos,0,0,763.957775388848,0,0,1437
ajashton,0,0,1.075183079110118,0,0,23
trayhons,0,0,36.951620490347125,0,0,84
Dotevo,0,0,0.0,0,0,133
zephyr,7,0,4.972604960463781,0,0,12038
Amlankf,0,0,6.017677684950545,0,0,4
atomwaffen,397,0,0.643356641813562,2,0,1281
Game Junky,0,0,0.0,0,0,1
Otis the Furry,14,0,21.833219455304608,0,0,315
Melanee Engchong,0,0,0.0,0,0,2
Skybunny,4,0,8.867805848933703,0,0,258
PelleB,3,0,0.0,0,0,9
CmdrThor,15572,1,2858.51288329057,0,0,50211
gavinr,0,2,0.0,0,0,5
Alexander Roalter,14,0,1.420893443964984,0,0,113
Malaneous,13,0,0.28068107004755,0,0,18
Omnific,6,0,51.86813888864308,0,0,76
Nate_Wessel,0,0,7.394209418944881,0,0,33
25or6to4,0,0,235.88232473240984,0,0,557
jgruca,0,0,14.914245007214578,0,0,9
g246020,10,0,1965.8992904276583,0,0,7630
cart0,0,0,0.0,0,0,6
EbersGIS,201,0,246.68650947315808,1,0,3583
carpda_98,5,0,25.880045264533308,0,0,54
elyk,59,0,715.9702146340212,0,0,4461
Todd Shiley,0,0,0.0,0,0,1
MikeN,7,0,218.3782314079602,0,0,1444
osm1236,10,0,0.162815307218756,0,0,15
DennisL,2,0,5.755394993036669,0,0,46
CSLI,0,0,0.0,0,0,1
Geogast,5,0,8.243446625541939,0,0,3372
bhenry,19,0,0.0,0,0,19
Spanholz,34,0,396.372912461793,0,0,629
45723,13,0,0.6055886872746641,0,0,34
AceAMP,10,0,18.758634580455755,0,0,118
osmmaker,0,0,0.7903087428042751,0,0,3
inah_telenav,0,0,16.05951907739804,0,0,19
rpd203,0,0,12.6099800629225,0,0,78
keinseier,0,0,212.30448077882463,0,0,532
wbrentonjr,0,0,0.0,0,0,13
Chaunceyjb,0,0,0.0,0,0,1
mitchell3417,1,0,1.4740828995128281,0,0,5
Arlas,26,0,39.92532812088348,0,0,134
Stephen_stlzoo,9,0,1.927214634569896,1,0,51
eric22,112,0,119.16187880341579,0,0,2032
StephaneP,0,0,0.0,0,0,1
hofoen,8,0,196.48387882474435,0,0,1909
AvnerR,5,0,7.845713023920197,0,0,16
bbmiller,0,0,187.33655993607644,0,0,724
NE2,1,0,1579.7218758443441,0,0,3644
RichRico,4,0,469.77493264138195,0,0,2992
Saucon Support,0,0,22.532104000455824,0,0,6
phd0,14,0,83.25871966243764,0,0,1986
enbrown,28,0,2.922265507913896,0,0,101
Josh Berndt,0,0,0.0,0,0,11
ZeiP,0,0,0.0,0,0,2
smh1821,0,0,0.0,0,0,5
makerg,8,0,0.8270775859185261,0,0,49
Fivea,38,0,101.69417655670388,0,0,518
Space Godzilla,4,0,3.84904935577568,0,0,81
mahahahaneapneap,0,0,15.576680188666032,0,0,198
aaddison,1,0,0.0,0,0,1
lorandr_telenav,0,0,13.05651636133974,0,0,113
hno2,2,0,27.96122330519164,0,0,145
Guylamar2006,73,0,243.5368077266831,0,0,1643
dchiles,0,0,135.76743147165567,0,0,969
salix01,0,0,41.916580410530834,0,0,160
GeoBearcat,50,0,12.198458710182031,0,0,211
b-jazz-bot,442,2,3.451828919260069,2,2,1089
dannyho,0,0,0.82150043858648,0,0,10
dannykath,4,0,449.63755907220144,0,0,2655
R0bst3r,0,0,2.713183508966643,0,0,8
DenisCarriere,0,0,0.0,0,0,12
swarood,0,0,1.9765057398797712,0,0,12
gaddman_linz,0,0,0.0,0,0,29
STLCosmeticSurgery,0,0,0.0,0,0,1
nasserd,0,0,0.75937877644397,0,0,3
Mikideez,0,0,0.007385475911093,0,0,1
Dellop,0,0,7.295054990546739,0,0,5
h4ck3rm1k3,0,0,0.0,0,0,188
prodrigestivill,30,0,1.538426085554904,0,0,61
JoelMiles925,1,0,4.5923468363530215,0,0,37
elkueb,12,0,477.4513472597673,0,0,1359
calfarome,0,0,403.14274536847097,0,0,1412
jinalfoflia,0,0,7.993083411147852,0,0,29
Kyla A,39,0,2.77507005313061,0,0,69
andygol,2,0,39.10988196598231,0,0,213
Gage Ward,1,0,0.0,0,0,1
woodpeck_repair,10,0,18.86322475720937,0,0,641
Dakart,0,0,0.136782594319582,0,0,1
rivermont,519,0,83.55002712734698,0,0,4255
Brian Handrigan,0,0,0.0,0,0,4
danbjoseph,0,0,10.439219224594511,0,0,31
jbranigan,1,0,0.10775091064548101,0,0,5
CmdrYT,0,0,0.48278421058193305,0,0,21
iowahwyman,0,0,114.15315271013881,0,0,99
chazanov,0,0,0.0,0,0,155
michael colvin,0,0,4.446728237417635,0,0,12
-Schwarz-,0,0,13.800034900481297,0,0,33
StackKorora,8752,1,1267.1682303956431,1,3,18194
uhhany1,0,0,9.99876354807313,0,0,35
woodpeck_fixbot,0,0,2.933225067713549,0,0,90
Stretch Longfellow,1,0,316.6403730865904,0,0,680
NatalieY,6,0,0.47393759845027306,0,0,16
PlaneMad,3,0,19.088852330994403,0,0,66
Brock Baldridge,20,0,0.0,0,0,25
swimdb,350,0,55.61249198797711,0,0,471
kweather,3,0,0.09672050265254101,0,0,4
Kyle Gates,0,0,360.02313208619853,0,0,632
mikey_f,0,0,0.409292650867559,0,0,38
wataylo,0,0,26.323768379565532,0,0,52
lilnoblefence,248,0,36.96515626073399,0,0,1257
Carrie Bradfield,2,0,0.0,0,0,4
amillar,104,0,13.30656708248806,0,0,807
moosejaw,0,0,0.0,0,0,9
okansas,53,0,3.304425687914115,0,0,69
Aleks-Berlin,5,0,19.345138702525272,0,0,26
stucki1,0,0,14.624014194183854,0,0,44
fredjunod,0,0,57.49292176537841,0,0,331
scosmo451,0,0,0.0,0,0,6
skquinn,50,1,47.77771394066955,1,0,250
EmlynSquare,0,0,1.098132266270293,0,0,6
Ahlzen,2,0,3.883381637645682,0,0,11
TheDude05,1,0,0.0,0,0,1
Luis36995,0,0,546.1909332483026,0,0,2183
Wiebelitt,24,0,0.0,0,0,24
yurasi,0,0,121.9131904312769,0,0,296
karitotp,0,0,233.84025891936847,0,0,1353
