user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
lyx,9531,0,42115.53528568335,0,0,148610
DaveHansenTiger,0,0,43851.53048082481,0,0,61061
Gone,849,0,778.7259587671804,0,0,35869
DavidJDBA,10535,0,3423.0505347438375,0,0,24772
TheDutchMan13,0,0,14517.231975881368,0,0,24147
zephyr,0,0,0.0,0,0,18631
balrog-kun,0,0,9428.566079268181,0,0,10275
Brian Reavis,526,0,7934.61856951001,0,0,9420
iandees,1,0,5.483776944145907,0,0,8250
Brad Meteor,1507,0,1731.089809960299,0,4,8197
alexrudd (NHD),0,0,0.0,0,0,7822
cbeddow,1630,0,446.84973532088816,4,0,6991
Richard,0,0,7956.7763651117875,0,0,6954
Aster11,4224,0,162.35851892033585,2,0,6091
rinimt,1379,0,324.06136231919174,0,0,5910
Natfoot,75,0,707.9214781686337,0,0,5268
Carnildo,1272,2,1314.3161688700714,0,4,4864
Shawn Michael,62,0,2598.231949504387,0,0,4347
cowdog,718,0,535.9389830230757,4,1,3910
amillar,49,0,18.479433570198974,0,0,3693
maxerickson,272,0,341.27469929853106,0,0,3578
davidfg4,1466,4,192.86574409645075,0,1,3514
AndrewBuck,63,0,1798.3808376622994,0,0,3245
mambus,640,0,1812.0606357772726,0,0,3115
datamongers,367,0,1641.7843758064178,0,0,2976
Dilys,0,0,11.46697104201946,0,0,2972
Sundance,66,0,780.6426657643505,0,0,2815
Nobody4pink,1636,0,115.62597800339985,0,0,2716
michalg0x5a,4,0,69.53967911731472,0,0,2640
Maskulinum,300,0,641.3251489654468,0,0,2545
NE2,0,0,1348.9379451165175,0,0,2483
bdiscoe,838,0,320.9281474699955,0,0,2462
Dr Kludge,132,0,84.32559260237122,0,0,2207
PHerison,203,0,463.42356280260185,0,0,2164
stevea,2,0,45.88715582322767,0,0,2058
MelanieOriet,1761,0,1.298312226228668,0,0,1783
anerduse,2,0,13.821019021651221,0,0,1619
bal_agates,13,0,1022.1543260910333,0,0,1575
42429,0,0,34.65013068158475,0,0,1554
GoColeGo,102,0,256.8112115820654,0,0,1530
MelioraCogito,0,0,96.07057132576743,0,0,1513
Jonah Adkins,325,0,93.51192291989287,0,0,1398
they,98,0,188.9858165646449,0,0,1251
fgifford,0,0,214.7749904796315,0,0,1248
hofoen,51,0,289.3316656844632,0,0,1150
Wolfram Sobotta,0,0,863.5674331829771,0,0,1010
davidearl,0,0,0.0,0,0,975
g246020,7,0,522.1646816957077,0,0,948
