user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Your Village Maps,11349,0,6507.318433093276,0,22,156574
Stretch Longfellow,190,0,64808.44113163995,0,0,121035
DaveHansenTiger,0,0,17637.415134879753,0,0,63726
torapa,17462,0,10198.823468802573,0,1,46631
dalchimsky,19956,0,860.3622174360944,0,0,33635
DavidJDBA,5625,0,7415.680240164601,0,0,30884
TOGA,8,0,0.882282537938025,0,0,28459
PHerison,484,0,931.5792300038725,0,1,18175
maxerickson,216,0,1877.660762323568,0,0,15797
midnightcomm,1411,2,776.2494682606559,5,1,13567
Elite386,7031,0,235.88329685919308,0,0,12244
zephyr,0,0,0.014142952795027001,0,0,12241
balrog-kun,0,0,4122.604207249582,0,0,12194
balcoath,7376,0,20.657010873647508,0,0,9555
TheDutchMan13,6,0,4520.326382655477,0,0,7139
iandees,0,0,0.0,0,0,6734
freebeer,5475,0,14.915790527100317,0,0,5849
bdiscoe,605,0,627.9492248527531,0,0,5616
Kyle Gates,123,0,855.8427198771753,0,0,5521
James GIS,517,0,731.9839110002374,1,1,5498
Юкатан,509,0,229.01683928029547,0,0,5170
lnked,0,0,298.65228554976443,0,0,4326
rza31,1339,0,388.5672272100496,0,0,3344
Wolfram Sobotta,0,0,3407.247529531522,0,0,2599
ToeBee,107,0,318.65468291632294,0,0,2536
Digiranger,419,2,64.70124327379483,0,1,2481
stevea,0,0,8.670175993416455,0,0,2292
Chris112233,154,0,91.20283894011745,0,0,2241
SD Mapman,11,0,403.2016532188182,0,0,2026
42429,14,0,176.76471750357297,0,0,2024
Memoire,723,0,95.1436060381665,0,0,1938
Geogast,8,0,0.44675636187982504,0,0,1823
easy_pete,177,0,100.97395345079327,2,1,1671
bot-mode,0,0,97.41235009047631,0,0,1664
micccey,1137,0,29.973917582627124,0,0,1646
Mulad,4,0,71.14329168329236,0,0,1398
Werewombat,586,0,28.93796760796132,0,0,1389
Richard,0,0,1606.0502613915091,0,0,1346
walkingmaps,0,0,18.77906228999263,0,0,1332
Kudokiller,418,0,37.817560127724,0,0,1292
DKNOTT,0,0,535.3156727665213,0,0,1222
MikeN,0,0,131.78989767849205,0,0,1128
marthaleena,1,0,112.42179963494576,0,0,1117
Nolan Crees,406,0,56.85066487553203,0,0,1090
wetzgau21,48,0,3.8816718433168362,0,0,1059
keinseier,0,0,903.9210234660756,0,0,1034
Mr_Brown,314,0,6.666264787459088,0,0,1028
ccleberg,237,0,39.128802711060374,0,0,1005
gregcrago,2,0,256.84007682286926,0,0,974
barriicade,691,0,16.789764330636732,0,0,958
cwbellwood,873,0,2.819406215958509,0,0,950
Jonathan Rolfsen,169,0,24.35994433947693,0,0,943
hofoen,5,0,200.21326573974306,0,0,900
NE2,0,0,340.39298430978386,0,0,866
logosguy,765,0,7.470587149469166,0,0,864
RustProof Labs,593,0,8.443524873974255,0,0,848
mambus,30,0,505.5554193017994,0,0,826
b-jazz,43,0,27.391786358805053,0,0,820
nyuriks,0,0,0.0,0,0,790
flierfy,0,0,0.0,0,0,790
TheDougie3,505,0,13.549323514934036,0,0,773
Pnrrth,1,0,36.00883213879353,0,0,759
amillar,145,0,0.5779471485055181,0,0,750
musicman4327,341,0,24.542555102739108,0,0,746
