user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
TheDutchMan13,325,0,7711.183421216439,0,0,73873
theangrytomato,2817,3,3140.840903839278,0,0,40979
tomthepom,9,0,109.07690720730211,0,1,36140
alimamo,352,0,1062.3790010325251,0,0,23375
balcoath,159,0,651.6976633527516,0,0,17419
SimMoonXP,1,0,16851.736212777792,0,0,16079
Stephen Show,9242,0,286.67698897887755,0,0,14813
Chris Bell in California,1,0,120.84617499326045,0,0,14207
pnorman_mechanical,0,0,0.0,0,0,13922
zephyr,1,0,0.0,0,0,9783
nm7s9,40,0,645.8775964869061,0,0,9118
abellao,2137,1,281.1846611709341,0,3,7654
USA Editor,48,0,2559.8169152686946,0,0,7406
Irina Karachevtseva,3,0,490.76013735211035,0,0,7267
MojaveNC,113,0,2424.7124363618855,0,0,5782
alecdhuse,9,0,2.8638722706330393,0,0,5763
pflier,0,0,0.0,0,0,5700
BiIbo,0,0,8.615683435002845,0,0,5445
aleksgreben,1,0,230.52543733662225,0,0,4888
bdiscoe,593,0,879.9706775967597,0,0,4857
woodpeck_repair,38,0,4224.502153046082,0,0,4844
DRM12,900,0,404.73824861649103,0,2,4780
btwhite92,174,0,687.4591222191766,0,0,4768
DaveHansenTiger,0,0,3543.5812694152737,0,0,4760
iandees,0,0,0.0,0,0,4055
balrog-kun,267,0,1751.098494917258,0,0,3828
Seandebasti,207,0,1304.6945077140106,0,0,3738
Tom_Holland,348,0,191.6971513276564,0,0,3736
WayneSchlegel,16,0,113.00147226566403,0,0,3706
ocotillo,10,0,907.9828188648877,0,0,3492
Vangaurd,438,0,1232.6626731296376,0,0,3323
amillar,50,0,0.310097288159329,0,0,3293
Phil O'D,965,0,84.49197451112087,0,1,3124
BogDan_Olegovich,4,0,239.02238909999377,0,0,3052
Reno Editor,91,0,465.1225038318845,0,0,2846
njtbusfan,0,0,497.7548312313661,0,0,2673
LGRV,2568,0,0.0,0,0,2577
Romashka1111,0,0,197.35991383584417,0,0,2547
Dr Kludge,155,0,123.2307751249796,0,0,2337
Your Village Maps,79,0,122.23078678832394,0,0,2321
Tristan Surtel,1801,0,25.86994592885601,0,0,2275
maxerickson,147,0,124.82386767124349,0,0,2221
ukrainian_falcon,1,0,170.2075430890422,0,0,2209
jraller,118,0,520.5487976064979,0,0,2174
Dilys,0,0,0.059574706104788,0,0,2046
InessaZavada,0,0,148.68456012003693,0,0,1940
knutella,1,0,1431.9415071470692,0,0,1894
andygol,90,0,116.58119098133365,0,0,1817
MatthewKluft,186,0,387.6429479160678,0,0,1807
beweta,129,0,251.19607166064756,0,0,1684
fo0bar,474,1,139.64515988823825,0,3,1638
Elizaveta Bugaichuk,1,0,113.28659355671574,0,0,1594
oksana_krinickay,0,0,124.16093092683352,0,0,1554
hofoen,35,0,163.3150572278147,0,0,1473
SSR_317,37,0,124.60918063172424,0,0,1452
AndrewBuck,630,0,9.079848294101026,0,0,1432
CueVii,297,0,28.7179121698289,0,0,1355
Timothy Smith,260,1,151.4817129475857,7,0,1321
California Bear,44,0,47.00149582851122,0,0,1308
abschiff,189,0,44.46092268338724,0,1,1294
Skybunny,336,0,182.474265234218,0,1,1282
Andreyhmk,0,0,88.21324574168379,0,0,1249
stevea,11,0,51.020976704842326,0,0,1228
robgeb,200,0,52.01106725304437,0,0,1217
MattKrause,0,0,139.6360450663025,0,0,1204
