user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Rub21_nycbuildings,95577,6,5.900704581109485,0,2,122637
bot-mode,0,0,15681.995765115633,0,0,85205
minewman,66510,0,12.990279946073523,0,0,67126
ComBlOp,47164,0,576.1985631449382,0,1,61137
Jason Harrison,3195,12,305.4513338484398,5,0,38574
bhousel,2385,6,2604.679225048483,2,2,34016
smlevine,33281,0,1.508617181399323,0,1,33591
NJDataUploads,0,0,0.0,0,0,30687
dankpoet,22450,3,153.10447064988256,1,0,26193
peace2,1040,3,280.278406169981,0,15,25310
dchiles,119,1,1041.718634497182,8,0,22428
Valustaides,9065,0,616.7109780506929,8,4,22138
lxbarth_nycbuildings,16435,0,4.6938069822674695,0,0,21360
NJGeoMaster,16000,13,231.02346794998954,5,2,20285
3yoda,4763,8,604.2758206190468,31,5,19868
choess,1558,0,616.0701019544305,0,0,19575
IanH,1975,2,1090.354346031721,2,1,18486
ingalls,17144,0,54.92254479490837,0,0,18414
njtbusfan,0,0,2305.4655481193254,0,0,18142
MSoslow,3963,0,768.0097794701304,5,1,17084
kylegiusti,15131,0,34.89128259166102,0,1,15597
ebrelsford_nycbuildings,11253,0,11.730512875275977,0,0,12302
DaveHansenTiger,0,0,1495.5980252188454,0,0,12146
RM23,6093,0,664.204779846073,0,0,12015
chdr,8719,0,455.24289312854836,0,0,11998
djohnso84,6892,0,193.78153289990803,2,0,10917
dpawlyk,797,0,935.898302364852,0,0,10425
Matt1993,81,0,787.4786538751215,0,0,9911
crystalwalrein,1499,0,599.6190237416677,0,3,9745
tyos,1223,0,506.25446506088497,0,0,8870
quincylvania,363,0,428.38784175254233,0,0,8838
Pitskalittles,7672,0,34.06311435591525,0,0,8263
daniel_solow,612,22,115.6969620079475,3,24,8088
James Michael DuPont,2242,0,252.7328452313711,0,0,7282
-Matthew,5932,0,51.9944646834808,1,0,7216
42429,45,0,25.500157011642262,0,0,7077
NE2,5,0,516.1110627025464,0,0,6955
pwhite119,2701,5,278.04318608168734,12,1,6496
swimdb,4829,0,120.1097610521976,0,1,6076
ALE!,172,5,169.27872384238736,0,0,6060
Albert Pundt,6,0,288.954365623742,0,0,5829
robgeb,3151,1,8.021775473179673,0,0,5814
wambag,123,0,541.0456083646927,0,0,5663
MastaDLo,236,0,418.9665946822239,0,0,5545
bogdanp_telenav,3,0,603.2244862841402,0,0,5393
JimmyRocks,3182,0,139.58293195885946,0,0,5368
abergs95,551,8,371.2774992744148,5,15,5185
bhousel_bot,3,0,1386.0610407695183,0,0,5175
buildings_atlanticcounty,3057,1,179.89188158454147,0,0,5075
ediyes_nycbuildings,4888,0,1.12064317441419,0,0,5064
Extramiler,4897,0,2.819185718382964,0,0,4969
iandees,384,0,17.096550749653936,0,0,4853
promiseofbirth,321,8,111.38604553921634,4,6,4248
eugenebata,2069,0,52.320089613985175,0,0,4165
flierfy,114,0,7.275001842381521,0,0,3737
ogm17,1596,0,80.98701183071769,3,0,3688
maxerickson,494,0,215.93503527950057,0,0,3686
Prof Eric Cameron,426,1,382.13031768387015,0,2,3683
ucvgabe,2514,0,37.26021542979638,2,2,3635
Roadsguy,31,0,436.66251960392356,0,0,3511
KindredCoda,165,0,409.93423945182604,0,0,3459
rgn87,3308,0,3.499219416625212,0,0,3385
iamkrzys,123,0,313.2939212312666,0,0,3332
Korzun,143,0,45.39257212840781,0,0,3304
aaron_nycbuildings,2473,0,0.0,0,0,3286
johnjreiser,454,0,217.52483672114653,0,1,3284
wireguy,2522,0,40.51152787817345,0,0,3261
Oleg Naumov,2256,0,27.695236309824114,0,0,3072
Luisi Mouse,2214,0,33.695027024271624,0,0,3029
Aurimas Fišeras,114,0,0.9116576784439121,0,0,2991
tylerruff,1073,0,177.41649766693956,0,0,2966
grid1811plan,11,0,1.83056024996313,0,0,2942
Edward,694,0,1.846271378227232,0,0,2904
fluffy_unicorn,4,0,240.2105856658236,0,0,2868
shryx86,246,0,211.73536957769474,0,0,2859
cityracks,0,0,0.0,0,0,2745
Aleks-Berlin,16,0,0.481766663405079,0,0,2716
kharri1073,1321,0,108.38010167092804,0,0,2652
