user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
dngo,0,0,0.0,0,0,1
Владислав Жоль,1,0,0.0,0,0,1
Pope19,0,0,0.0,0,0,2
1248,0,0,0.0,0,0,327
aetebet,0,0,0.603900933230283,0,0,1
41459,0,0,0.0,0,0,3
svrichards,0,0,0.0,0,0,1
45387,0,0,0.023796562733211003,0,0,1
харитачи,8,0,10.762401837516164,0,1,152
650597,0,0,1.6663559089043591,0,0,10
John Hall,1,0,0.027619474802326002,0,0,22
146244458,9,0,17.001396518948688,0,0,200
frickede,73,0,6.25837052394677,0,0,233
CareyM,1,0,44.18713450245404,0,0,88
Days Inn Harriman,0,0,0.25398910101439204,0,0,2
maxerickson,1692,0,750.3415321473068,0,0,11029
Nuriasevil,0,0,0.0,0,0,11
fx99,85,0,82.19659379078576,0,0,9535
KVBIAK,0,0,0.0,0,0,30
DaveHansenTiger,0,0,10551.437948975346,0,0,68353
avibhatt,1,0,0.0,0,0,4
amillar,793,0,3.931715085631126,0,0,2221
talexhv,7,1,2.440857809482536,0,0,73
iandees,1181,0,36.04374980991782,0,0,11915
Yvonne O Chow,0,0,0.05497127492333,0,0,1
lucsalmons,0,0,481.66985704255706,0,0,882
darrell,1,0,15.551169164274011,0,0,12
golfgeek,0,0,0.0,0,0,287
Kevo,47,0,70.95114758130737,1,0,1074
KanaLee,0,0,1022.344552474416,0,0,2111
Dicechucker,1,0,2.094056799835747,0,0,21
nfgusedautoparts,3077,19,4706.266111899527,2,10,33722
Nytewing,2,0,0.0,0,0,2
Romuald71,0,0,12.953617967789263,0,0,88
Rubi1869,5,0,0.0,0,0,10
ke9tv,2091,2,1288.067031626369,0,0,9557
Steph7007,0,0,0.0,0,0,14
kwametedros,0,0,418.55107349873515,0,0,1064
elwarren,0,0,0.0,0,0,3
Adam Franco,49,0,1402.796756995753,0,0,1755
EvanSiroky,6,0,0.11401891782433701,0,0,25
ridixcr,50,0,149.36137165273516,0,0,1357
locke,0,0,0.23112571140253702,0,0,3
user_599436,9103,5,6654.683866459914,16,5,37910
hfk2nd,0,0,1.451212455267025,0,0,18
b-jazz,41,0,76.10612897881342,0,0,715
countrymouse,0,0,6.936192482256651,0,0,16
anbostrom,0,0,0.5874996296732781,0,0,7
Mike Vandenberg,0,0,0.147366113433292,0,0,3
Z6Z168QM3Y2MNVVR,6,0,87.48202292675718,0,0,225
Timr42,0,0,0.0,0,0,1
rjmattimore,14,0,4.447471962264501,0,0,96
Анна Андреевна,0,0,0.0,0,0,1
dcampbell,127,0,0.18541500594319402,0,0,177
serjantik,1,0,0.0,0,0,1
NE2,7,0,1502.3628270244571,0,0,7990
afanahome,0,0,0.0,0,0,1
mambus,0,0,20.914782933109933,0,0,62
sesquibe,0,0,0.297498673024783,0,0,1
NYSDEClands,0,0,0.21502615594190602,0,0,17
Buddylee43,0,0,0.0,0,0,2
ECRock,500,0,3096.0129922945353,1,0,11412
musaibm,0,0,20.03807535505798,0,0,230
YanTremblay,15,0,157.08457711862295,0,0,381
Malmis,0,0,0.294547060324981,0,0,1
andrewpmk,1141,0,774.4008059939093,0,0,18130
4093,11,0,5.591265384403955,0,0,54
NoCoFire,7,0,0.0,0,0,16
42429,191,0,90.28259999126895,0,0,22155
BPWatson,1,0,1.910678458883635,0,0,5
45723,0,0,0.0,0,0,1
Geogast,7,0,1.9145475389264242,0,0,2989
8626954,0,0,0.0,0,0,1
