user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
bdiscoe,104250,1,10124.09881665577,0,1,474220
jumbanho,33341,0,3423.3244639471122,1,1,247126
LeifRasmussen,50182,9,3628.857047824105,10,6,186093
bot-mode,0,0,41853.20406819671,0,0,155931
Omnific,72136,18,3606.3006557723884,0,4,95309
NorthCarolinaAddressImport,1,0,0.0,1,0,87538
LeifRasmussen_import,10358,0,53.89265956296181,0,0,86921
_jcaruso,1403,0,6107.681215233253,2,0,81742
DaveHansenTiger,0,0,15429.411212715064,0,0,80615
JMDeMai,49676,2,1059.3121595224034,0,0,76224
AmaryllisG,32798,25,2720.459236464388,17,19,57575
maxerickson,4256,0,6348.698188956127,0,0,56829
WashuOtaku,15658,3,3271.86672721574,6,4,51494
rivermont,6352,1,2557.128655667809,0,0,49508
jumbano_durhamaddress_import,7379,0,8.6837289474103,1,0,45027
user_870861,33842,0,0.5742834493115151,0,0,33865
dcat,17,0,0.014951404174231001,0,0,27525
Sparks,9874,1,2736.257568551221,1,1,27262
fairchildbrad,6508,2,600.5448034570317,1,0,24625
Mew82,18929,1,260.59570459893615,0,1,23036
sandhill,23,0,9939.772905526006,0,0,22070
MrNyanUniverse,18710,1,251.7623953769336,1,0,21787
_jcaruso_import,17609,0,1.5930038857355,0,0,18785
grossing,230,0,188.46321775614467,0,0,18570
dmich9,12868,1,300.881983742665,0,0,17005
Hartmut Holzgraefe,0,0,13.438288528700559,0,0,16701
BjornRasmussen,877,0,227.06989273031576,0,0,15888
zephyr,0,0,0.0,0,0,15851
MST Hiker,1413,0,2280.8117601610916,0,0,13367
Shawn Riley,1262,2,2325.402073381971,4,3,12854
Roadsguy,11,0,2702.296947628835,0,0,12712
ediyes,3,0,2303.277736051643,0,0,12233
Bob the Shibe,10360,0,176.2980582716122,0,1,12134
Yoshinion,662,2,942.7857927255924,0,0,12082
drynwk,960,0,572.3487847767834,0,0,11719
raycock,403,3,4941.374082118337,2,4,11362
iandees,14,0,13.925325654933129,0,0,10882
SDoak,2146,2,301.48922554187493,1,0,10562
jonahadkins_dare_imports,10206,0,0.026896973210603,0,0,10211
Sunfishtommy,432,4,1368.148417525069,1,0,10013
Clay Hobbs,422,0,1082.4355371145634,0,0,9562
42429,10,0,44.39136912796604,0,0,9164
AndrewSnow,195,0,2015.2241353876937,0,0,8356
RoadGeek_MD99,951,0,1132.2006660024983,0,0,8215
AndrewBuck,7981,0,0.548792136568663,0,0,8009
Geogast,0,0,17.21308585604308,0,0,7649
bigal945,6290,0,88.15032372352069,0,0,7144
slgidley,3205,0,380.0457237107038,0,0,6948
MikeN,94,0,946.5833454684426,0,0,6645
Jonah Adkins,1134,0,419.7735414936945,1,0,6451
