user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
KanaLee,0,0,7.947573965543622,0,0,7
motlib,0,0,0.0027926133782410004,0,0,1
CadeColvin,0,0,0.6421914527751831,0,0,3
42429,1,0,34.94313185786006,0,0,961
hoream_telenav,0,0,18.93314779642447,0,0,117
AndrewBuck,159027,1,71850.55763008494,1,2,380843
JuggernautMapper,0,0,6.010437120247472,0,0,33
iandees,0,0,1.493534240885464,0,0,2311
SomeoneElse_Revert,2,0,0.0,0,0,7
iepfactory,0,0,8.141412790764818,0,0,4
WoodWoseWulf,11,0,10.264155426677503,0,0,92
stevea,0,0,1.422013788444838,0,0,1167
TravGW,0,0,0.0,0,0,1
DaveHansenTiger,0,0,22351.180793572454,0,0,77745
NathanBergeson,13,0,11.242771491967947,0,0,211
MikeN,0,0,243.15879769928014,0,0,975
lizzz_msp,0,0,2.181185940170874,0,0,3
nyuriks,1,0,0.0,0,0,779
geowas,0,0,0.055037007062047005,0,0,7
Pnrrth,0,0,4.758935579200638,0,0,753
R0bst3r,0,0,16.05239019644309,0,0,5
stucki1,0,0,17.865911185723707,0,0,17789
vHawk,68,0,0.0,0,0,73
mambus,82,0,1047.8005296041324,0,0,3372
Ropino,0,0,0.0,0,0,1
NE2,0,0,1133.3412356648034,0,0,1785
coolcon22,0,0,0.375682986248277,0,0,1
Tubes,0,0,0.0,0,0,49
LinuxScribe,1,0,0.0,0,0,4
Gone,3,0,834.1003087822897,0,0,1023
ScottWerkema,8,0,16.662634505940158,0,0,43
zephyr,4,0,0.734618705783287,0,0,12432
Dami_Tn,0,0,0.5197335905469921,0,0,1
chazanov,1,0,1.223671827667041,0,0,250
trayhons,0,0,53.524743477158715,0,0,94
Victor LP,0,0,0.0,0,0,37
gecho111,5,0,88.18975724061315,0,0,148
mdroads,0,0,479.9703456492772,0,0,488
Undearius,0,0,0.0,0,0,376
ToeBee,0,0,0.21135789745358402,0,0,876
michael colvin,0,0,5.115532805211691,0,0,5
amillar,6,0,0.574847181533747,0,0,400
Joel R,0,0,0.890161276538139,0,0,1
orest,0,0,0.0,0,0,1
catalinad_telenav,0,0,19.468713882977568,0,0,12
vsandre,0,0,16.603332659303042,0,0,73
OntarioEditor,0,0,26.543156922855157,0,0,45
mike140,0,0,0.0,0,0,6
DavidLiu5059,0,0,27.71663946008645,0,0,28
cart0,3,0,0.0,0,0,23
cforin,0,0,8.531620189809216,0,0,4
jwgreenlighting,44,0,10.826329236119093,0,0,78
lucsalmons,0,0,13.056310008775132,0,0,11
bigalxyz123,0,0,2.462328325071408,0,0,12
Amgine0,0,0,0.0,0,0,6
California Bear,4,0,2.408795353075122,0,0,186
Klumbumbus,0,0,0.0,0,0,66
DenisCarriere,0,0,0.0,0,0,171
markm851003,0,0,0.517865347419583,0,0,2
Peter14,0,0,159.72500434796905,0,0,340
EdSS,3,0,0.289686549119383,0,0,11
b-jazz,30,0,46.55315086884015,0,0,310
dmgroom_ct,0,0,0.0,0,0,3
boopington,0,0,11.054921197191067,0,0,49
RoobieDoobie3,0,0,0.0,0,0,11
RichRico,1,0,4.894476986127209,0,0,39
Hendric Stattmann,0,0,0.0,0,0,2
ruthmaben,0,0,34.467119098650386,0,0,41
Zolo,0,0,0.0,0,0,1
Med,0,0,0.0,0,0,2
g246020,0,0,0.0,0,0,5
valerietheblonde,0,0,0.0,0,0,2
LinkTiger,35,0,11.707657513557383,0,0,161
