user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
exit,57,0,161.80027694670753,0,0,1649
mgober,1223,0,0.533701680095892,0,0,1226
KMyers12,1029,0,0.350343413479826,0,0,1034
Marvin de Hont,894,0,4.927316451561158,0,0,928
LiuTwo,82,0,219.61612213632316,0,0,841
russdeffner,403,0,84.39435568785034,0,0,713
burtonm1,652,0,0.263249563925187,0,0,656
miluethi,599,0,0.7166814382323351,0,0,608
dkunce,518,0,2.303100810743809,0,0,544
OttoR,343,0,18.9823457677704,0,0,501
kevin Prince,376,0,9.498058681643212,0,0,494
drust,455,0,0.9531921429394841,0,0,466
Forgoodmap!,442,0,0.081091913691845,0,0,444
Woestijnprinses,440,0,0.0,0,0,440
Theo A,426,0,0.306296168619543,0,0,432
marco443,384,0,0.06983145556757,0,0,388
Brennen Moore,370,0,0.9887353922192301,0,0,379
Justin0914,363,0,0.0,0,0,363
James Destry,319,0,0.0,0,0,319
PP2D,306,0,0.40010748754712805,0,0,311
robsteenbergen,308,0,0.0,0,0,310
guamGIStech,158,0,5.819531047478436,0,0,300
lauren2012,276,0,0.0,0,0,276
pieandcakes,260,0,0.200710020166181,0,0,268
tastrax,260,0,0.291267778932752,0,0,263
Seandebasti,12,0,7.9777525587932665,0,0,254
zcromar4,215,0,0.0,0,0,216
MichaelCollinson,31,0,30.771401290570616,0,0,200
Peter Bremer,192,0,0.037921524614157,0,0,193
MrsSoule,174,0,0.034217965112771004,0,0,178
RAytoun,149,0,3.845739360313623,0,0,176
anne_1212,124,0,1.019459235626371,0,0,170
goodone2,167,0,0.09746779739975801,0,0,168
rfranke,156,0,1.9543574704617832,0,0,161
Popolon,118,0,6.147131153056098,0,0,161
samlibby,141,0,0.905060236488015,0,0,146
AnnaGala,137,0,0.31566748275842704,0,0,139
Nautic,101,0,1.041013888104496,0,0,129
kriscarle,19,0,2.7654186986933142,0,0,126
GeoStudent,120,0,0.0,0,0,120
Giblet,111,0,0.19357553580388,0,0,113
Geogmap73,108,0,0.0,0,0,108
