user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Minh Nguyen,102483,15,17368.120948380714,44,3,318857
bot-mode,0,0,37143.030059947334,0,0,127877
Johnny Mapperseed,19941,4,4824.158068364589,6,29,112969
houstonmapper1_cincyimport,102634,0,44.56856935340394,0,0,103343
Nate_Wessel_cincyimport,90926,0,50.01342023695046,0,0,91207
DaveHansenTiger,0,0,12084.63859136639,0,0,79753
Nate_Wessel,16232,1,7587.070716448578,4,2,68607
doktorpixel14,15341,4,1703.0205825055107,33,7,52548
doktorpixel14_import,42153,0,1.2497949910737,0,0,42164
Minh Nguyen_cincyimport,36778,0,0.0,0,0,37453
lrhill,30842,0,213.38759693811124,0,0,34478
skorasaurus,9305,26,5075.315913403656,8,19,33143
kg4sgp,20071,0,356.05339086231,0,0,23683
Bored,93,0,4341.58420053482,0,0,22993
pkoby,5478,0,1103.335129410627,3,3,21826
smlyons77,1565,0,3577.7724621152283,0,0,21751
maxerickson,810,0,1934.2882339629052,1,0,19139
Nimbalo,12722,0,133.99035439754675,0,0,18310
alzyee,1780,6,2955.277189392812,12,10,16847
duck57,1976,0,916.1606308063551,1,0,14836
Evan Edwards,1713,0,1592.665164371008,2,2,14517
MerlinPendragon,4512,0,369.49858215404606,2,0,12986
St-Motel,3945,2,1263.4724923027773,1,0,12029
TomM1495,11416,1,53.29991665426818,3,0,11723
gregcrago,55,0,3578.048987709275,8,0,11707
PiGuyN,2213,0,457.7740995365864,2,0,11009
iandees,5,0,73.97749220989351,0,0,10728
42429,51,0,143.57060943920445,0,0,10672
Vid the Kid,867,0,1100.3871224903853,0,0,10473
unigami,6490,0,171.22290691127196,0,3,10175
TimC,869,0,1058.0028561640459,0,1,9394
kbzimmer,1850,0,533.4876639985731,0,0,9308
OSchlüter,111,0,77.1321207097824,0,0,9174
jonsger_import,9016,0,0.09220753111148801,0,0,9019
Zac D,2580,0,300.79974220045494,0,0,8998
Korgi1,4521,0,260.9828796479008,1,0,8973
nsommers,381,0,631.524281761087,1,0,8758
njtbusfan,1,0,1910.509225482758,0,0,8281
carnevalem,3173,1,122.82789462672804,3,0,8210
Conor Hayes,2018,0,173.60050981444584,0,0,8019
wlgann,1590,3,582.0538444565786,0,0,7781
kbiddle,7712,0,0.0,0,0,7726
Anonononon,2095,0,320.00507805114205,0,0,7577
AndrewSnow,112,0,1692.782626335376,0,0,7134
