user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
emacsen_dwg,0,0,0.0,0,0,1
DueWestGIS,0,0,0.8300690551198221,0,0,3
Heinz_V,0,0,0.0,0,0,1
42429,0,0,0.0,0,0,1
freeman roberts,0,0,0.8160762465387571,0,0,3
balrog-kun,0,0,24070.09676649927,0,0,37681
stikwyrm,0,0,0.136855885622743,0,0,5
DaveHansenTiger,0,0,30725.922838400507,0,0,133596
Wulfmorn,0,0,0.093919357856294,0,0,1
elmachine,650,0,2242.0499688451987,0,0,2090
Andgopokes,1,0,11.45420940082448,0,0,138
Paul Johnson,7874,4,62920.60035175618,1,17,263974
southglos,0,0,0.0,0,0,3
kriscarle,0,0,0.37901584697711804,0,0,7
Mosley,0,0,0.0,0,0,2
maxugglan,0,0,49.241013484991,0,0,621
polyorchid,0,0,0.0,0,0,2
samely,0,0,282.9783345293966,0,0,1401
KKBeaney,0,0,2.419276740747789,0,0,15
iandees,3,0,0.21850455611938002,0,0,11822
wegavision,0,0,0.36959488963187703,0,0,44
Sundance,55,0,192.82683918101992,0,0,1944
jcsmith123,0,0,0.0,0,0,2
Luis36995,8,0,307.1546309326374,0,0,1008
Lars_Gatt,0,0,0.0,0,0,6
davidearl,0,0,0.0,0,0,1380
sachinv,0,0,0.7700214646045771,0,0,5
hofoen,13,0,437.0398299567702,0,0,2177
EZRouting,0,0,1.902486085038626,0,0,9
loconvey,0,0,7.349302134172823,0,0,8
sunwukong4,6,0,0.0,0,0,12
Natfoot,1,0,31.891595397110315,0,0,178
Easky30,4,0,0.009598889964896001,0,0,8
Geogast,8,0,94.50791781118714,0,0,3479
RDErickson,1,0,1.002996169940557,0,0,15
elkueb,8,0,614.0743279344364,0,0,2224
brogo,0,0,0.5694819951707131,0,0,3
zephyr,5,0,0.010823514126323,0,0,11463
scottyc,0,0,1.047328241751216,0,0,2
kre3d,9,0,1.3623820908379711,0,0,4008
anuds,0,0,2.27411298931283,0,0,7
nyuriks,1,0,0.5824158464601761,0,0,1383
Spencer4213,0,0,15.265854654723075,0,0,66
Nebain,49,0,627.4091676734454,0,0,1952
Xapitoun,0,0,0.978755249240512,0,0,13
Shmallory0,41,0,23.45059960001397,0,0,423
Maskulinum,0,0,20.179183343817314,0,0,30
ToeBee,26,0,2361.281328999791,0,0,3222
Mykcbel,0,0,0.331317366822223,0,0,3
bbmiller,0,0,261.71773230407194,0,0,477
Gabriel13,0,0,0.0,0,0,1
ruthmaben,430,0,70.54384256668645,0,0,575
gormo,0,0,0.14847855505819801,0,0,1
TheDutchMan13,6,0,93.1921547724717,0,0,381
Terry Mudge,1,0,0.39931306682356904,0,0,3
karitotp,0,0,218.37591098163554,0,0,1195
65999999,0,0,32.72834544782226,0,0,48
Moon_Goddess,0,0,0.0,0,0,3
torapa,3394,0,2736.146096023792,0,0,10132
kfremd,0,0,142.06750347347509,0,0,522
Chenshi,0,0,25.770411629870917,0,0,38
DavidJDBA,1,0,174.9457203999291,0,0,152
donpedro1980,0,0,0.20471319194148302,0,0,4
jumbanho,0,0,12.77250952233543,0,0,3245
Daniel Diep,0,0,0.0,0,0,1
uboot,1,0,255.4197413753023,0,0,1067
jwork,2,0,0.0,0,0,2
maxerickson,289,0,1112.4618373298701,0,0,8764
kjon,0,0,0.893041583062928,0,0,8
TheAwesomeHwyh,2,0,0.0,0,0,2
mhenson,3334,1,449.98309515086345,1,1,12626
upendrakarukonda,0,0,22.498491703969226,0,0,19
greggerm,0,0,1.395817508610455,0,0,67
dcat,0,0,0.0,0,0,2835
mueschel,1,0,18.168940741016293,0,0,40
