user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Ryan Welsh,0,0,1.3738248625510021,0,0,3
dffigment,0,0,0.0,0,0,2
EstebanTheIndignant,8,0,0.152603443389138,0,0,34
1570,0,0,0.8159417293962831,0,0,16
katedoughertywriter,2,0,0.42318742178661706,0,0,4
42429,65,0,31.042600899807287,0,0,9143
enlow,0,0,0.0,0,0,2
DaveHansenTiger,0,0,13452.630411193542,0,0,79259
Natalia Reyes,0,0,0.12840611499246302,0,0,1
countrymouse,33,0,187.09709436521564,0,0,734
Adler777,108,0,11.165196316041918,0,0,400
xybot,34,0,5.724773203099618,0,0,362
Jingyin,0,0,0.0,0,0,2
user_5359,736,0,83.68168711948343,0,1,1600
yags,0,0,0.0,0,0,1
BlueG,59,0,49.99397141979468,0,0,403
IVpips,0,0,0.7173623509659981,0,0,7
Richard,3,0,3124.0926173033204,0,0,4097
ragnoa1,0,0,0.28975660866365105,0,0,7
KristenK,0,0,75.09002191005328,0,0,719
Shawn00000usa,1,0,0.0,0,0,2
Scharf Energy Systems,437,0,1349.5967406384182,0,1,4409
Thad C,1,0,0.140005401622032,0,0,4
RussNelson,20,0,436.688049985806,0,0,2434
lptasz,0,0,0.272214690264386,0,0,1
alangard,0,0,5.391827715842277,0,0,19
MaxFerg,7,0,1.050486264062435,0,0,19
egore911,426,0,142.548073193705,0,0,2055
bfischer10,1,0,0.0,0,0,5
SK53,70,0,1297.8716767885655,1,0,2962
jle59,165,0,0.11532888307676101,0,0,175
jleedev,579,2,261.110296645546,4,2,7094
Danmar_nf,0,0,15.705835536549374,0,0,50
unforgiven512,431,0,193.2740219562708,0,0,2182
Nexus786,7,0,1.432244373761474,0,0,22
Scharf Computer Solutions,2148,0,2494.0493766671407,4,0,18598
SpanishSnake,7,0,0.8331036258606961,0,0,43
mykol404,3,0,6.8783903535629936,0,0,2752
Lauren77,2,0,0.361620875865418,0,0,3
b-jazz,50,0,109.62120669482545,0,0,933
ThothStar,65,0,26.06937668035401,0,0,809
dcat,1,0,0.0,0,0,5746
Geog160,2,0,0.0,0,0,3
RetiredInNH,1,0,105.81093034335768,0,0,373
frabz,28,0,0.0,0,0,32
Luis36995,159,0,500.12237626649573,0,0,2443
Ahopper1996,0,0,0.0,0,0,3
maxerickson,726,0,1082.296354479963,0,0,10913
Tyler Cunningham,2,0,0.0,0,0,4
amillar,717,0,28.542036145840697,0,0,2048
TronOSM,1,0,0.11386338979670702,0,0,4
karitotp,12,0,369.89219733826724,0,0,2689
tpenko,0,0,0.0,0,0,9
MikeN,12,0,359.3131975142575,0,0,3407
varshia,0,0,0.411511465659251,0,0,3
h4ck3rm1k3,0,0,0.0,0,0,211
poetryofsound,2,0,0.49672480920433304,0,0,3
yurasi,17,0,254.58816035693513,0,0,1511
Takuto,0,0,2.9372200753368123,0,0,18
srividya_c,42,0,114.5422578333363,0,0,715
rkryan,1,0,0.0,0,0,1
Farkad5,0,0,21.92816989049177,0,0,61
pdunn,0,0,0.057048672364148005,0,0,2
paulmach,0,0,47.35634880809995,0,0,101
KRMtthw83,2,0,0.0,0,0,6
Alan Trick,0,0,70.38701050612093,0,0,168
Nick Towers,2,0,0.419975343702131,0,0,5
mikeb226_gis,2,0,5.393111906145877,0,0,19
Douglas Peterson,0,0,0.0,0,0,1
Edward,446,0,3.048854381736891,0,1,3133
IBnM,25,0,0.17622336411390202,1,0,71
Spanholz,649,0,5458.245911368595,0,0,14773
malcolmh,0,0,0.0,0,0,186
terminalpreppie,650,6,175.55709370495055,1,2,2811
aem102,0,0,0.0,0,0,1
ruph,43,0,1.972290424613473,0,0,55
OceanElevated,23,0,0.060724696015375,2,0,43
Ropino,1,0,9.542142365264601,0,0,67
Aidanpgm,1,0,0.0,0,0,5
grossing,2,0,32.4567855883843,0,0,117
Demiar,0,0,264.4699367088128,0,0,3586
Hobgoblin,0,0,10.025540366438852,0,0,20
raculot,2,0,0.32634822184275003,0,0,4
quackers,0,0,38.53002787482596,0,0,76
awarrenb,0,0,0.0,0,0,3
skorasaurus,36,0,19.151435835978123,0,0,181
jeh5530,1,0,0.0,0,0,2
bdiscoe,195,0,53.15033585777157,0,0,388
ananon,0,0,0.0,0,0,5
fx99,1,0,2.03176694294875,0,0,178
mak6195,4,0,0.0,0,0,4
Matt1993,124,0,2378.1349172481664,0,0,19654
steelcitywheelhoupa,0,0,0.0,0,0,1
jonesydesign,0,0,208.95378546782942,0,0,680
DoctorTeeth,12,0,0.5082556417369251,0,0,25
Timothy Smith,1151,1,351.5230155242001,41,0,4608
ab3sk995,0,0,0.0,0,0,1
calfarome,1,0,583.5139476744124,0,0,2885
zeltwelt,0,0,0.0,0,0,3
Cato_d_Ae,0,0,180.19919668565478,0,0,317
grapefruit99,0,0,0.21356972849920502,0,0,2
HunterMangel,4,0,0.0,0,0,5
jt4118,41,0,0.73054448514294,0,0,44
Var-vara,0,0,15.191664260599188,0,0,67
PropertyVIEW®,3,0,0.0,0,0,3
rddeepth,0,0,30.36208168790196,0,0,120
ViperNetworkSystems,0,0,0.0,0,0,3
Albert_Pundt,107,0,1113.5352936476281,0,0,9785
derryyoung,0,0,8.874020726468094,0,0,7
bogdanp_telenav,0,0,54.07880876243105,0,0,413
twiztidtunes,0,0,0.159273476700058,0,0,2
saikabhi,0,0,30.4377828484046,0,0,151
asimonson02,1,0,0.0,0,0,2
Aurimas Fišeras,42,0,0.0,0,0,717
Tangocil,0,0,0.0,0,0,1
lorandr_telenav,0,0,204.5657763880172,0,0,1444
mapperr1,1,0,0.0,0,0,2
ChrisZontine,0,0,36.207864436312164,0,0,232
J Map,2,0,1.348059088879586,0,0,8
MatthewOSM,611,1,753.1103981448036,0,2,3442
zachseymour,0,0,0.0,0,0,1
b-jazz-bot,795,2,8.894253052296616,3,1,2288
patchez,1,0,0.0,0,0,1
Lacramioara-Mihaela,0,0,1.169661348392653,0,0,10
nfist,0,0,1.7045233991627091,0,0,42
BeholdersEye,0,0,0.0,0,0,2
TheIdiotYouYell@,0,0,0.073108372232947,0,0,1
danbjoseph,0,0,16.24958076957415,0,0,37
dwebb4694,0,0,0.16016670097037503,0,0,6
talukdm,0,0,297.0775989193865,0,0,1825
MarkSantucci,1,0,0.0,0,0,1
choess,987,0,568.946575904833,0,0,13191
mchrsold,0,0,0.0,0,0,2
Maskulinum,0,0,71.78796603069745,0,0,163
tonyndory,0,0,0.0,0,0,4
maxolasersquad,31,0,8.935953809257427,0,0,102
csingley,0,0,0.233367498373889,1,0,7
JeffM8,0,0,41.85757366270063,0,0,92
sourworm,0,0,1.176282787550643,0,0,7
Micah Nordland,0,0,4.4745300186897135,0,0,29
Michael Cerne,0,0,0.0,0,0,4
klusark,0,0,3.538000061238597,0,0,22
MalletJames,5,0,0.0,0,0,6
Vkkalegi,0,0,74.01551928359646,0,0,414
Garrett51!,4,0,0.0,0,0,6
dufekin,2,0,729.9313492081191,0,0,4194
mreisser,1,0,0.0,0,0,4
nwtraffic,0,0,10.261315555536694,0,0,7
Way2gimped,0,0,0.0,0,0,1
Andreas Zuber,0,0,2.9098325786181123,0,0,5
pennakate,0,0,0.0,0,0,2
Sgt Curley,4,0,0.0,0,0,5
borvikas,0,0,0.7412620772190971,0,0,2
teodorab_telenav,1,0,595.6611875929755,0,0,2617
BigDaddy574,48,0,2.863616199024331,0,0,90
TANDR3,2,0,0.276290355281889,0,0,9
Heffer,5,0,0.9111648737886561,0,0,37
edathy,6,0,9.070937519262106,0,0,123
jrn5260,1,0,0.0,0,0,5
hfyu,1,0,0.40653269302648404,0,0,14
PJTJR00,5,0,0.0,0,0,17
nabrcarr,0,0,2.411206529272545,0,0,5
dbprice,0,0,0.0,0,0,2
Iowa Kid,1,0,80.55789073547557,0,0,419
Bobby16,0,0,0.0,0,0,2
Md Alamgir,0,0,47.03487988778612,0,0,45
JonDecker,2,0,0.0,0,0,2
Wickedmick,1,0,4.750249125387447,0,0,81
jimbok,0,0,0.282924818042715,0,0,2
stinger503,1,0,24.897474702635108,0,0,149
Evan Hanney,1,0,0.403120458947535,0,0,6
cgu66,17,0,0.7683583788903091,0,0,85
railfan-eric,1,0,0.0,0,0,2
stangoodman,2,0,34.10888649971636,0,0,158
derekh147,3,0,0.6280801560083541,0,0,29
Bagarius,2,0,0.0,0,0,7
Pixelgamer 5631,436,0,5.376202366802587,0,0,607
acallender88,0,0,0.0,0,0,1
David Dennison,4,0,0.0,0,0,9
mvexel,2,0,42.60804998849049,0,0,156
Mikes3006,0,0,0.0,0,0,1
itsmaxymoo,61,0,21.408133828206243,0,0,377
Wiebelitt,52,0,0.0,0,0,52
Charlie Mordent,0,0,0.0,0,0,11
coneslayer,8,0,12.34360857691305,0,0,87
Ted Mielczarek,629,0,283.4218079408712,1,0,2707
KatieS829,14,0,0.0,0,0,17
thetornado76,38287,1,210.55664666345575,0,0,39499
carsnwd,22,0,0.16783585237200502,0,1,73
Ivan Komarov,0,0,135.70419273116272,0,0,486
Jochen Hein,0,0,0.10583103602997301,0,0,2
Brett72,0,0,0.9546822225384091,0,0,14
tmikita,0,0,0.0,0,0,2
fliteking,0,0,0.0,0,0,2
Rusty Enterline,1,0,0.0,0,0,1
woodpeck_fixbot,1,0,1.646237270013465,0,0,654
Dinopack,0,0,0.43381293772025203,0,0,21
PariahActual,15,0,42.310625553200076,0,0,244
FaxMachineMode,1115,0,12.953278623980617,0,0,1922
fche,1,0,0.0,0,0,10
makenna port,1,0,0.0,0,0,1
R0bst3r,3,0,2.466746473851652,0,0,19
Awpa,8,0,163.15432998177872,0,0,701
Rosscoe,0,0,1.02200860919117,0,0,6
pshende74,1,0,0.0,0,0,68
Skybunny,26,0,8.741549230607188,0,0,138
kmmarinas,0,0,0.6984059680917121,0,0,1
Hedaja,64,0,2.6136001882200492,0,0,99
Lucideus,1,0,0.0,0,0,5
nammala,15,0,158.98829704977615,0,0,431
BenzoV,0,0,12.259888450230584,0,0,46
