user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
igeopr_prbuildings,79933,0,23.705875824426922,0,0,80340
ernestocd_prbuildings,68693,0,0.05950401504035201,0,0,68702
vramirez122000_prbuildings,39749,0,32.55518329626173,0,0,40295
DaveHansenTiger,0,0,4044.6058170448364,0,0,38650
maxerickson,20104,0,1002.6437325344933,0,1,30514
igeopr,4819,0,2452.6964527325513,2,3,25724
Mich74,24154,0,77.27827863237154,0,0,24541
BigKev97,618,0,3064.204077323137,7,0,22903
EsthersGeo,22056,0,139.39390856287528,0,0,22799
goodone2,21648,0,69.38976204648053,0,0,22043
marco443,16390,0,392.83501562793265,0,0,18891
maxerickson_large_edits,15512,0,29.23591677022547,0,0,15940
aapdesign,14732,0,166.89577396043669,0,0,15624
sparsile,15505,0,6.615494956528459,0,0,15539
vichada,14775,0,54.79650142242887,0,0,15331
Patchanka,12698,0,255.80941778609775,0,0,14655
Parie,12002,0,171.11501208406796,0,0,13858
juf Carla,13286,0,80.0937311984475,0,0,13774
Víctor Ramírez Imports Account,12550,0,33.14125375803395,0,0,13553
JanButter,12729,0,57.282880603962624,0,0,13077
vramirez122000,2509,0,449.9256954780119,6,3,12942
Andrew Matheny_import,12492,0,2.420162260193364,0,0,12897
Birgit1961,11396,0,143.70612014629492,0,0,12116
Chadly_a,12100,0,1.373857229942957,0,0,12110
pkodame,11816,0,0.28567133951016205,0,0,11819
NMAalders,10435,0,17.012621467685882,0,0,10547
Athalis,1838,0,1339.751347319995,0,0,10243
ricjones,9655,0,91.5995779538258,0,0,10235
Lonneke76,9484,0,103.51111339637006,0,0,10073
Taperina,9468,0,14.094626219085775,0,0,9565
Marvin de Hont,8082,0,50.964710016071564,0,0,8458
mmon01,7291,0,115.4890975256741,0,0,8401
OttoR,4787,0,308.6682577409298,0,0,8401
MI_RI,7498,0,63.626009509501976,0,0,8187
356c,7827,0,74.81894180158133,0,0,8061
estarq,2146,1,1.4783920291573631,2,6,7913
SDavies,7428,0,26.609565688144837,0,0,7582
eldobbins,7370,0,23.35137955787912,0,0,7530
GeoStudent,6612,0,41.90425455168725,0,0,6876
ceyockey,1172,0,489.2667035022356,0,0,6788
mrshiv,6544,0,42.818725131574276,0,0,6773
TheDutchMan13,0,0,828.5860912537744,0,0,5878
Boggedy,4906,0,162.84014739530656,0,0,5874
