user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
greggerm,32935,0,94.40099629885886,0,0,36668
MassGIS Import,0,0,192.31679840869447,0,0,29433
jremillard-massgis,27500,0,0.0,0,0,27639
azsr,15035,1,384.2326880043298,2,2,22470
loescher,72,0,3983.2365608798814,0,0,21995
Alan_Bragg_Import,21773,0,2.155464636784327,0,0,21780
Zirnch,12232,1,63.751216747974176,0,0,18933
maxerickson,215,0,1214.8358545660187,0,0,11940
42429,33,0,3.162851977581783,0,0,4271
Firefishy,0,0,772.7525812082622,0,0,2889
Lorren13,1691,0,18.73987040735999,1,1,1972
underorbit,1,0,183.7884099080082,0,0,1842
GeoStudent,1547,0,0.822512449005916,0,0,1585
Rassilon,267,0,58.04017857258226,0,0,1547
krinkov76239,0,0,281.0504846360866,0,0,1510
iandees,0,0,0.0,0,0,1376
njtbusfan,1,0,199.79526000716046,0,0,1370
Roman Guy,421,0,5.41827885878808,0,0,1325
Jwheels9876,16,0,9.979582059713517,0,0,1139
Alex KG Ellis,957,0,4.659072751800618,0,0,1096
OceanVortex,80,0,11.053998854244535,0,0,878
John Wrenn,358,0,87.04219440638249,0,0,854
TeresaPeteti,0,0,24.080865866254403,0,0,834
jerryam,92,0,41.681866396841464,0,0,783
catalinad_telenav,0,0,70.08374347134192,0,0,724
thetornado76,166,0,33.963146330649366,1,0,722
Teesta,0,0,45.57180183680965,0,0,712
Iqhra,4,0,43.949854343565576,0,0,675
Nate_Wessel,87,0,29.560244044527558,1,0,618
Alan Bragg,269,0,42.791825184474,0,0,592
hofoen,230,0,17.762578657538487,0,0,588
ZeLonewolf,95,0,26.03509437521652,0,0,548
Zack Bowden,44,0,12.768698633226329,4,0,543
wambag,5,0,1.835806374869752,0,0,527
SickZick,392,0,10.139475191492647,0,0,520
Genghis,0,0,0.0,0,0,512
MJHamilton113,6,0,2.51124927772537,0,0,505
GITNE,6,0,21.9347235585127,0,0,467
Di Splainame,262,0,4.728929858435074,0,0,457
freebeer,424,0,3.814425296441737,0,0,455
Bhojaraj,3,0,22.6748014404834,0,0,438
Benvelo,3,0,77.97750239189278,0,0,412
EmilyPPP,13,0,7.146426247791246,0,0,408
amillar,53,0,0.0,0,0,402
morganwahl,0,0,0.0,0,0,391
JasonWoof,230,0,6.802780282982935,0,0,369
Yury Yatsynovich,106,0,19.504190730988153,0,0,354
ChrisDMI,281,0,0.29872827649181405,0,0,315
venkanna37,5,0,13.203757688683455,0,0,291
oba510,0,0,1.901196914078463,0,0,285
Edward,57,0,0.03018948202037,0,0,282
crystalwalrein,38,0,11.240687986575445,0,0,274
kylecorry31,168,0,2.781078504762853,0,0,270
sadam,52,0,3.663540601542625,0,0,267
MCM7,1,0,14.109857308723981,0,0,258
b-jazz-bot,61,0,0.0,0,0,254
LaborOfLove,6,0,1.038031611375472,0,0,250
rustymorr,8,0,25.37077773927109,0,0,247
bdiscoe,118,0,3.782359284966282,0,0,245
JessAk71,17,0,17.859704248929074,0,0,240
mapman44,1,0,14.443544767267948,0,0,234
swimdb,134,0,3.045173088808766,0,0,230
Parcanman,8,0,3.507239124249259,0,0,223
jamacho,195,0,0.0,0,0,216
NE2,0,0,13.657157256474973,0,0,214
mahahahaneapneap,0,0,6.735067817106187,0,0,212
Fivea,0,0,26.910775667252057,0,0,211
Lnicolau26,197,0,0.7034658601979541,0,0,211
brownstyler,202,0,3.086944282992569,0,0,210
Outlier73,0,0,67.10867449940658,0,0,209
vademecum,88,0,3.112498776512788,0,0,206
marianp_telenav,0,0,21.32153792727543,0,0,204
timmmichaud,6,0,27.0060524068727,0,0,200
dkwolf,63,0,3.363352574304347,0,0,200
Richard,0,0,137.73688171245553,0,0,197
Leo22,11,0,4.882019775045012,0,0,196
user_5359,61,0,6.974845358658305,0,0,194
nhanway,1,0,7.667061483553806,0,0,193
Durango,22,0,6.309114559640587,0,0,191
Geogast,0,0,0.0,0,0,190
I Am Not Telling You My Name,0,0,27.140630716753876,0,0,187
sfn,2,0,17.98342707964013,0,0,187
andrewpmk,14,0,28.53791590790806,0,0,186
Timothy Smith,95,0,0.0,2,1,185
BMS_FLL_2013,0,0,0.0,0,0,184
oanac2_telenav,0,0,21.821996392565378,0,0,174
teodorab_telenav,0,0,23.89372558090284,0,0,173
sctrojan79,3,0,11.167562241844028,0,0,173
oldtopos,0,0,12.693140196797524,0,0,171
ioanam_telenav,0,0,21.18644861819155,0,0,168
KDTW Flyer,5,0,24.24970212144571,0,0,163
davidearl,0,0,0.0,0,0,156
choess,0,0,0.49486916341484505,0,0,151
ionutr_telenav,0,0,18.81665090238154,0,0,149
RussNelson,4,0,4.214106394812081,0,0,147
paulopp,44,0,7.849642312456454,0,0,146
GregCh,0,0,15.45728196554563,0,0,140
cybhunter,3,0,5.644257576835791,0,1,139
marthaleena,0,0,34.17803755530522,0,0,133
EdSS,88,0,1.064516973382004,0,0,128
OMMB,0,0,28.25867418354605,0,0,124
flierfy,1,0,0.0,0,0,121
TheParadoxMuse,38,0,2.9932276094671,0,0,116
lorandr_telenav,0,0,15.335959796472139,0,0,116
JoePiol,20,0,15.24218572538631,0,0,115
PikachuCSX,2,0,0.0,0,0,114
gabis_telenav,0,0,16.278608638708807,0,0,107
gdt,6,0,7.503496079369241,0,0,106
ftavares87,49,0,1.9160672047853922,0,0,105
siranachronist,14,0,8.450973904471951,0,0,102
sebastic,7,0,1.109031060713464,0,0,100
udairman71,5,0,6.498797672575866,0,0,98
LarsBG,20,0,4.925175379884736,0,0,98
Luis36995,0,0,8.239878974443613,0,0,97
Werewombat,75,0,0.0,0,0,94
brianjmcguirk,14,0,0.018458537928578,0,0,93
blahedo,59,0,0.5189461166888211,0,0,86
poornibadrinath,1,0,7.682536209840096,0,0,86
SLussier,45,0,0.19489586051158703,0,0,84
lynnkeep,69,0,0.249152235899868,0,0,82
Ohmanrayman,34,0,2.316675750313418,0,0,81
RickieFareShowe18,3,0,15.465830408012902,0,0,80
tbhartman,52,0,0.42885320430190205,0,0,80
Ailish,76,0,0.0,0,0,80
Windows98,36,0,0.09736350708417801,0,1,78
Sampool15,7,0,15.915326678667224,0,0,75
PHerison,0,0,0.954674375754578,0,0,75
Roadsguy,0,0,8.23640433335499,0,0,75
Downy_288,0,0,9.313385359809036,0,0,74
Quinsies,56,0,0.0,0,0,74
Ken Horn,11,0,2.306708406896097,0,0,74
joemadeus,33,0,0.08497630706171401,1,0,74
dufekin,0,0,3.138179499853827,0,0,73
Latze,73,0,0.0,0,0,73
Jake Snow,16,0,2.011600379718539,0,0,73
The Inning Club,27,0,0.0,0,0,72
dannykath,1,0,2.818767591595453,0,0,71
hmammoth,0,0,0.0,0,0,70
Ahlzen,1,0,0.3405006943903,0,0,69
dpawlyk,2,0,8.432187331711908,0,0,69
johnsdixon,0,0,1.091314325104627,0,0,68
Downy288,0,0,10.711776231546198,0,0,68
soumybha,0,0,11.710735240198828,0,0,67
JimmyRocks,67,0,0.0,0,0,67
Rexma423,15,0,2.715826812801121,0,0,66
digibot,0,0,0.38798537823696805,0,0,64
Ddoolittle86,0,0,8.253074332080597,0,0,63
bhavana naga,0,0,9.071044133968929,0,0,63
samely,0,0,5.766173658400134,0,0,62
ashleyannmathew,0,0,10.241027043518038,0,0,61
osm2xp,61,0,0.0,0,0,61
steverumizen,0,0,0.41649226720583504,0,0,60
b-jazz,1,0,11.823223594167064,0,0,60
Able05,59,0,0.0,0,0,59
tebiggs,1,0,0.0,0,0,58
sgalley,26,0,0.14922788381267502,0,0,58
stevea,0,0,2.523970437689269,0,0,57
arkdatta,0,0,5.038753522799132,0,0,57
wvdp,0,0,18.392936187054946,0,0,56
shushmit,0,0,6.394831981260857,0,0,55
woodpeck_fixbot,0,0,0.0,0,0,55
jremillard,7,0,0.5291890857499331,0,0,54
eminence,24,0,0.520469574220988,0,0,54
BenBaldwin,0,0,0.020871650601693003,0,0,53
sabiya,8,0,0.750153474993804,0,0,53
thetravelingmapper,47,0,0.668427274509451,0,0,53
UrbanTrails,1,0,8.303298949435693,0,0,53
user_599436,15,0,8.157209187128304,0,0,52
DaveHansenTiger,0,0,8.020617430606826,0,0,52
ediyes,0,0,5.336302935401422,0,0,52
Korgi1,36,0,0.14089943993638102,0,0,50
Dr Kludge,50,0,0.0,0,0,50
RoadGeek_MD99,6,0,2.765887477328298,0,0,50
Jason78,0,0,9.057817733368577,0,0,50
bot-mode,0,0,4.291412715193607,0,0,49
Yoshinion,13,0,1.287927933862079,0,0,48
RichRico,1,0,3.732885609172979,0,0,48
skquinn,10,1,0.10135513189254701,0,0,47
arming_telenav,0,0,8.201328189754275,0,0,47
payelgh,0,0,4.937592944431543,0,0,47
OldShamanizer,0,0,5.138852043631582,0,0,45
calfarome,0,0,4.489400614947102,0,0,45
PelleB,18,0,0.146382643735463,0,0,45
rojganes,0,0,6.503855977979724,0,0,45
CAMcCormick,5,0,2.044744548798747,0,0,44
nyuriks,21,0,0.0,0,0,44
bathis,0,0,5.341501479463234,0,0,44
Mr World,33,0,1.63530939904321,0,0,44
Bkissin,31,0,0.0,0,0,44
cliffcake,9,0,0.0,0,0,43
Jumpingjackz,0,0,1.742186505520253,0,0,43
talukdm,0,0,7.9219863049137285,0,0,43
utkshukl,0,0,22.293182451106293,0,0,43
nicole0420,23,0,0.0,0,0,43
PhrozynWynd,38,0,0.550073635848429,0,0,42
upendrakarukonda,0,0,6.238301312709489,0,0,42
FvGordon,0,0,4.080703828059362,0,0,42
levandosky,0,0,13.240035147603024,0,0,41
MeatballZ28,0,0,12.923449688593129,0,0,41
dmgroom_ct,0,0,0.0,0,0,41
petrar_telenav,0,0,5.274836375461768,0,0,40
Sporkweasel,0,0,4.417499806590221,0,0,40
cforin,0,0,7.299128898481204,0,0,40
mtblocal1,0,0,12.060009203145352,0,0,40
gremillard,1,0,1.5073037009939712,0,0,39
oormilavinod,0,0,4.9524832801014576,0,0,39
mvviveka,0,0,8.71569665819193,0,0,39
MikeN,0,0,1.869196659335231,0,0,39
dalek2point3,0,0,1.664969923726294,0,0,38
mvexel,0,0,1.063116506989066,0,0,38
Marshall T,35,0,1.532845916522118,0,0,38
crschmidt,0,0,0.8097146681080061,0,0,38
JackStrawberry,19,0,0.528717514820467,0,0,37
Iowa Kid,0,0,4.665882431738065,0,0,37
maptastical,0,0,0.12114221923171001,0,0,36
Coolc6401,1,0,2.028351667930328,0,0,36
chharsha,0,0,4.304189721451419,0,0,36
Maarten Deen,0,0,6.717444326279576,0,0,35
tpawlitschek,2,0,0.6479308544590291,0,0,35
karitotp,0,0,3.356341957989602,0,0,35
MediaWAD,13,0,0.55689877931215,1,0,34
lucsalmons,0,0,3.845731969766055,0,0,34
Constable,1,0,5.692901127498724,0,0,34
Mapsamillion,27,0,0.0,0,0,33
istvanv_telenav,0,0,5.441191272628416,0,0,33
Corey Masters,6,0,0.9252303196134871,0,0,33
rkdarst,14,0,0.27360658170636604,0,0,33
dhaird,0,0,6.622597423602975,0,0,32
Rybread52,2,0,1.4167254024460791,0,0,32
Peter Dobratz,0,0,0.21087721941596702,0,0,32
jojoyal,0,0,2.737439023601651,0,0,32
Spinosaursus,30,0,0.0,0,0,31
CoasterRoyalty,0,0,0.0,0,0,31
debutterfly,0,0,5.811233782504122,0,0,30
Jothirnadh,0,0,1.329911442381482,0,0,30
Seth Dixon,3,0,4.261096065806385,0,0,30
mrfa,0,0,2.036328348993971,0,0,30
melisramer,0,0,4.6760737602286095,0,0,30
cvbrassil,0,0,9.324776671761194,0,0,30
mueschel,0,0,0.0,0,0,29
ed_borges91,11,0,0.874288896209462,0,0,29
Sneakytiki,0,0,0.0,0,0,28
karnatim,0,0,2.64232062025104,0,0,28
esterichia,1,0,0.0,0,0,28
november3000,12,0,0.644259526544468,0,0,28
akalohri,0,0,3.381221929720462,0,0,28
the Sandinator,0,0,4.272031039540838,0,0,27
marek kleciak,9,0,2.198532174919692,0,0,27
muziriana,0,0,4.757758079048445,0,0,27
darksh1ne,8,0,0.542947709303456,0,0,26
em21701,26,0,0.0,0,0,26
JJab,2,0,0.49220375736995003,0,0,26
Cleared as filed,2,0,0.508738417230107,0,0,26
Mattija,1,0,7.187100500340836,0,0,25
lvjordan3,0,0,11.596898530489314,0,0,25
debott,0,0,3.543672641170942,0,0,25
Fishheadjr,0,0,2.013584233835939,0,0,25
Prof Eric Cameron,0,0,3.866289153707409,0,0,24
matttomasi,1,0,0.0,0,0,24
woodpeck,1,0,2.440950791632416,0,0,24
mdroads,0,0,1.0650337480731271,0,0,24
adamos,0,0,0.5854615554504611,0,0,23
abel801,0,0,2.189950074915637,0,0,23
manings,1,0,2.005783522363381,0,0,23
GoWestTravel,7,0,0.0,0,0,23
zjbuyer,1,0,0.455238655440302,0,0,23
gohimans,0,0,10.619289701640936,0,0,23
tmadhuli,0,0,1.61637874222215,0,0,22
