user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Spartanburg_SC_County_Import1,93119,0,822.0510574110623,0,0,139822
bot-mode,0,0,28223.56209374035,0,0,89612
Emerson Hill,63899,3,443.31045121660793,1,4,70688
MikeNBulk,0,0,0.0,0,0,65519
grossing,1,0,250.372260310304,0,0,61238
MikeN,5261,36,6185.486583718742,30,17,60566
Spartanburg_SC_County_Import3,39705,1,346.02715372420806,0,0,55362
DaveHansenTiger,0,0,13983.871753899686,0,0,49935
navosm,19988,0,3376.2238691895523,0,0,39460
Hartmut Holzgraefe,0,0,44.17574475071182,0,0,36447
Royoriti,9944,0,1447.4991813307583,4,1,36106
jumbanho,0,0,119.38363328943636,0,0,30523
Omnific,11146,5,3456.5423121237277,0,2,30190
Greenville_SC_City_MSImport_1,29586,3,13.387014715792443,1,0,29874
trickXVII,10927,0,1588.0957820360131,5,9,26661
itsamap!,2825,1,1785.5303269730716,0,1,22873
bdiscoe,1228,0,3336.746037201013,0,0,22550
zephyr,0,0,3.365995780115998,0,0,22318
WashuOtaku,4441,3,1001.106467282807,6,0,16640
Munchabunch,4340,0,988.6587901740677,0,1,15341
MarksPhotoTrips,2874,0,2691.187775657197,0,0,15002
dcat,0,0,49.97834113906497,0,0,13158
Liber,0,0,1.7564238268288421,0,0,12655
maxerickson,458,0,1343.6904593251525,0,0,11507
telegnom,0,0,17.70694500222128,0,0,9416
JordanKepler,454,1,165.30488198621268,0,0,9343
Greenville_SC_City_MSImport2,8672,0,61.130615374208595,0,0,8944
TheMBDude,709,3,1269.4408680675033,7,2,8054
dmich9,6217,0,129.456233431011,0,0,7997
iandees,1,0,3.6602725705134933,0,0,7438
42429,24,0,6.492635163586505,0,0,7076
be9110,4525,0,75.5979621040575,0,0,6483
dufekin,61,0,599.268936487896,0,0,6186
ediyes,0,0,1023.8931973994734,0,0,5219
Geogast,1,0,6.339919746893397,0,0,5082
RoadGeek_MD99,384,0,705.0975778726811,0,0,3929
Rub21,871,0,294.4976769763266,0,0,3826
davidearl,0,0,0.0,0,0,3812
CJack,1376,1,211.10993369207,0,1,3685
Timothy Smith,1000,2,343.9731362885623,19,0,3589
Lightning,660,0,175.48922804468208,0,0,3565
westsider28,849,0,115.92550337867189,3,0,3549
mapman44,1255,0,498.3538921551849,0,0,3479
Your Village Maps,176,1,288.7952186411524,0,0,3444
KanaLee,0,0,618.4980147084403,0,0,3098
LeifRasmussen,44,0,39.17357703929578,0,0,3046
AndrewSnow,26,0,1272.6619000658216,0,0,2917
Pnrrth,110,0,217.56648402048026,0,0,2883
Luis36995,4,0,536.6054559297879,0,0,2651
Kla_Ger,2,0,887.9153155608536,0,0,2556
pfgis,220,1,378.14288923541324,0,0,2437
NE2,2,0,529.2841320901989,0,0,2288
EdLoach,106,0,79.60388698393675,0,0,2254
shawat94,0,0,395.50386742763766,0,0,2133
rickmastfan67,0,0,192.36170004711377,0,0,2067
RichRico,3,0,390.7966699456401,0,0,2063
Chris Lawrence,9,0,678.4548639652007,0,0,2055
Richard,1,0,2278.6086342976496,0,0,2050
njtbusfan,0,0,474.224741196416,0,0,2000
Glenn29502,187,0,149.431867510496,0,0,1928
eric22,0,0,3.398760135872133,0,0,1785
teodorab_telenav,1,0,296.34936276771987,0,0,1784
Heat Lair,1188,0,9.100175057439069,0,0,1777
maxugglan,0,0,26.1831698836897,0,0,1741
samely,1,4,191.5116545610941,0,0,1731
Sarr_Cat,795,0,55.41834070774333,0,1,1666
ElliottPlack,64,0,147.05162983747294,2,0,1621
sadam,453,0,36.204501930853624,0,0,1597
egore911,80,0,190.28001538816707,0,0,1579
dannykath,5,0,439.3021810051257,0,0,1569
Morgan Herlocker,1502,0,4.635393873483919,0,0,1568
Juggalo_Kyle,86,0,78.74499551751646,0,0,1563
schulf,651,0,71.3619664543495,0,0,1538
maven149,845,0,86.85913076559142,0,0,1514
lorandr_telenav,0,0,333.59603708781907,0,0,1471
Stephen214,0,0,171.75772164716452,0,0,1444
jacobbraeutigam,159,0,121.83920861460214,0,0,1438
Edward,138,0,4.309279260295786,0,0,1428
OSchlüter,0,0,0.5441700326504221,0,0,1408
Spanholz,20,0,591.2568886254253,0,0,1387
FabianAffolter,1327,0,2.199129612098078,0,0,1350
woodpeck_repair,8,0,801.7027481238936,0,0,1306
sebastic,12,0,0.071002688746473,0,0,1268
map93,2,0,783.4427705298821,0,0,1268
torapa,225,0,266.19353661067424,0,0,1260
calfarome,0,0,326.17419093659913,0,0,1244
GEOMSG,798,0,25.032670765263454,0,0,1231
SK53_bulk,0,0,0.0,0,0,1222
Alan Bragg,168,0,197.98121284265918,2,0,1205
Skybunny,16,0,110.38774438754416,0,0,1179
ToeBee,0,0,115.20739330014021,0,0,1162
Omnific2,3,0,370.2603726934571,0,0,1124
wegavision,315,0,205.69519042131452,0,0,1120
Ave Arboris,467,0,23.180772571146917,1,0,1108
arming_telenav,0,0,150.40783459558767,0,0,1095
Pisgah Map,0,0,426.6712353740236,0,0,1085
rkatt,134,0,15.0203186126937,0,0,1074
amillar,113,0,54.40275762568752,0,0,1070
thevirginian,295,0,156.52410875206743,0,0,1052
tigers,69,0,61.58844998257713,0,0,1049
Darth_Vader,108,0,70.07646496142951,0,0,1018
sllockard,182,0,66.64572340600698,0,0,1015
b-jazz-bot,391,0,5.536091714835637,5,0,1013
BeaufortCounty,176,0,171.309829832942,0,0,1011
