user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Joeb382,3,0,0.266596248875698,0,0,77
mlwebster,15,0,0.0,0,0,15
knottga3,0,0,0.0,0,0,1
42429,0,0,0.0,0,0,50
Adrien Adams,3,0,0.0,0,0,4
715371,14,0,3.629757909234752,0,0,72
lks1[konto usunięte],0,0,0.06863688020029801,0,0,1
RoobieDoobie3,0,0,0.0,0,0,11
Shimorin,0,0,0.0,0,0,1
DKNOTT,5,0,2776.324824875155,0,0,2983
cdavila,1,0,0.0,0,0,1
DaveHansenTiger,0,0,17449.54715533323,0,0,36553
DeezulWagon,0,0,0.0,0,0,3
AndrewBuck,997,0,600.801606874681,0,0,8779
The Temecula Mapper,10,0,1.629195451969304,0,0,36
Richard,0,0,10209.239140392843,0,0,5865
mgb70,0,0,0.0,0,0,1
trayhons,2,0,1774.053937127625,0,0,1958
ChelvisGeocacher,0,0,1.595079224755812,0,0,4
BCNorwich,0,0,81.71558602278968,0,0,31
Andrzej Talarczyk,10,0,0.07519391183547501,0,0,21
dcat,1,0,0.0,0,0,245
konabean,0,0,1.688794697613904,0,0,4
ToeBee,0,0,1.297706037610826,0,0,457
MTK_Prototype,0,0,0.0,0,0,1
MannequinBaby,0,0,0.0,0,0,1
shravan91,0,0,0.69956905598712,0,0,2
gm360st,1342,3,1801.148846898646,2,0,7327
Silverspur,0,0,0.0,0,0,1
pschonmann,0,0,261.40183845246554,0,0,184
techie66,18,0,19.892745185335443,0,0,55
yurasi,1,0,32.88456074671365,0,0,76
ChrisB,0,0,0.33304863296604903,0,0,1
Peter14,0,0,123.00807503233332,0,0,140
Pmz,0,0,0.0,0,0,1
hofoen,9,0,139.71120993404492,0,0,258
riiga,0,0,0.0,0,0,1
woodpeck_fixbot,0,0,16.75427966905297,0,0,138
Stretch Longfellow,0,0,1464.41163295355,0,0,2562
Spanholz,13,0,451.8527019336603,0,0,528
greenv505,1,0,117.5898887274725,0,0,217
zephyr,2,0,2.824213847966779,0,0,10665
TheBrit,0,0,8.169030679010172,0,0,8
Geogast,0,0,4.177591360380886,0,0,460
dr ingrid,0,0,3.33564372321064,0,0,13
Hartmut Holzgraefe,0,0,2.448928073115966,0,0,2373
Tangocil,0,0,0.0,0,0,1
Mulad,3,0,1269.6192185245955,0,0,2949
Howpper,0,0,6.2762837668439975,0,0,33
RoadGeek_MD99,34,0,172.56979335042254,0,0,459
wandsecacher,0,0,0.0,0,0,2
nm7s9,1,0,67.26243013227909,0,0,295
Bargain Hunter,0,0,0.0,0,0,2
oldtopos,0,0,1083.9066709830065,0,0,663
mikelmaron,0,0,7.888916845317177,0,0,3
sejohnson,148,0,43.25348515017822,0,0,241
anca_mihaela,0,0,0.35067040719929604,0,0,2
Maskulinum,1,0,43.14804829460324,0,0,78
Kay Mae,17,0,59.507357674050226,0,0,97
calfarome,0,0,59.601061434204894,0,0,90
jgruca,4,0,8.229674938160358,0,0,25
OSMF Redaction Account,0,0,0.10218088225049701,0,0,5
jonesydesign,0,0,6.959558732098422,0,0,14
JeffM8,0,0,17.038647154862446,0,0,12
jwagenet,0,0,0.565368458320321,0,0,1
Luis36995,0,0,67.51771568120732,0,0,81
pktwilight,0,0,2.088937016384423,0,0,6
NoelB,0,0,0.0,0,0,4
trekki,0,0,0.0,0,0,4
bahnpirat,3,0,0.0,0,0,100
Wcheswick,0,0,0.0,0,0,1
lucyhummer,42,0,46.303649984353385,0,0,69
Kramer_Joe,0,0,5.050097534548061,0,0,17
ImParker,246,0,43.67109829540728,0,0,522
Dero Bike Racks,0,0,0.0,0,0,4
black_bike,107,0,0.127795227098314,0,0,113
emj,0,0,0.0,0,0,1
ediyes,2,0,121.73051502787747,0,0,142
Shawn Michael,0,0,0.103783947826645,0,0,4
pratikyadav,0,0,2.525819969280489,0,0,41
colindt,2,0,0.0,0,0,8
Victor LP,2,0,128.01082453950903,0,0,342
Markus Rankl,0,0,0.0,0,0,1
wambacher,6,0,6.79580295490886,0,0,63
Carrie Gray-Wood,1,0,0.6732037070015761,0,0,4
ustroetz,0,0,5.9676452425763085,0,0,6
swv,0,0,1.183643783051533,0,0,3
b-jazz,46,0,21.966671260914595,0,0,252
Andre Engels,0,0,0.11969318881820401,0,0,4
gormur,0,0,2.820054037939728,0,0,47
Sjbauer,50,0,13.149035861695348,0,0,194
abschiff,0,0,0.0,0,0,17
MarissaD,0,0,0.0,0,0,1
GJF85,54,0,312.0982079176668,0,0,496
jheddings,0,0,2.6437412938823552,0,0,18
ruthmaben,0,0,8.461241183858462,0,0,29
Rexma423,2,0,11.846568786999727,0,0,40
samely,3,0,27.689255894433163,0,0,104
rza31,0,0,0.0,0,0,1
bbmiller,0,0,37.354404308452445,0,0,156
Scharf Computer Solutions,0,0,0.0,0,0,5
Kla_Ger,0,0,39.77429049246939,0,0,32
Mr Satterly,0,0,0.0,0,0,3
Milo,0,0,188.76059485314204,0,0,181
Jothirnadh,0,0,0.637692834261089,0,0,6
raw33,0,0,47.532363481435105,0,0,37
JamesKingdom,0,0,13.26237454567393,0,0,8
Imp_GL,2,0,3.499497165155714,0,0,15
mrlanduse,0,0,0.0,0,0,4
HubMiner,1,0,0.0,0,0,9
E-F-S,1,0,0.0,0,0,2
woodpeck_repair,22,0,7.457491099148465,0,0,57
Paul Ortman,3,0,0.9507333825425751,0,0,69
Strongthany,211,0,9.155353740319205,1,0,404
cgu66,0,0,0.0,0,0,4
KIngaJOnes,0,0,0.264964606331882,0,0,2
Cato_d_Ae,0,0,0.37972373928879505,0,0,7
