user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Shane Poland,0,0,1.1745590025020651,0,0,8
Jroc,0,0,0.0,0,0,1
Mark Gray,0,0,0.798424973537826,0,0,48
42429,453,0,170.809464701999,0,0,55624
kugelfiesch,10,0,0.764716926120336,0,0,17
bot-mode,0,0,29333.007956395733,0,0,87584
abhap,0,0,20.61184062607428,0,0,186
eptil,113,0,269.9201993571143,0,0,3684
honjobbs,2,0,0.14976488159853102,0,0,5
DaveHansenTiger,0,0,12778.313903725155,0,0,63593
Chattanoobie,2,0,0.925342213280781,0,0,6
Geogast,3,0,25.346825571245194,0,0,8581
reportingsjr,0,0,6.020826163601768,0,0,15
rivermont,88,0,83.33067874666587,0,0,670
missouriskier,0,0,13.712296569002714,0,0,11
DanHomerick,0,0,62.69414609000601,0,0,131
Chris Culver,0,0,0.0,0,0,2
gcjunge,0,0,270.76474660185613,0,0,852
JZDmaps,3,0,0.0,0,0,3
jdj150,49,0,1469.8457321941708,0,0,3703
TheBlueRobin,2,0,0.0,0,0,6
MikeN,13,0,748.6449143219413,0,0,3655
dwausr,0,0,0.076047527018339,0,0,1
NickConnolly,0,0,4.175929858395628,0,0,7
daisygaines19,0,0,0.035050775765102,0,0,2
jgruca,0,0,89.54720911127187,0,0,376
Blobo123,0,0,0.0,0,0,1
Constable,16,0,33.84689480039498,0,0,98
Metasequoia,0,0,2.104036066551892,0,0,3
jonesydesign,0,0,538.0567040649613,0,0,1444
mattsl,0,0,0.0,0,0,1
RemyChase,0,0,0.40716587763038903,0,0,1
Rayner,48,0,0.172269421321916,0,0,61
Brad Banich,0,0,0.0,0,0,10
HolgerJeromin,0,0,0.19417391770459402,0,0,2
AntonioPigafetta,0,0,29.275801175371242,0,0,1165
jchumley,1,0,0.305402311774141,0,0,2
dr ingrid,3,0,1635.7727817656637,0,0,3442
rjhunter,0,0,0.100182437527513,0,0,2
DavidYJackson,0,0,133.40265181476676,0,0,242
CoreyC,1,0,0.0,0,0,1
gregcrago,10,0,1323.7376079405776,1,0,6369
PSHEP,0,0,0.0,0,0,1
Griphon,0,0,1.430789816688272,0,0,5
Bryant D,21,0,0.675206139420163,0,0,28
piligab,283,0,150.56522791398,0,0,732
cowboy_wilhelm,0,0,0.180559445772559,0,0,1
calfarome,320,0,916.468834530645,0,0,3281
Brian Newman,1,0,0.08563559776730201,0,0,2
Richard,10,0,3421.694514677218,0,0,3912
rthfer,0,0,35.244414849533236,0,0,179
elkueb,116,0,846.4368569048406,0,0,2059
Takuto,0,0,11.854244164099452,0,0,52
ToeBee,0,0,321.55752518035337,0,0,821
jogger333,0,0,1.5840808977637821,0,0,4
hopfavogl,0,0,36.79478663497343,0,0,59
charity_faith,34,0,0.0,0,0,36
abel801,0,0,573.7648669556227,0,0,1461
jonnysmitherly1,1,0,0.0,0,0,1
yurasi,236,0,263.173452472192,0,0,1060
mledford,0,0,3.831516931494057,0,0,33
muziriana,2,0,464.386132346874,0,0,1056
beamerblvd,0,0,0.33813689222269505,0,0,2
RichRico,654,0,1200.954563923709,0,0,5832
kuede,0,0,0.302493753003934,0,0,1
Kirbert,44,0,209.2426485232311,0,0,965
locorapido,0,0,0.13209037214624,0,0,2
mwra-uk,0,0,32.094607420418306,0,0,22
KyleYoumans,4,0,0.0,0,0,4
thetornado76,12,0,0.9430513699849501,0,0,172
Jean-Marc Liotier,1,0,0.0,0,0,2
Hobgoblin,6,0,30.95713493529013,0,0,52
Knight Solaire,2,0,0.0,0,0,2
interdite,7,0,0.75229036201052,0,0,83
thelittlekid,4,0,0.0,0,0,6
xybot,12,0,2.615204088733391,0,0,99
volite,0,0,2.162116489580241,0,0,4
pete404,34,0,4.621662651672282,0,0,117
k_violet,10,0,0.623906413236701,0,0,24
maxerickson,1325,0,1304.6642224924615,0,1,12164
Ned Savage,0,0,0.0,0,0,1
ashishub,0,0,40.054360825733056,0,0,104
Korgi1,1,0,0.0,0,0,1
paasthan,0,0,49.54221535229072,0,0,256
Parcanman,3,0,5.322415493337691,0,0,541
woodpeck_repair,36,0,62.940841873586265,0,0,711
Printgeek,2,0,0.0,0,0,2
Nephra6944,1,0,6.560724058465568,0,0,16
gabrielnahmias,1,0,0.0,0,0,1
Kla_Ger,7,0,433.3316438677454,0,0,1237
SamanthaRB,22,0,0.101655099709252,0,0,32
25or6to4,10,0,811.0432752580559,0,0,2005
Max Zhang,3,0,0.0,0,0,3
ol4life,1,0,0.12480204012635301,0,0,19
Dmtalon,2,0,0.059379608611077,0,0,4
marthaleena,4,0,296.45741814499854,0,0,677
drjohnc,0,0,0.04185822926443,0,0,1
lemba,0,0,47.83723379919616,0,0,37
mcormic97,0,0,0.030699568712926003,0,0,2
Spanholz,41,0,2187.2659165151076,0,0,3473
tjfry,1,0,0.0,0,0,1
sfontravel,2,0,64.55344969479538,0,0,81
richard worl,5,0,2.517606525380913,0,0,18
Alexander Roalter,0,0,0.0,0,0,800
Cliff Boyd,0,0,22.298298064068454,0,0,32
broberts3862,0,0,6.895636187003824,0,0,26
Ann4567,0,0,0.595204497792021,0,0,1
kmitshu,0,0,51.65333321663626,0,0,180
Tyrrell18,6,0,0.291487977452904,0,0,14
arosalon,0,0,104.36544094359978,0,0,334
Notre1,1,0,1.5972932879844661,0,0,4
lengau,6,0,1.5884146284626182,0,0,44
beigecrayon55,14,0,2.116384194266051,0,0,31
rekasruj,0,0,56.28841374366099,0,0,277
Matt McAdory,0,0,0.0,0,0,6
khnzmnz,0,0,126.81181942463401,0,0,886
Evan Edwards,1,0,0.10546984617775501,0,0,2
sivapaid,0,0,59.926287598492564,0,0,284
kbomby,0,0,0.0,0,0,2
howdystranger,14,0,26.192630024411084,0,0,116
Molow78,0,0,0.063994028199198,0,0,4
yadathot,0,0,89.5041602337425,0,0,495
pdog089,0,0,0.21643581534979903,0,0,5
riteshaw,0,0,7.821695288574913,0,0,74
Dark Lotus,2,0,0.0,0,0,2
jinalfoflia,0,0,8.18967159709932,0,0,69
Mich_Kerley,15,0,0.334138868533281,0,0,40
boopington,1,0,358.28150629807135,0,0,580
Artemis64,1,0,0.0,0,0,1
Cato_d_Ae,23,0,358.4005037397056,0,0,543
Bela Flor,2,0,1.025056355152103,0,0,5
knikitha,0,0,71.81241124836652,0,0,312
Eric Palakovich Carr,0,0,0.7741524164066781,0,0,3
rza31,183,0,102.26050535044953,0,0,540
eMerzh,0,0,0.45931674348111706,0,0,3
jharpster,5,0,65.37005173908395,0,0,170
irateh,2,0,0.0,0,0,2
madharor,0,0,1.352494796192003,0,0,7
Sunstone,33,0,2.9195491087202012,0,0,61
saksudan,0,0,107.59806949327823,0,0,724
Shadus,2,0,0.0031038504508210003,0,0,7
javmoh,0,0,89.93973935585329,0,0,641
Ryan Lash,1,0,0.0,0,0,1
HokiePilot,0,0,81.12323286823775,0,0,256
ABrown1,38,0,0.10279123127512901,0,0,41
Chris Lawrence,53,0,1388.300177281669,0,0,6121
Max248,6,0,0.9341131896214531,0,0,14
TIGERcnl,0,0,0.0,0,0,642
Sterling Silver64,0,0,8.684502797976725,0,0,154
fredjunod,2,0,364.47444712647484,0,0,4047
shance_dowdy,0,0,0.0,0,0,2
baditaflorin,0,0,9.818582558541253,0,0,11
oini,0,0,8.358646875590802,0,0,18
joshparnham,0,0,51.504259173886894,0,0,401
makinnalane,0,0,0.20398992982858102,0,0,1
US Woods,7,0,7.652042636684051,0,0,523
Peda_repair,0,0,0.063066002825057,0,0,1
HubMiner,1,0,3.239005699840317,0,0,14
lorrayann,36,0,1.182249151526808,0,0,46
bowlofeggs,0,0,5.905937094213908,0,0,6
Sammybreeden,8,0,0.208579900171653,0,0,15
Bhojaraj,0,0,9.918552434373902,0,0,45
jc67,0,0,0.0,0,0,1
jumbanho,30,0,166.33934784594751,0,0,53192
Takogin,1,0,0.11037142117682401,0,0,3
Timothy Smith,674,0,334.52918327317724,15,1,2714
railfan-eric,0,0,4.025248750252548,0,0,19
NovemberBravo,326,0,134.16520535121842,0,1,1643
SirPres,0,0,0.0,0,0,1
kshtdh,0,0,178.93555091716817,0,0,933
WolfiDE,0,0,0.0,0,0,1
kriscarle,24,0,217.3737276322888,0,0,282
OrangeEagle,24,0,24.248305658733134,0,0,167
paulmach,0,0,66.22678280745592,0,0,156
sjmasler,1,0,0.0,0,0,5
Boon Booni,0,0,2.012219538139762,0,0,4
chaseh12,5,0,0.8289906869324231,0,0,48
trailuser79,1,0,5.166182003021278,0,0,22
JWalker1998,17,0,0.0,0,0,18
rickmastfan67,0,0,828.7094546600066,0,0,4683
mfd14,0,0,0.333950680913975,0,0,4
sandhill,0,0,92.19509024103272,0,0,178
Psink,0,0,2.043756303088164,0,0,11
MST Hiker,8,0,50.290028463813925,0,0,329
vssms,0,0,0.751677236796907,0,0,11
yerrawa,0,0,105.11234977463101,0,0,559
mziehm,0,0,0.7480860958382071,0,0,12
inah_telenav,0,0,38.02679808635155,0,0,196
sumter_tisdale,31,0,1.218395941231805,0,0,98
kvss,0,0,93.5425677641725,0,0,469
yoltia,0,0,0.609054689624972,0,0,1
mansipan,0,0,111.86999638694378,0,0,638
heyjohnboy,23,0,0.197131763177771,0,0,35
iggujja,0,0,73.96787427825566,0,0,352
rorym,1,0,0.0,0,0,1
kotaprad,0,0,90.35052713183683,0,0,535
morray,1,0,0.0,0,0,1
jalajm,0,0,44.06437394739677,0,0,373
adbrown,0,0,0.295543728226693,0,0,1
veesams,0,0,86.49577195110453,0,0,432
tartanabroad,25,0,0.30260143278253504,0,0,26
ntanniru,0,0,79.49683034183478,0,0,525
rhilde,0,0,0.079986039495685,0,0,1
manitec,0,0,69.66409631518171,0,0,414
clairehhlin,0,0,0.8838000199332441,0,0,2
rzsi,0,0,72.14512719891361,0,0,425
cyberrider5,0,0,0.9581631941662281,0,0,7
mohahase,0,0,91.87443738840638,0,0,631
jerememonteau,0,0,0.088603735509187,0,0,1
buddhirv,0,0,69.70129082977675,0,0,424
408garcia,5,0,0.33223567760434003,0,0,7
shkshar,0,0,69.32380952915246,0,0,436
Jonathan F,8,0,0.059925287375512004,0,0,9
saikariv,0,0,43.00599195872012,0,0,245
jman1983,0,0,0.266970774514802,0,0,3
shargrac,0,0,76.47643423257912,0,0,456
Houston Miller,0,0,0.41333699482128705,0,0,3
dvyasha,0,0,37.274051135218784,0,0,266
Byung Kyu Park,0,0,0.0,0,0,2
chepteja,0,0,66.99056830139892,0,0,430
Squack,0,0,0.14397322554664502,0,0,2
Prof Eric Cameron,1,0,0.053016570084418006,0,0,6
gecho111,0,0,0.063776506959141,0,0,1
maggot27,5,0,3.531558820750215,0,0,24
Anirudh Madhusudan,1,0,9.735335654405024,0,0,274
raknm,0,0,71.57841473873795,0,0,377
Pedro Arellano,4,0,0.0,0,0,4
jdoniche,0,0,79.051568944553,0,0,556
kell_kyrsten618,74,0,0.0,0,0,74
ashleyannmathew,6,0,112.48996463835535,0,0,334
PatrickS,0,0,1.349020257155308,0,0,6
njtbusfan,2,0,847.571705035055,0,0,3415
AlexisEW,0,0,3.5332721945911,0,0,45
dyellak,0,0,53.18780015677834,0,0,179
mtmail,5,0,1.255822939885771,0,0,14
buchula,0,0,72.86298965487131,0,0,526
BrianBa,4,0,0.0,0,0,6
utkap,0,0,59.08339604806595,0,0,313
yatopepeg,1,0,0.0,0,0,1
mahmedqg,0,0,100.77481379007426,0,0,643
DJ Aduvanch1k,1,0,0.0,0,0,1
pandypr,0,0,84.53731260161409,0,0,581
kjmonopoly,0,0,0.9061066299836331,0,0,9
kavshnu,0,0,42.751241878851346,0,0,171
Darius Shelby,2,0,0.0,0,0,3
gundanar,0,0,96.0540939881716,0,0,536
ddk100,29,0,0.08249315585746701,0,0,32
jedidy,0,0,37.81097395546646,0,0,281
jamesks,0,0,0.0,0,0,4
chandeek,0,0,54.06950158687996,0,0,304
Lindsay_Millward,1,0,0.0,0,0,8
Dheeraj Vasam,0,0,40.58022121646952,0,0,180
Derick Rethans,29,0,6.000177759006366,0,0,110
navuddin,0,0,53.785003519508365,0,0,342
Truform,0,0,0.0,0,0,1
anuds,0,0,1.978001464341566,0,0,14
GrayWolfOlka,0,0,0.408165842817836,0,0,2
chagasru,0,0,37.98049590968263,0,0,139
calebfast,0,0,0.44045859723880004,0,0,527
chatrags,0,0,41.46316984789745,0,0,184
CaptinFalcon,6,0,0.0,0,0,6
vardhamk,0,0,77.65858052091448,0,0,350
01aaron,25,0,0.0,0,0,28
svarkey,0,0,51.729393631653124,0,0,191
Justin TN,15,0,4.907269491649916,0,0,66
pillalp,0,0,114.17531493976682,0,0,708
Matthew Martinez,1,0,0.0,0,0,2
siddhaam,0,0,46.56475216692374,0,0,188
Adrianod,0,0,0.7912593239512771,0,0,9
gilasri,0,0,47.95168173622111,0,0,219
bertwhite19,1,0,0.0,0,0,1
Rockear,1,0,45.81681218828767,0,0,226
tnmapping,0,0,2.435864235786984,0,0,20
Athalis,0,0,3.317613119258366,0,0,32
lblake,75,0,0.0,0,0,79
CumberlandTrailMapper,23,0,41.308002598805444,0,0,166
Urbanut,0,0,0.0,0,0,1
amm,0,0,9.764838963583133,0,0,10
Jerryaguilar,0,0,0.02313188301058,0,0,1
LarsBG,15,0,202.2090287572546,0,0,373
JayEspi,25,0,0.0,0,0,30
Petymag,1,0,0.0,0,0,1
Jerry Pickard,9,0,4.184255063714198,0,0,135
MrGawsome,0,0,10.209715018875734,0,0,48
nateirwin,14,0,0.21113468653430903,0,0,29
RicoZ,0,0,0.020220327817739,0,0,1
