user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Val,4755,1,2932.063444317641,3,1,54860
chadbunn,36803,3,147.7265214377594,2,0,48928
UtahBuildingsImport,39958,5,3.683511574041236,0,0,40084
Level,1288,0,1913.3691465143804,0,0,31265
Dilys,1170,0,9895.66503935937,0,1,31150
TheDutchMan13,1,0,5794.994168085747,0,0,29533
randoogle,16786,3,463.6096922648525,2,2,28309
ocotillo,60,0,7905.1168267777,0,0,23452
osmjwh,19432,1,349.89412829683096,1,1,23396
aweech,963,0,1784.5391423444307,6,0,21128
carlotta4th,8874,2,407.15055638260134,2,1,17081
tomthepom,1,0,105.36740445569659,0,0,14824
mvexel,636,3,2693.332894570216,1,4,14577
zephyr,1,0,0.47346781268763105,0,0,13510
DaveHansenTiger,0,0,7747.034329617361,0,0,11363
OremSteve,1643,0,617.0420333331222,1,1,10730
wrk3,7446,0,206.7848338496548,0,2,10470
Canyonsrcool,9222,0,52.143299907284494,1,0,9655
Chris Bell in California,0,0,38.97849419993607,0,0,9623
SimMoonXP,0,0,8604.524374005798,0,0,7897
KRobinson1991,6505,0,110.82105680851953,1,2,7816
balcoath,73,0,61.59944428743582,0,0,7688
Tindog,2444,0,189.460380553901,0,0,7128
mapman44,1072,0,1440.5873015457364,0,0,6959
mash84121,2210,6,137.25162768059994,2,0,6817
butlerm,1025,0,1473.7587131891519,0,0,6296
MelanieOriet,4941,0,8.077318036165659,0,0,5105
bradypett,42,0,85.81118305470602,0,0,5025
SK53_bulk,0,0,27.85334845618995,0,0,4934
curly_dawg,2934,1,38.281245899813214,0,0,4248
PacOce,1037,0,95.42555341078713,0,0,4202
robertstats,2078,0,284.99556654163683,0,0,4171
drsgis,3801,0,44.02151101379568,0,0,4089
balrog-kun,0,0,1979.7481039410989,0,0,3989
Timothy Smith,982,1,815.5602697507192,20,1,3864
Adam Schneider,145,0,1245.850686423618,0,0,3731
njtbusfan,0,0,965.7153067979132,0,0,3665
Richard,0,0,3878.1149060412613,0,0,3596
Ted Percival,577,0,198.8560040833768,1,0,3578
Ekagrah,12,0,2646.4513339508953,0,0,3520
iandees,7,0,14.157032677587175,0,0,3373
MasterOfKittens,822,0,103.38137745790448,0,0,3348
jackwiplock,210,2,209.52934758188619,3,2,3276
techlady,73,0,1793.8524607025715,0,0,3240
GaryOSM,2232,1,30.45624840961235,0,0,3185
Dr Kludge,138,0,760.0880565106487,0,0,2833
H’s Daddy,635,0,108.82772320450003,0,0,2764
Your Village Maps,363,0,116.72312024757798,0,0,2515
LeTopographeFou,3,0,0.34361471582110503,0,0,2509
Natfoot,15,0,191.67087625755994,0,0,2501
loganmikel,2064,0,6.64314920441042,0,0,2404
user_5359,1878,0,59.66476121825991,0,0,2353
thetornado76,245,0,148.98675333470206,0,0,2259
aboges26,0,0,606.6096667540075,0,0,2241
dle0,123,0,50.805300625029005,0,0,2231
bburgon42,366,0,104.08437147723382,0,0,2221
bdiscoe,486,0,335.14744613848654,0,0,2210
Alan Trick,8,0,694.5757997746107,0,0,2194
