user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
lukobe,0,0,0.47512866956470906,0,0,11
SkiLiftDude,0,0,0.0,0,0,2
geotandem,5,0,0.9369521040099421,0,0,269
42429,7,0,4.601762581798319,0,0,3566
das_cartographer,4,0,0.097827851813368,0,0,5
Martin868,1252,0,3715.325391791948,0,0,18456
joelliot,0,0,0.24588954348701902,0,0,1
MikeN,0,0,9.580196975024137,0,0,187
dankman144,0,0,0.370764094952135,0,0,8
loescher,0,0,4860.33638410255,0,0,17369
aceman444,0,0,0.0,0,0,4
KMR31,0,0,44.89986337020619,0,0,41
gtalbot,0,0,0.0,0,0,1
Ryan112233,0,0,0.0,0,0,23
QuasiModem,7,0,3.362974473228459,0,0,49
DaveHansenTiger,0,0,1578.5697566577612,0,0,12589
Little Brother,1,0,0.0,0,0,4
maxerickson,129,0,156.55113791136841,0,0,2312
CacheCrab,0,0,0.0,0,0,12
kfremd,0,0,390.6502829984168,0,0,882
TheExplorator,3,0,0.0,0,0,4
ezekielf,232,0,292.30220528795144,1,0,7380
mapper999,0,0,0.0,0,0,1
mambus,0,0,8.10763054272436,0,0,14
garrettdashnelson,20,0,7.2686704630325565,0,0,89
greggerm,1448,0,15.882493823596755,0,0,2240
Autarch,8,0,0.7998541157965521,0,0,82
YanikB,0,0,0.0,0,0,150
b-jazz,2,0,30.03209877410258,0,0,181
Geogast,1,0,3.732384670822347,0,0,257
Edward,66,0,0.9904486883246351,0,0,998
kbroderick,0,0,318.28842478884906,0,0,503
iandees,0,0,0.0,0,0,3506
oslim,0,0,0.0,0,0,23
jaecord,0,0,206.7017790825719,0,0,398
amillar,57,0,0.0,0,0,457
talexhv,1,0,0.24510075675808402,0,0,14
jared,2798,0,228.21537818706295,0,0,5183
Maisie2013,0,0,0.384717802312508,0,0,1
MBedilion,0,0,552.9319102738182,0,0,1066
cidermaster,0,0,0.0,0,0,1
calfarome,2,0,10.311421075949017,0,0,57
ThaBou,1,0,0.0,0,0,8
cforin,0,0,460.64175697449343,0,0,852
Spanholz,94,0,238.1233791699443,0,0,884
markm851003,0,0,68.05352561676223,0,0,128
torapa,25,0,12.936094424496076,0,0,140
user_599436,1,0,156.0515706504235,0,0,367
DavidLiu5059,0,0,126.16232555460354,0,0,202
Skwydzilla,0,0,1.063820118723775,0,0,2
dankpoet,275,0,16.60672053847471,0,0,310
Trace Bigboots,0,0,0.6850802435131591,0,0,3
haveyougotanypets,1,0,0.0,0,0,1
houston_mapper1,1,0,0.31363067129445804,0,0,23
jgis,0,0,0.0,0,0,5
rm1271,0,0,9.00835471245216,0,0,730
natcase,4,0,0.17808596119814502,0,0,13
cspanring,0,0,0.0,0,0,13
NSchulman24,0,0,0.052890934627061,0,0,1
flemay,0,0,0.0,0,0,2
KindredCoda,110,0,126.06538287920165,0,0,3532
RussNelson,8,0,97.21945585891041,0,0,624
melisramer,0,0,79.16463410182858,0,0,159
Brian Reavis,3,0,34.06649308980164,0,0,54
Tyler Hermanson,12,0,278.39925896110685,0,0,951
Stéphanie Leclerc,0,0,0.0,0,0,1
drewmhess,0,0,69.42810415630971,0,0,154
jvp367,10,0,0.5664612371583151,0,0,77
larkery,0,0,0.0,0,0,1
OceanVortex,1147,0,120.53719880272168,0,0,3709
RuckRunnerGRT,120,0,9.73319101041733,0,0,181
skquinn,7,0,0.657784352283428,0,0,60
George S,0,0,101.4094340997641,0,0,105
_Olenka_,0,0,13.870625157744836,0,0,96
ihamr,1,0,0.15606294939654503,0,0,2
deadrabbit,0,0,2.565119670806201,0,0,162
pokey,2,0,49.02903393493375,0,0,96
calisurf,654,0,9.238879091733027,0,0,915
Undearius,1,0,1.2458703193106961,0,0,298
John Hall,1,0,0.027619474802326002,0,0,161
colindt,13,0,24.947804032154178,0,0,246
Rps333,17,0,11.718775806254133,0,0,49
JB82,83,0,2.76467563276586,0,3,349
gridlockjoe,48,0,2.950701552180954,0,0,146
Gardner Gottsegen,0,0,0.0,0,0,2
jeff0launch,32,0,82.1118060452749,0,1,1406
ChrisZontine,0,0,0.0,0,0,1
ECRock,0,0,2.369855038211999,0,0,24
bwarren,1,0,0.0,0,0,1
GITNE,10020,1,137.85402732126414,3,3,13491
Eduff564,1,0,0.566060408270181,0,0,7
cwohlers,0,0,3.324845670703136,0,0,40
Liam McDowell,1,0,0.0,0,0,1
25or6to4,4,0,12.662643597422555,0,0,124
Pepper,0,0,0.0,0,0,1
inah_telenav,0,0,62.95993552380663,0,0,74
Sebastien April,0,0,1.164535547115535,0,0,4
user_5359,91,0,14.028353440901876,0,0,167
poornibadrinath,0,0,3.921513747640048,0,0,33
arming_telenav,0,0,46.861451544382,0,0,50
IsabelleL-W,8,0,0.0,0,0,12
AGeographer,168,0,13.362675349730296,0,0,227
addiez,4,0,0.080912494985238,0,0,6
PHerison,0,0,26.266118360665065,0,0,92
Jeremy Brault,1,0,0.555090766405421,0,0,4
Smith Vermont,0,0,0.0,0,0,1
Leosi,0,0,2.3823024041162633,0,0,35
ashleyannmathew,0,0,10.118251630329073,0,0,149
seaturnr,1,0,0.0,0,0,1
chanelle2710,0,0,0.0,0,0,2
bmcbride,0,0,0.0,0,0,1
Arthur Hastings,4,0,0.0,0,0,6
Bkissin,3,0,0.0,0,0,3
Frankncross,0,0,6.835257687298726,0,0,5
EditDatGIS,5,0,0.0,0,0,18
rivermont,51,0,0.10059267561333701,0,0,78
JamieRI,0,0,0.7030689547737771,0,0,4
California Bear,5,0,0.22555990486264402,0,0,23
John in VT,1,0,5.839162112730423,0,0,19
choess,4,0,12.818672784186239,0,0,253
epikak,1,0,0.0,0,0,1
EdSS,39,0,336.3686093712893,0,0,401
mjs2600,3,0,7.263127228064035,0,0,12
Iowa Kid,1,0,5.333556329269197,0,0,72
quincylvania,6,0,4.181149166092742,0,0,74
DenisCarriere,0,0,0.050150468848194005,0,0,100
worldwidewolford,0,0,0.0,0,0,1
rprescott,0,0,9.659392364493977,0,0,19
Markus59,0,0,0.0,0,0,2
thelatinist,7,0,3.161690530097837,0,0,62
almiki,0,0,0.065939793558248,0,0,1
Bataineh,0,0,0.0,0,0,1
assawyer,20,0,6.317949789507366,0,1,759
srsjojo,5,0,0.0,0,0,11
trburkholder,0,0,3.53758584201505,0,0,6
pwhite119,1,0,5.668695165522735,0,0,12
JudeD,0,0,1.158508446830535,0,0,2
Ciaklet,0,0,0.0,0,0,61
Trail maker,0,0,10.572298998083049,0,0,43
Ddoolittle86,0,0,20.56328545740302,0,0,42
Robert Whittaker,2,0,0.22213065339815002,0,0,17
mhenson,0,0,0.0,0,0,1
mcccliv,0,0,2.105017088594944,0,0,5
manings,0,0,1.333485486895064,0,0,16
StewS2,0,0,2.374405488099975,0,0,19
Prof Eric Cameron,0,0,86.1198348468595,0,0,242
Kabirdas,0,0,0.164369984468959,0,0,1
RichRico,2,0,8.84314281803954,0,0,52
Joao Bras-Jorge,0,0,8.021672441745338,0,0,4
vtcraghead,469,0,10.658352390607009,0,0,575
Kla_Ger,0,0,0.9523534208505721,0,0,7
Sundance,0,0,1.41465089598448,0,0,33
Natfoot,9,0,33.6781029186138,0,0,187
SergBess,0,0,5.218303261524919,0,0,20
George Stone,0,0,5.684081945797399,0,0,16
-Obi-,0,0,20.13698357183882,0,0,51
bethanyalger,1,0,0.0,0,0,3
chadlawlis,5,0,0.0,1,0,15
VMcNulty,1,0,0.062233517651312006,0,0,2
ChrisDMI,832,0,7.134603877221216,0,0,988
cditze,0,0,0.0,0,0,1
samely,4,0,4.831712341500705,0,0,56
Caecias,4,0,6.046870120517409,0,0,36
lks1[konto usunięte],0,0,0.741074441420231,0,0,1
dkunce,0,0,0.078247339287372,0,0,2
Third Hiker,0,0,28.758918838423245,0,0,17
est1209,2,0,17.850687231318005,0,0,39
probell,9,0,0.0,0,0,22
ted s,0,0,0.0,0,0,12
husker_pick,4,0,9.863134219428318,0,0,42
lxbarth,0,0,0.7698003171691,0,0,5
timothymh,354,0,17.393281845528627,0,0,505
FourOhFour,27,0,16.37023321676132,0,0,301
ubahnverleih,0,0,0.23176572666105502,0,0,1
pbergstrom,1,0,0.0,0,0,7
byronigoe,0,0,7.428502973289001,0,0,14
gcowan,3,0,0.47168621416429,0,0,6
silsi77,0,0,1.790297880226877,0,0,2
SKalt,0,0,8.35742786001165,0,0,36
Steven Deeds,6,0,0.789001647731417,0,0,19
SteveBower,0,0,0.8044359266492,0,0,2
Paul0908,0,0,0.0,0,0,1
45723,0,0,0.0,0,0,2
h4ck3rm1k3,0,0,0.0,0,0,50
corinag_telenav,0,0,1.163446311487932,0,0,6
Brian J Sylvester,0,0,0.0,0,0,3
Adam Franco,2039,0,4338.673187937291,0,1,19624
Tengelvt,0,0,0.0,0,0,1
citrin,0,0,10.063463689022422,0,0,12
BJSylvester,0,0,0.0,0,0,4
20coatow,3,0,0.0,0,0,3
b-jazz-bot,92,0,1.357945557622745,0,0,287
TM!,0,0,0.0,0,0,1
Richard,0,0,41.27041267913058,0,0,51
goneblasting,4,0,7.076258973364188,0,0,69
muziriana,0,0,7.749613566104719,0,0,83
Andrew Matheny,0,0,0.0,0,0,5
Jmantheking15,0,0,0.402293488474993,0,0,4
ridixcr,0,0,10.405620403904766,0,0,41
biancah_telenav,0,0,0.097561335144606,0,0,1
RunningDroid,0,0,0.170947664590195,0,0,2
cvamsi,0,0,10.02624870421163,0,0,56
KD705,0,0,0.554664718038085,0,0,17
tbstjohn,0,0,0.687720138499144,0,0,6
ElliottPlack,0,0,1.084402786582859,0,0,12
BostonUrbEx,0,0,0.0,0,0,227
herriotto,0,0,3.740730485555784,0,0,16
StanB,0,0,0.0,0,0,4
Andrew Pearce,0,0,0.0,0,0,1
MTBMapping,0,0,7.089810807870283,0,0,15
Steven Ferker,0,0,0.0,0,0,1
rowers2,0,0,0.0,0,0,70
DerKapitan,9,0,2.144847752148752,0,0,23
NinaAriane,4,0,0.0,0,0,5
MagicFab,31,0,5.491966736643129,0,0,53
huldsfred,0,0,0.0,0,0,7
bibi6,1,0,0.0,0,0,4
kparente,0,0,24.62911159947899,0,0,84
BikerMike,0,0,0.0,0,0,1
jfire,9,0,11.15653347061712,0,0,126
howeygp,0,0,0.0,0,0,4
Wits' Enj,0,0,0.0,0,0,12
bot-mode,0,0,2189.4661469956955,0,0,8502
Lulu Rabbit,0,0,0.0,0,0,4
map93,0,0,0.0,0,0,3
Marion Barry,0,0,0.0,0,0,2
davidearl,0,0,0.0,0,0,637
ETTown,1272,0,0.0,0,0,1290
HamishB,0,0,0.0,0,0,1
srividya_c,0,0,3.61343081990288,0,0,14
Parcanman,43,0,117.64628442223365,0,0,922
OdyX,1,0,4.328292001706524,0,0,6
Stuart Johnson,0,0,0.0,0,0,1
Cybernenea11,0,0,0.0,0,0,1
AndieB,2,0,0.093394204799286,0,0,3
yurasi,2,0,12.567143250881955,0,0,38
Pepilepioux,0,0,0.0,0,0,1
gonma0000,0,0,0.0,0,0,2
Obelixx,0,0,0.0,0,0,939
Jaffs,0,0,9.078926474403206,0,0,57
josephmendes,12,0,1.9805271960361641,0,0,46
mmackay1,430,0,0.0,0,0,430
NE2,0,0,11.321579772263963,0,0,322
bdiscoe,37,0,66.30993617025047,0,0,174
high8,0,0,1.659576206409348,0,0,6
dchiles,6,0,21.18747647408193,0,0,180
hofoen,15,0,88.07960604372478,0,0,473
cbrunner9,0,0,2.4452047476312693,0,0,5
morganwahl,36,0,28.516456410603254,0,0,118
wand3r0r,7,0,1.003308264131531,0,0,18
hobbesvsboyle,1,0,0.804489695418882,0,0,7
woodpeck_fixbot,0,0,0.23338297599628,0,0,35
alixhartmann,0,0,7.150462139330766,0,0,13
BlueG,253,0,11.393601724312468,0,0,848
wolfgang8741,1,0,0.0,0,0,21
Ethan Rogati,0,0,0.0,0,0,12
Skybunny,1,0,0.0,0,0,4
jcdabagian,0,0,0.0,0,0,2
Pnrrth,0,0,0.0,0,0,268
Timothy Smith,55,0,0.23604987126138802,0,0,124
A Hall,45,0,23.791799271554737,0,0,118
Camski42,0,0,1.1233383667901,0,0,10
Manu1400,2,0,0.382259772513008,0,0,13
DW2515,3,0,0.0,0,0,16
majkger,1,0,0.0,0,0,7
Costamario,0,0,27.069143002856713,0,0,87
bhavana naga,0,0,40.155035463975146,0,0,495
mueschel,1,0,3.104197059319719,0,0,6
Kapa Caps,0,0,0.0,0,0,1
Jordan Patoine,2,0,0.0,0,0,6
sandhill,0,0,16.687966273926957,0,0,40
freebeer,1,0,0.0,0,0,9
pyram,15,0,6.929900344469323,0,0,123
PGilbert,2,0,0.06940178995116801,0,0,5
nathan206,0,0,11.751250327395697,0,0,45
will-i-am,0,0,58.68130638799752,0,0,97
JulianHR,0,0,0.0,0,0,1
George “Freza” Mendoza,0,0,0.0,0,0,1
TheSebik,7,0,22.777158875627215,0,0,79
Brutus,17,0,4.044741517545257,0,0,51
elyk,0,0,0.0,0,0,1
catalinad_telenav,0,0,0.5142292616680321,0,0,5
jfd553,25,0,14.3171231030667,0,0,1402
anarcat,0,0,0.0,0,0,2
simmis,0,0,0.0,0,0,1
nfgusedautoparts,2,0,44.31533560226262,0,0,145
mtmail,5,0,0.0,0,0,12
ulgeo,0,0,0.0,0,0,1
MuppetGnar,0,0,66.30235653403828,0,0,146
smittyvt,0,0,0.563535026529268,0,0,3
Ropino,0,0,0.32783600044341404,0,0,1
Guy,34,0,3.9808928941467023,0,0,69
aronomous,0,0,0.16557955642382302,0,0,1
mmegustafson,3,0,0.0,0,0,3
ZERO_E9,0,0,0.0,0,0,14
geardoc,0,0,0.0,0,0,1
Autofan,57,0,25.104521677923742,0,0,410
AvocetVT,11,0,3.777736491149521,0,0,86
Cebderby,0,0,3.746767952731258,0,0,29
manapra,0,0,0.045785155514783,0,0,1
Thomas Bee,1,0,8.047502299791802,0,0,24
Ichimonji10,2,0,5.599111483459533,0,0,46
Omnific,0,0,24.450514065529195,0,0,92
Djbeadle,0,0,0.0,0,0,1
dloutzen,0,0,2.195890879872975,0,0,7
boopington,5,0,5.9944938518015345,0,0,33
krinkov76239,1,0,36.761019329627736,0,0,194
Neil_,2177,0,4.560813044279816,0,0,2281
friedel_hn,49,0,4.468398123836481,0,0,88
Slinginnzs,0,0,0.885600746428526,0,0,71
JavaDog,0,0,10.995290314192955,0,0,16
BlackRockTech,0,0,0.0,0,0,1
D Baah,0,0,0.06046666061560001,0,0,1
dannykath,0,0,13.326397475077107,0,0,45
Aleks-Berlin,2,0,0.0,0,0,6
GordonFS,0,0,2.713486276818449,0,0,21
LLAQWA,0,0,0.0,0,0,2
Tamires24,14,0,0.0,0,0,14
rickkas7,0,0,0.522463755639148,0,0,10
steverumizen,0,0,0.20835758227463702,0,0,34
fordmanvt,0,0,0.15228196270688002,0,0,11
connor ballantyne,0,0,0.0,0,0,1
pizzaiolo,1,0,0.0,0,0,1
PierZen,4,0,25.232915654302975,0,0,1114
Jothirnadh,0,0,1.43960450257299,0,0,2
SomeoneElse_Revert,44,0,55.07038342627172,0,0,337
SuffolkNY,0,0,0.0,0,0,1
Max Vasilev,0,0,0.832285528923691,0,0,2
dkfacey,0,0,0.776326497183609,0,0,5
dbaston,1,0,5.899672140360461,0,0,7
geochrome,0,0,1.521142992428342,0,0,11
Maskulinum,1,0,7.139831869523004,0,0,42
Caetano414,2,0,0.0,0,0,2
GoWestTravel,9,0,0.0,0,0,50
SD Mapman,0,0,2.089730886982597,0,0,10
Kurly,1,0,3.7903941387171853,0,0,22
