user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Idaes,1,0,0.08481091653889,0,0,2
jmccarth,75,0,0.0,0,0,75
SamDB,7,0,1.1658055920927781,0,0,22
Edward,2,0,0.0,0,0,117
florinbadita_telenav,0,0,0.5738207402969601,0,0,3
rjhale1971,1471,0,125.37818770482924,0,0,3492
Jolanda333,1,0,0.0,0,0,3
stevea,0,0,0.0,0,0,11
FiddlerDave,0,0,0.0,0,0,1
amillar,0,0,0.0,0,0,197
rocek,0,0,0.0,0,0,1
macalla,17,0,4.715772271565696,0,0,30
scientistmapper,1,0,0.0,0,0,4
hamishhenderson,82,0,0.15798565947794602,0,0,88
Moses Siaw,0,0,0.0,0,0,1
palimpadum,0,0,4.050203638168184,0,0,14
Roypaco,7,0,0.16468717303480102,0,0,8
Werewombat,0,0,0.0,0,0,20
Geofreund1,0,0,0.127951285566929,0,0,2
GandalfTheWhite,19,0,111.89955847835292,0,0,1045
JohnathanArup,69,0,0.0,0,0,69
Steven_Boyd,265,0,0.616036361080189,0,0,268
Spencer_MHD,0,0,3.12399840082284,0,0,5
Boogschutter,373,0,9.198332841479795,0,0,425
JanButter,260,0,4.82700081874801,0,0,319
JawesomeJOSM,44,0,0.059312763611326,0,0,46
hebolz,13,0,0.45426464772011105,0,0,14
iandees,0,0,0.0,0,0,133
ulfl,0,0,0.057947567845947005,0,0,2
MintCondition,76,0,35.92397112075999,0,0,265
xanderlee27,277,0,0.0,0,0,278
plitsch,86,0,1.094118967925677,0,0,93
Jean-Yves Longchamp,5,0,1.445514439272682,0,0,11
ReFoxSA,0,0,0.8385182632515851,0,0,13
Richard Ruh,240,0,2.39863932580614,0,0,245
vogelfreier,71,0,0.0,0,0,76
Pattersonavh,15,0,3.046704661932905,0,0,29
Joris in 't Veld,34,0,0.191673530337784,0,0,49
INS Groen,111,0,0.286478092948088,0,0,114
gscholz,55,0,2.327131723170494,0,0,84
Marshy8,97,0,0.0,0,0,97
Kurtis Kettler,157,0,0.072865760662864,0,0,158
Birgit1961,311,0,0.0,0,0,311
doughenleben,59,0,0.18683105281720302,0,0,60
deefdeef,317,0,2.584938939552371,0,0,342
season3,0,0,0.0,0,0,21
dalmond,202,0,0.0,0,0,202
Jibou4,17,0,0.0,0,0,18
RobbertV,38,0,0.0,0,0,38
kkaptijn,37,0,0.48576463034187406,0,0,43
rowers2,4,0,0.0,0,0,4
JelmerM,49,0,0.0,0,0,50
Taylor Zhou,30,0,0.0,0,0,30
Katelin99,208,0,11.352684682681154,0,0,580
Johan31,72,0,0.404665616901552,0,0,73
HollanderNL,16,0,0.0,0,0,16
@pvd@,19,0,0.0,0,0,19
erik sliphorst,8,0,0.0,0,0,8
eligeert,194,0,0.0,0,0,194
samwise_vi,0,0,0.19845860642364602,0,0,3
chewey,0,0,3.219768246911512,0,0,27
kräckel,0,0,0.376375973150926,0,0,3
nhssteacher,0,0,0.0,0,0,3
torild,3,0,0.7722970042173931,0,0,14
Anaximandre,223,0,0.6298122127739001,0,0,234
alekno,1,0,0.22576134678571302,0,0,3
Ro Sun,0,0,0.0,0,0,2
Paper_,0,0,0.0,0,0,4
RobinKempen,24,0,0.0,0,0,24
Anna North,227,0,0.0,0,0,233
Giraud colin,9,0,0.15854344191660802,0,0,10
Sand0rf,8,0,0.055432299684073004,0,0,12
Jose Luis Infante,18,0,0.9839689197519311,0,0,29
b-jazz-bot,4,0,0.0,0,0,17
jBeata,183,0,0.0,0,0,183
Delon_123,0,0,4.260649268425467,0,0,29
ReinierW,0,0,0.250397179899075,0,0,1
Jippe3,9,0,0.5986715359183801,0,0,13
Rusty388,30,0,2.433516027335739,0,0,42
SaraStruik,180,0,0.0,0,0,180
