user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Omnific_Import,284739,1,17.222937988300092,2,0,328051
DaveHansenTiger,0,0,49804.184501458236,0,0,252137
Omnific,92502,79,26310.682425227613,20,20,238704
RoadGeek_MD99,127128,8,797.445558551787,1,5,146953
Jonah Adkins,86489,5,3874.686774272422,2,8,140597
bot-mode,0,0,36660.9087243626,0,0,135069
jonahadkins_vabeach_imports,127365,0,0.017844102420176002,0,0,127371
jumbanho,80,0,274.2415562985704,0,0,110635
jonahadkins_hampton_imports,57869,0,0.0,0,0,57879
RoadWarrier,24261,25,1654.2693814230784,7,3,52560
miha12,11396,6,1650.0040387559745,5,0,51094
jonahadkins_portsmouth_imports,42488,3,0.0,0,4,42489
CynicalDooDad,2638,0,3764.905802291923,0,0,38987
Rich1234,24521,7,881.6969696638387,2,3,38764
jonahadkins_suffolk_import,38403,0,0.0,0,0,38403
Your Village Maps,2545,0,1538.9471064419754,0,0,36082
maxerickson,10406,1,1488.902547141572,1,1,35514
speaketh,20687,1,445.1202593639531,0,0,33089
bdiscoe,590,0,3480.348102275546,0,0,32302
jonahadkins_jamescity_imports,29680,0,0.134632404814752,0,0,29706
jonahadkins_yorkcounty_import,24910,0,0.305848384522284,0,0,24966
RVA_101,12346,3,408.40449074016897,0,3,23555
dcat,366,0,351.6065607322829,0,1,21998
42429,205,0,1301.7605996201833,0,0,21956
ingalls,19133,0,182.78429690956912,0,0,21943
jonahadkins_norfolk_imports,21670,0,0.013621225719098,0,0,21677
Evanator,3697,1,1722.2653638792733,0,2,20856
aude,16252,6,27.52246558558476,0,0,19957
kriscarle,4299,1,625.0905419974429,0,0,17521
JoshD,1085,3,649.6745463124728,0,0,16596
DavidYJackson_import,15435,0,0.09473149559732201,0,0,16300
KyleConboy,15242,0,18.47436145951831,0,0,15687
Gregory_M-NCPPC_Import,15562,0,1.9940418685655392,0,0,15576
GISDave,9307,3,883.4873369836758,1,0,15422
iandees,2338,1,66.23311086362997,1,0,15059
njtbusfan,0,0,2642.4946550399404,0,0,14492
dufekin,40,0,3710.462658264998,0,0,14424
Raymo853,2818,0,2119.2093308812878,0,0,13641
LeTopographeFou,12951,0,0.23644916072291702,0,0,12960
WillofOwn,2222,1,1025.1302921133208,2,1,12692
GinesHarrington,10212,2,91.64905429482116,1,3,12431
ELadner,123,0,1517.2951286477787,0,0,12147
mutantmonkey,3649,0,360.9045766334772,0,3,11638
