user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Omnific_Import,267498,10,24.41054956771534,0,8,289032
Glassman,100883,5,6899.4948072251445,2,1,187386
Omnific,47478,110,5796.338754514791,33,43,144952
TheDutchMan13,1,0,22040.23563624129,0,0,98799
SeattleImport,67150,0,88.9871672316338,0,0,74350
CarniLvr79,33948,3,1732.7272748891264,0,0,69295
zephyr,4023,0,454.7693738093643,1,1,58732
Natfoot,2018,0,3773.1878136124346,0,0,49482
seichter,0,0,84.36466397695514,0,0,46264
cowdog,9950,7,2051.9436082327425,9,14,39826
compdude,259,0,582.0393915961762,0,0,36220
Carnildo,9982,6,5895.034515798594,0,10,35645
Brad Meteor,4527,0,4241.567281282291,0,10,30069
sctrojan79,2485,10,744.3755897681394,4,2,28789
Glassman_Import,13958,0,8.328754387076495,0,0,28246
tylerritchie,34,0,40.34952594146528,0,0,27321
fluffy_unicorn,118,0,1417.9998617513716,0,0,26185
lyzidiamond_imports,23260,0,0.8539825564930361,0,0,24548
Howpper,1234,0,4192.109820223729,0,0,22316
patricknoll_import,18581,0,0.0,0,0,20458
seattlefyi,9472,52,77.58899372566212,15,14,20104
Jaku103,10474,12,269.5323257416665,1,2,19817
DaveHansenTiger,0,0,8858.122655954667,0,0,19224
caseyb,11043,0,6746.024838809162,0,0,19174
Amoebabadass,1088,3,296.1629933022374,0,2,19079
NickBolten,740,0,589.1436962396515,1,0,19015
Adam Schneider,255,0,6950.3597139915,1,0,18474
LBeidler,12172,0,1422.1884570297032,0,0,15355
lukobe,663,3,615.3869626790005,1,1,14401
balrog-kun,2,0,5812.259421383154,0,0,13526
hamptonavemapper,12375,0,3.896567118179217,0,0,12711
tchaddad,10743,0,181.57042756377217,0,1,12254
jvahsholtz,7,0,667.1979884335269,0,0,12025
STBrenden,60,0,541.7175889437513,0,0,11419
Peda,0,0,0.0,0,0,10982
Skybunny,794,0,1798.8721880224473,0,1,10698
Heptazane,3079,0,1139.280635098454,0,0,10525
PhilNi,2967,1,176.96225586391103,0,0,9730
WestCoastTrekker,816,0,315.3531143065661,0,0,9492
seattlefyi_import,6829,0,1.05771208066819,0,0,9315
pnorman_mechanical,17,0,16.815119790663413,0,0,9273
njtbusfan,2,0,1481.9476636146487,0,0,8886
roadgeek99,326,0,661.5403977102811,1,1,8726
Dion Dock,141,0,973.1857462879865,0,0,8425
lokejul,3320,0,279.44862851926797,1,1,8035
skyboysea,1462,0,293.67995333560003,0,2,8014
BC Hiker,25,0,176.65505521861454,0,0,7879
cougMapper,2459,0,247.8059620658537,0,0,7851
3Jane,1386,1,325.67323478510565,4,1,7704
Ballard OpenStreetMap,1274,4,71.85872956084323,1,1,7618
Brett_Ham,36,0,774.2859363692246,0,0,7611
csytsma,918,0,824.758750811788,0,0,7611
Foundatron,6118,0,0.0,0,0,7533
AsYouAre,1842,0,353.59014987768415,1,3,7476
Ivandor,3572,0,111.15194466962005,0,0,7328
skoocoom,86,0,4985.828850712755,0,0,7306
Timothy Smith,1894,1,444.010332212201,67,3,7111
patrick noll,2526,16,232.28255867030285,2,1,7111
sctrojan79-import,3950,2,23.901640485122954,0,0,6962
wislander,695,0,1425.9848339661473,0,0,6544
Anton Lavrov,939,1,289.73057365848007,0,0,6216
Extramiler,5549,0,20.338502524116617,0,0,5989
GITNE,335,0,134.7493737684607,0,0,5668
oksana_krinickay,17,0,248.56074019352792,0,0,5604
DFH808,3247,1,250.9009292650474,0,2,5573
Darrell_pdxbuildings,5117,0,0.9317104675445661,0,0,5494
Sundance,105,0,1111.0537136991359,0,0,5400
talapus,291,12,1540.7069085388316,1,0,5334
jeffmeyer,3910,0,5.333345725414329,0,0,5049
Mele Sax-Barnett,15,0,117.38807713915429,0,0,4677
Rick Rupp,4469,1,12.630112487381528,0,0,4668
Sowa1980,4399,0,9.910641426540122,0,0,4644
Andreyhmk,10,0,279.16492628035644,0,0,4417
chronomex,1336,1,0.314431935885404,0,0,4171
Ivan Komarov,201,0,1666.3611385745653,0,1,4128
CartographerC,665,1,134.40267776414913,0,0,4103
Sudobangbang,1822,0,0.0,0,0,3968
chef bama,194,0,51.42887267488286,0,0,3946
shpakudza,9,0,218.05637571717978,0,0,3919
Quinoaca,1550,0,114.88747411644917,0,0,3874
pingsler,798,1,168.47302426065457,0,2,3852
tpotter,250,0,311.30137193222373,0,0,3561
Irina Karachevtseva,11,0,120.70782636029938,0,0,3453
Alan Trick,222,0,465.80528587028067,0,0,3436
jlkredmond,2265,0,28.463927418244346,0,0,3414
Hendrikklaas,0,0,0.13428364530740702,0,0,3234
G1asshouse,226,1,89.4460702178105,0,0,3222
pnorman,993,1,363.1994928329313,0,0,3208
iandees,9,0,1.495908352053854,0,0,3182
DarthKevbot,627,0,141.38203164208207,0,0,3154
Island Human,631,0,114.46294397307254,2,0,3141
Muzzle,1506,0,59.47850714929875,0,0,3072
Ryan_Peterson,1,0,536.4925534195535,0,0,3043
KTyler,79,0,61.775322714812035,0,2,3029
Paul Johnson,111,0,219.328978014367,0,0,3020
aiwetir,0,0,486.7721434871086,0,0,2998
bryceco,422,5,54.395974013439485,0,0,2996
bobschriver,2394,0,0.0,0,0,2962
Dave not here,1025,0,90.05382741862104,0,0,2915
Grauer Elefant,624,0,73.25308859479483,0,0,2906
Richard,0,0,2506.3693558369996,0,0,2898
engelsjk,370,0,11.267459221316114,0,0,2868
lagerratrobe,2841,0,2.009450057190582,0,0,2855
cjc343,880,2,34.476004627005885,1,0,2758
OrcaDan,11,0,1040.999056013148,0,0,2728
b-jazz-bot,995,4,6.07354199039163,8,1,2700
dunbar loop,118,0,268.55677707152535,0,0,2663
Pat Tressel,2477,0,0.549002748366854,0,0,2658
Madrona,17,0,231.54104193729412,0,0,2629
LeTopographeFou,701,0,75.16168829415146,0,0,2596
SomeoneElse_Revert,30,0,218.71232123949235,0,0,2509
psrc_mitchk,1,0,67.05383982756076,0,0,2498
lasagna,69,0,645.3705797237328,0,0,2489
hofoen,83,0,330.8209592956444,0,0,2485
LeeSea,1762,0,89.29834178092959,0,0,2470
Sappe,938,0,314.57833729432133,0,0,2447
bdp,345,0,73.37292891485089,0,0,2401
Jonah Adkins,619,0,150.7632235474231,0,0,2395
Wim L,118,0,269.79862473452795,0,0,2378
eyewitness,59,0,18.011814324745327,0,0,2374
Geodesy99,2214,0,1.687271561830544,0,0,2354
samely,1,0,80.62123347928274,0,0,2343
Jesse Phillips,629,0,163.26333469374853,0,0,2304
_mapsam,2046,0,0.0,0,0,2290
maxerickson,302,0,390.02099605822985,0,0,2279
joelotz,854,0,105.06519624819671,0,0,2225
seahorse41,196,0,985.5510439873713,0,0,2222
Alan,108,0,156.84792266257492,0,0,2212
miroslavuzice87,0,0,1490.1177667872537,0,0,2208
rambudo,900,0,146.60408972152587,0,0,2204
kerseykyle,732,0,65.39876259208576,0,0,2149
bflyth,288,0,131.95689831845434,0,0,2130
WBSKI,0,0,2.197422667176954,0,0,2105
Nick_T,126,0,133.49074625881556,0,1,2095
goldfndr,425,3,67.57813024715841,0,3,2031
EmilyMapsPullman,524,0,28.45201911407484,0,7,2018
MappingJunkie,26,0,990.2141574917213,0,0,2017
LeonardSD,520,0,64.10703161718675,0,0,1993
Rick Oakley,523,0,90.69592068485252,0,0,1964
PSRCJeanK,0,0,54.28575287111674,0,0,1890
marthaleena,964,0,228.11242084794227,0,0,1865
KeumpSeattle,1533,0,64.4810117367895,0,0,1846
Timothy Whidden,492,0,219.29309691330926,0,0,1833
MelioraCogito,15,0,48.09581552743357,0,0,1804
Tom_Holland,305,0,111.36745909338214,0,0,1798
Greg_Rose,67,0,371.8924277969859,0,0,1795
baggataway,562,0,85.08378151457816,0,0,1789
cwilley106,3,0,196.62567883390264,0,0,1760
mapman44,153,0,162.676473642665,0,0,1758
Tecsomane,4,0,68.39492183575456,0,0,1745
PHerison,19,0,171.00774884528838,0,0,1739
Lamoreaux,232,0,201.57024707691144,0,0,1725
bhavana naga,25,0,187.73763269700174,0,0,1708
Peter Dobratz,509,1,45.77289044349755,1,0,1669
bdiscoe,584,0,134.90555633831963,0,0,1669
emem,58,0,235.4690268214817,0,0,1666
Юкатан,201,0,45.34556444659444,0,1,1656
BogDan_Olegovich,3,0,118.30764583884775,0,0,1650
Werewombat,423,0,89.51421866627625,0,0,1623
Heron4519,25,0,443.36310109334937,0,0,1618
LLAQWA,0,0,3.5747259514463208,0,0,1596
AlexRu,1277,0,6.815928517675106,0,0,1582
nickpeihl,31,0,187.51012896103,0,0,1518
Paul McCombs,528,0,40.40987876510661,1,1,1512
mfagan,463,0,54.36467778210618,0,0,1506
TaraV,0,0,840.7374572799879,0,0,1488
lanefelker_import,0,0,18.18034197358128,0,0,1486
ig6y,0,0,531.3105596350192,0,0,1476
MasiMaster,1,0,717.7674048321852,0,0,1468
LaserLag,656,0,54.65654547990872,0,0,1450
jharpster,1209,0,80.34877732536245,0,0,1436
olendi,295,0,65.26687989575939,0,1,1435
NE2,0,0,309.21833284946877,0,0,1388
JesseFW,365,1,38.713703497242804,0,0,1384
Aleksandar Matejevic,1,0,581.6279182578384,0,0,1377
sea duck,221,0,18.166680268663008,0,0,1355
baradam,56,0,146.08227184482055,0,0,1340
amillar,43,0,23.19157948606438,0,0,1316
503Greg,2,0,148.56381532776496,0,0,1307
davidearl,0,0,0.0,0,0,1306
rbrtwhite,1301,0,0.0,0,0,1301
geodependent,139,0,55.79757026259563,0,0,1281
J & B Adventures,55,0,249.27268879092998,0,0,1280
stevea,0,2,26.727672049942175,0,0,1271
Grant Humphries,8,0,87.96802165420415,0,0,1270
AndrewSnow,32,0,689.2586991678387,0,0,1262
mezzyj,4,0,2.6094413111588253,0,0,1247
weathermark,58,0,129.89912252430736,0,0,1237
Brian Reavis,2,0,761.9451192122701,0,0,1227
Chiuaua,296,0,18.016031784104886,0,0,1224
nhanway,19,0,195.3147500173235,0,0,1210
pluton_od,78,0,39.39528903136002,0,0,1190
