user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
DaveHansenTiger,0,0,14537.705490901544,0,0,54680
Spanholz,18070,0,11125.459066547524,0,0,46612
Omnific,18492,6,4664.603723928293,0,3,43278
bot-mode,0,0,9259.644177427172,0,0,28225
pkoby,6530,0,1015.8404328562228,3,3,24126
Astromath,4291,2,1174.458486672887,1,2,15302
asciiphil,492,0,1689.3931588328685,0,1,13020
Sneas,6318,0,1210.9977481288688,1,0,9728
iandees,1,0,45.63995676330329,0,0,7691
gdoyle,3555,0,270.16108182714794,0,0,7498
AndrewSnow,176,0,1827.4495949179163,0,0,6845
Minh Nguyen,411,0,804.1150278291133,0,0,6435
maxerickson,197,0,753.279174661964,0,0,5970
Edward,51,0,8.89386259509884,0,0,4270
42429,17,1,64.45002390053976,0,1,4046
LCVFDFF1036,71,0,806.1225490419495,0,0,3825
freebeer,3532,0,0.745934142711518,0,0,3601
mdroads,30,0,939.4150357034445,0,0,3552
elkueb,233,0,965.8121100260084,0,0,3429
Geogast,0,0,8.841830437038507,0,0,3345
Rub21,1,0,484.8865360285517,0,0,3085
dcat,1,0,2.200337418772815,0,0,2958
MikeN,0,0,476.09957258075656,0,0,2625
NE2,0,0,432.4336735581513,0,0,2338
ZacRyDi,552,0,522.878628230072,0,4,2229
balcoath,213,0,101.19176762218324,0,0,2183
mindB,812,0,188.8216063753871,0,0,2035
deadlydose,1188,0,58.59558435077864,2,1,1982
rivermont,190,0,128.49719983231228,0,0,1931
zephyr,0,0,0.0,0,0,1734
calfarome,0,0,397.40587327205367,0,0,1733
hurricanenathan,507,0,146.3660109226604,0,0,1726
dchiles,2,0,470.19446071103494,0,0,1632
ingalls,1258,0,12.416034060181483,0,0,1584
Robert Bellissimo,1140,0,25.040822625262365,0,0,1481
Richard,2,0,1042.5917015129585,0,0,1477
ediyes,1,0,383.17687653439197,0,0,1404
RoadGeek_MD99,145,0,188.17744005394005,0,0,1387
amarrington,644,0,54.906632306550264,0,0,1374
fuji2086,101,0,203.47758272788892,0,0,1368
Ivandor,874,0,87.35491265474586,0,0,1356
samely,143,0,219.72835727863108,0,0,1339
Roadsguy,0,0,749.7045059103287,0,0,1302
RistinEigh,1205,0,6.037718069135491,0,0,1300
EZRouting,0,0,581.3728650714266,0,0,1206
davidearl,0,0,0.0,0,0,1205
dufekin,4,0,425.41668798235935,0,0,1199
West Virginian,123,0,268.5731420393365,0,0,1194
RichRico,4,0,211.98808263950846,0,0,1191
DTRuck77,252,0,96.70586074184811,1,0,1185
egore911,240,0,98.59943190224459,0,0,1179
25or6to4,2,0,529.4104889301386,0,0,1149
abel801,0,0,283.60880873465015,0,0,1096
rickmastfan67,16,0,224.4162552068593,0,0,1091
WVGman,889,0,21.949401909548037,0,0,1075
Luis36995,1,0,263.8905659871695,0,0,1058
kriscarle,536,0,53.64679556042352,0,0,1049
Seandebasti,86,0,114.43715573717499,0,0,1045
81firearms,366,0,105.42907572207827,0,2,995
Grady King,845,0,20.191735989018312,0,0,993
ceyockey,287,0,56.65625661941678,0,0,900
Candyc,830,0,15.540395989845193,0,0,884
ElliottPlack,36,0,120.25325228867217,0,0,868
Kirbert,60,0,132.57803263672537,0,0,865
dannykath,1,0,157.97178806914218,0,0,811
BradTheCartographer,677,0,9.973938206507365,0,0,794
Parcanman,11,0,30.56916594031535,0,0,768
oldtopos,0,0,375.8383930477428,0,0,752
Rich1234,326,0,44.51267434652812,0,0,745
karitotp,0,0,149.45092429521424,0,0,710
Utopia95,550,0,19.29740443195854,0,0,704
PHerison,6,0,98.60738658349584,0,0,677
Nate_Wessel,73,0,150.35865455643795,0,0,665
hofoen,23,0,153.3519699155145,0,0,663
Raymo853,96,0,161.76641691432266,0,0,663
oanac2_telenav,0,0,124.2768887079753,0,0,658
Timothy Smith,219,0,47.98212790139536,6,0,656
ThePsychedelicGoat,18,0,159.25627938144203,0,0,655
Natfoot,4,0,89.14111189324603,0,0,648
Evanator,11,0,155.9795344140451,0,0,643
cartasaurus,617,0,6.620449094688498,0,0,631
JusWV,174,0,47.24061558402629,0,0,589
gkerns,114,0,80.80249522488212,0,0,585
Matt Buchwald,40,0,24.93036325868941,0,0,570
wegavision,28,0,88.78827342012679,0,0,559
WayneSchlegel,3,0,38.695101682163234,0,0,557
Nate_M,126,0,18.35175730114124,0,1,554
beweta,16,0,119.79950843666529,0,0,542
Milenko,0,0,95.03793966468545,0,0,541
dkiselev,537,0,0.987481170953403,0,0,539
KristenK,0,0,114.14155073016384,0,0,533
WV26506,73,1,32.179670710221785,0,0,530
A_USER,517,0,1.025043796508962,0,0,529
nyuriks,1,0,0.0,0,0,527
Peter Beard,62,0,16.03431302131773,0,0,522
Gogomanbear,198,0,41.173633147783214,0,0,522
Pamela WV,435,0,8.00269180544107,0,0,510
SimonPoole,0,0,254.19155504450868,0,0,499
jkutz1,479,0,1.068166826493251,0,0,480
mutantmonkey,6,0,30.439841423752757,0,0,465
JMBocan,184,0,13.362990449019538,0,0,462
Damnzippy,374,0,1.244971960763302,0,0,461
Howpper,4,0,76.58574192138174,0,0,459
gregcrago,7,0,150.30670108255774,0,0,450
bbmiller,0,0,138.06378917387377,0,0,443
teodorab_telenav,0,0,109.67749192336721,0,0,442
Peter14,0,0,55.264389017416335,0,0,434
Jonah Adkins,112,0,25.054005516463302,0,0,426
Senza22,96,0,23.280597137683262,0,0,423
US Woods,8,0,6.7169274534538665,0,0,419
