user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
k-os,4,0,1.961087443273306,0,0,11
venkanna37,0,0,0.9310614995056811,0,0,7
EmlynSquare,1,0,9.131901737014335,0,0,161
2782,1,0,0.0,0,0,1
ynfabj,1,0,0.0,0,0,1
42429,1,0,12.733273194470753,0,0,4977
arcticwolf359,1,0,0.0,0,0,7
Skybunny,1398,0,26089.249588589293,1,0,93820
Janelle C,1,0,0.0,0,0,4
WisconsinBuildingImport,164906,0,149.6968012199333,0,1,165659
harpreo,0,0,0.036273283295515005,0,0,1
bot-mode,0,0,28395.373197861678,0,0,75877
LilDarth,2,0,0.0,0,0,3
DaveHansenTiger,0,0,7984.482272783194,0,0,43813
Map Genius,9,0,0.0,0,0,10
Markus59,0,0,0.0,0,0,116
golfgeek,0,0,0.0,0,0,18
bal_agates,54,0,593.0495982544081,0,1,1062
ulrichm,0,0,0.19002353841341402,0,0,1
nyuriks,10,0,0.047400646869262,0,0,1604
Peter Batty,0,0,0.13461575178252302,0,0,1
Oldmil,0,0,19.054782529264003,0,0,16
iknowtech,0,0,0.0,0,0,3
OSMF Redaction Account,1,0,33.41157704591805,0,0,83
JStelts,6,0,0.8074396544986231,0,0,135
hogrod,32345,0,7159.8805700160465,1,5,73241
RayPo,0,0,0.0,0,0,2
gregcrago,0,0,101.56411252210553,0,0,222
hgy,0,0,0.04479710941581801,0,0,1
Mulad,526,0,4132.741525470089,0,0,31580
nbJosh,0,0,0.294820145210898,0,0,2
MeMaps,0,0,4.573085052154622,0,0,2
HaraldSchmidt,0,0,1.3159506347116912,0,0,14
SD Mapman,0,0,27.853270964611006,0,0,58
shawnryan85,2,0,0.0,0,0,38
Iowa Kid,2,0,24.840134209973957,0,0,135
MDavis,0,0,0.100768536959544,0,0,2
ediyes,0,0,221.4230888422064,0,0,852
wisco_disco,1,0,0.0,0,0,1
TheHammer,6,0,52.59605136760009,0,0,138
Erich Moeller,1,0,0.319580796607623,0,0,2
Ivan Komarov,24,0,164.6023647164626,0,0,1628
ryanoconnor025,0,0,0.311104242908179,0,0,5
fröstel,2,0,0.08994588069195601,0,0,14
Aurimas Fišeras,0,0,0.0,0,0,2
Brutus,34696,0,4033.2598785443015,1,0,79141
Spencer Blake,1,0,0.8148791771496601,0,0,4
Edward,40,0,1.033095222102929,0,0,200
Sgrant1,0,0,0.23230773288034,0,0,3
Geogast,1,0,7.411565636568419,0,0,604
Yoshinion,8,0,1.211447026098996,0,0,32
TOGA,7,0,4.656646161014153,0,0,10582
ThorstenNeumann,0,0,0.0,0,0,2
Minong,480,0,8.103301568203477,0,0,683
XLightX,0,0,0.0,0,0,2
asdf2,0,0,9.484121362395811,0,0,29
Jennifer Trinh,0,0,0.0,0,0,1
lziobro,0,0,1.009754601448578,0,0,29
tug08076,0,0,0.0,0,0,11
TheBrit,0,0,33.17230324632432,0,0,19
Math1985,0,0,0.172216684256666,0,0,1
sim,30,0,6.859795433119414,0,0,258
Gwenbasil,0,0,0.0,0,0,6
Maxvirgo,0,0,9.771141743045701,0,0,13
cncr04s,590,0,32.258788694949075,0,0,1377
MagmyGeraith,5,0,9.153268031070056,0,0,74
KRobinson1991,5,0,7.600892158892986,0,0,59
h4ck3rm1k3,0,0,0.0,0,0,141
ejjoshy,0,0,17.224472695271853,0,0,31
JasonWi,5952,0,614.2171418912453,0,1,8588
resistance8,0,0,0.0,0,0,1
SGaletka,3,0,0.32067631477441205,0,0,7
Ryan Schwalbach,0,0,0.8897676544154931,0,0,40
manings,0,0,3.981264150901125,0,0,44
Cody Sand,0,0,0.127830273165309,0,0,1
mueschel,4,0,14.898370826391833,1,1,68
SweetLou386,0,0,0.0,0,0,2
samely,4,0,219.40063545752062,0,0,607
Andrew Assarattanakul,0,0,1.953779210612098,0,0,11
rowers2,8,0,21.890308666841612,0,0,197
soumybha,0,0,41.827498152945765,0,0,292
muziriana,3,0,258.593689264352,0,0,1733
mohapd,0,0,54.174569836832774,0,0,227
Hawke,113,0,422.90309177789044,0,0,2665
City of Sun Prairie,0,0,2.650582809216565,0,0,23
tmulenburg,0,0,111.56444799119814,0,0,81
theborg,0,0,0.0,0,0,2
LocalTrailgeek,197,1,2867.4180405388242,0,0,18831
Andrew3117,0,0,0.0,0,0,1
Sundance,8,0,28.443334019231933,0,0,287
mke414hh,0,0,2.427065925908272,0,0,18
Mrninja2001,5,0,67.68170972563735,0,0,299
Stemby,0,0,0.0,0,0,1
Ross Ellis,1,0,12.567837013101153,0,0,16
Jay RZ,0,0,0.0,0,0,1
Cato_d_Ae,0,0,45.00051798231891,0,0,56
cart0,1,0,0.0,0,0,9
neuhausr,235,0,133.92003943222468,0,0,2165
tmadhuli,0,0,22.344099526715965,0,0,178
thetornado76,6,0,0.08327970666692,0,0,25
shaspand,0,0,9.719182436623345,0,0,72
Cowboyathome,79,0,0.0,0,0,129
changurl,0,0,12.077369341725284,0,0,78
DiGro,0,0,0.0,0,0,5
handerson,2,0,14.896223400541306,0,0,185
Loren S,8,0,1.274682526771752,0,0,83
Bruce Casner,0,0,0.22920215559537901,0,0,3
ChuckMay,0,0,0.012303507564253,0,0,1
Luke David,2,0,0.0,0,0,2
jgruca,0,0,4.574412295314107,0,0,23
SydneyGraff,2,0,0.0,0,0,2
Cskonp,1,0,9.789286114764112,0,0,21
navlay,0,0,23.44260474401089,0,0,80
AlSerrano,2,0,33.003653075985035,0,0,23
alexmac2,26,0,0.0,0,0,31
JohnHovercraft,111232,1,788.2667065857096,3,0,125088
rojganes,0,0,13.78561575318441,0,0,77
davidearl,0,0,0.0,0,0,990
jklika2,0,0,0.0,0,0,1
Bob Schmidt,0,0,0.0,0,0,44
baindran,0,0,31.69245379443006,0,0,193
Luis36995,2,0,77.22381169640349,0,0,318
sota767,0,0,0.0,0,0,3
jaecord,0,0,5.2884911774035075,0,0,19
