user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
DavidJDBA,3051,0,15386.40028110675,0,0,29436
zephyr,3,0,5.364010625885111,0,0,28310
Mr Satterly,12975,1,1952.53464000516,2,4,26006
Brian Reavis,3955,0,20460.56516059904,0,0,25087
DaveHansenTiger,0,0,19288.826152689646,0,0,23628
eagsc7,17,0,14627.19893359377,0,0,14433
TheDutchMan13,0,0,5946.741711180104,0,0,10806
TOGA,0,0,92.94335171609298,0,0,10757
SD Mapman,58,0,7169.474408429704,0,0,10245
AndrewBuck,7012,0,69.33187188672598,0,0,8019
torapa,3694,0,1352.7168338721463,0,0,7317
mdk,563,0,351.9029034300967,0,0,7308
Richard,0,0,7982.742840449706,0,0,6481
iandees,0,0,2.05382588034042,0,0,4851
MelanieOriet,4579,0,0.0,0,0,4625
Jon__,2559,0,318.9612429827316,0,0,4585
Brandon Reavis,2061,0,1926.7388344884419,0,0,4403
Cottaer,509,0,2592.1052269030765,0,0,4362
UE_Su,1921,0,2601.930259263282,0,0,4126
Christopher Stevens,3012,0,76.17918301145,0,0,3537
zytsef,298,0,1664.1867250008202,0,0,3485
PHerison,128,0,829.4081197843025,0,0,3433
clp,2821,0,24.133762473885735,0,0,3292
balrog-kun,0,0,1795.9705863888998,0,0,2626
Hanna Bankers,3,0,1622.7618965069348,0,0,2533
MRPockets,1288,0,385.18543477508274,0,0,2483
amillar,0,0,5.335024443235572,0,0,2318
chachafish,1737,0,50.08729111713671,0,0,2119
stevea,0,0,20.504539744672858,0,0,1950
aighes,2,0,787.401060436576,0,0,1930
hofoen,44,0,444.10180448964235,0,0,1903
Natfoot,13,0,272.16269476831934,0,0,1832
Carnildo,21,0,250.04232167816818,0,0,1743
alexrudd,0,0,193.65076289786222,0,0,1732
Mulad,0,0,435.25042426346374,0,0,1697
wambacher,670,0,364.59709653119495,0,0,1695
Chris Bell in California,0,0,11.883616062490123,0,0,1653
Gone,14,0,684.5964276660411,0,0,1631
telegnom,0,0,709.9800824857545,0,0,1617
alexrudd (NHD),0,0,0.0,0,0,1595
25or6to4,80,0,776.8773748797224,0,0,1583
MasiMaster,0,0,759.327486884597,0,0,1537
GPS_dr,20,0,612.7632224562933,0,0,1465
Dilys,0,0,0.027385856583802003,0,0,1429
BreckT,0,0,442.906630163105,0,0,1391
blackomne,677,0,79.07230774560843,0,0,1379
Dr Kludge,223,0,162.64911419397365,0,0,1371
NE2,0,0,568.2586363253696,0,0,1352
mambus,42,0,1035.2389819196633,0,0,1283
maxerickson,40,0,273.4374376003569,0,1,1263
Skybunny,7,0,1035.0694309644184,0,0,1248
